"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_affiliation","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_affiliation","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_affiliation","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_13_affiliation","articles_authors_authors_13_authorUrl","articles_authors_authors_13_author_order","articles_authors_authors_13_full_name","articles_authors_authors_13_id","articles_authors_authors_14_affiliation","articles_authors_authors_14_authorUrl","articles_authors_authors_14_author_order","articles_authors_authors_14_full_name","articles_authors_authors_14_id","articles_authors_authors_15_affiliation","articles_authors_authors_15_authorUrl","articles_authors_authors_15_author_order","articles_authors_authors_15_full_name","articles_authors_authors_15_id","articles_authors_authors_16_affiliation","articles_authors_authors_16_authorUrl","articles_authors_authors_16_author_order","articles_authors_authors_16_full_name","articles_authors_authors_16_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_isbn_formats_isbns_1_format","articles_isbn_formats_isbns_1_isbnType","articles_isbn_formats_isbns_1_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"nSpace2 is an innovative visual analytics tool that was the primary platform used to search, evaluate, and organize the data in the VAST 2011 Mini Challenge #3 dataset. nSpace2 is a web-based tool that is designed to facilitate the back-and-forth flow of the multiple steps of an analysis process, including search, data triage, organization, sense-making, and reporting. This paper describes how nSpace2 was used to assist every step of the analysis process for this VAST challenge.","https://ieeexplore.ieee.org/document/6102497/","LOCKED","6102497","Oculus Info Inc., USA","https://ieeexplore.ieee.org/author/38236119900","1","Casey M. Canfield","38236119900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Oculus Info Inc., USA","https://ieeexplore.ieee.org/author/38492400400","2","David Sheffield","38492400400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102497","328","https://ieeexplore.ieee.org/document/6102497/","visual analytics","human information interaction","analysis workflow","sense-making","","","","","","Terrorism","Visual analytics","Graphical user interfaces","Humans","Electronic mail","Arrays","Data visualization","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102497","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","1","327","Interactive data analysis with nSpace2®"
"Visual analytics, “the science of analytical reasoning facilitated by visual interactive interfaces” [5], puts high demands on the applications visualization as well as interaction capabilities. Due to their size large high-resolution screens have become popular display devices, especially when used in collaborative data analysis scenarios. However, traditional interaction methods based on combinations of computer mice and keyboards often do not scale to the number of users or the size of the display. Modern smart phones featuring multi-modal input/output and considerable memory offer a way to address these issues. In the last couple of years they have become common everyday life gadgets. In this paper we conduct an extensive user study comparing the experience of test candidates when using traditional input devices and metaphors with the one when using new smart phone based techniques, like multi-modal drag and tilt. Candidates were asked to complete various interaction tasks relevant for most applications on a large, monitor-based, high-resolution tiled wall system. Our study evaluates both user performance and satisfaction, identifying strengths and weaknesses of the researched interaction methods in specific tasks. Results reveal good performance of users in certain tasks when using the new interaction techniques. Even first-time users were able to complete a task faster with the smart phone than with traditional devices.","https://ieeexplore.ieee.org/document/6102466/","LOCKED","6102466","Computer Graphics & HCI Lab, University of Kaiserslautern, Germany","https://ieeexplore.ieee.org/author/38238582800","1","Jens Bauer","38238582800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Computer Graphics & HCI Lab, University of Kaiserslautern, Germany","https://ieeexplore.ieee.org/author/37646534700","2","Sebastian Thelen","37646534700","Computer Graphics & HCI Lab, University of Kaiserslautern, Germany","https://ieeexplore.ieee.org/author/37282550400","3","Achim Ebert","37282550400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102466","266","https://ieeexplore.ieee.org/document/6102466/","","","","","","","","","","Smart phones","Mice","Keyboards","Performance evaluation","Stacking","Computers","Three dimensional displays","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102466","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","2","265","Evaluation of large display interaction using smart phones"
"Concerns about verification mean the humanitarian community are reluctant to use information collected during crisis events, even though such information could potentially enhance the response effort. Consequently, a program of research is presented that aims to evaluate the degree to which uncertainty and bias are found in public collections of incident reports gathered during crisis events. These datasets exemplify a class whose members have spatial and temporal attributes, are gathered from heterogeneous sources, and do not have readily available attribution information. An interactive software prototype, and existing software, are applied to a dataset related to the current armed conflict in Libya to identify `intrinsic' characteristics against which uncertainty and bias can be evaluated. Requirements on the prototype are identified, which in time will be expanded into full research objectives.","https://ieeexplore.ieee.org/document/6102470/","LOCKED","6102470","giCentre, School of Informatics, City University London, UK","https://ieeexplore.ieee.org/author/38233564700","1","Iain Dillingham","38233564700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","giCentre, School of Informatics, City University London, UK","https://ieeexplore.ieee.org/author/37605079900","2","Jason Dykes","37605079900","giCentre, School of Informatics, City University London, UK","https://ieeexplore.ieee.org/author/37399045100","3","Jo Wood","37399045100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102470","274","https://ieeexplore.ieee.org/document/6102470/","","","","","","","","","","Uncertainty","Software","Data visualization","Information science","Visualization","Prototypes","User-generated content","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102470","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","3","273","Visual analytical approaches to evaluating uncertainty and bias in crowd sourced crisis information"
"Chi showed how to treat visualization programing models abstractly. This provided a firm theoretical basis for the data-state model of visualization. However, Chi's models did not look deeper into fine-grained program properties, such as execution semantics. We present conditionally deterministic and resource bounded semantics for the data flow model of visualization based on E-FRP. These semantics are used in the Stencil system to move between data state and data flow execution, build task-based parallelism, and build complex analysis chains for dynamic data. This initial work also shows promise for other complex operators, compilation techniques to enable efficient use of time and space, and mixing task and data parallelism.","https://ieeexplore.ieee.org/document/6102468/","LOCKED","6102468","","https://ieeexplore.ieee.org/author/37546825800","1","Joseph A. Cottam","37546825800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/37282650000","2","Andrew Lumsdaine","37282650000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102468","270","https://ieeexplore.ieee.org/document/6102468/","Dynamic data","Semantics","","","","","","","","Data visualization","Semantics","Rendering (computer graphics)","Data models","Engines","Programming","Dynamic scheduling","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102468","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","4","269","Reasonable abstractions: Semantics for dynamic data visualization"
"Twitter currently receives about 190 million tweets (small text-based Web posts) a day, in which people share their comments regarding a wide range of topics. A large number of tweets include opinions about products and services. However, with Twitter being a relatively new phenomenon, these tweets are underutilized as a source for evaluating customer sentiment. To explore high-volume twitter data, we introduce three novel time-based visual sentiment analysis techniques: (1) topic-based sentiment analysis that extracts, maps, and measures customer opinions; (2) stream analysis that identifies interesting tweets based on their density, negativity, and influence characteristics; and (3) pixel cell-based sentiment calendars and high density geo maps that visualize large volumes of data in a single view. We applied these techniques to a variety of twitter data, (e.g., movies, amusement parks, and hotels) to show their distribution and patterns, and to identify influential opinions.","https://ieeexplore.ieee.org/document/6102472/","LOCKED","6102472","Hewlett-Packard Labs, USA","https://ieeexplore.ieee.org/author/37069334200","1","Ming Hao","37069334200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hewlett-Packard Labs, USA","https://ieeexplore.ieee.org/author/37601356700","2","Christian Rohrdantz","37601356700","Hewlett-Packard Labs, USA","https://ieeexplore.ieee.org/author/37594026300","3","Halldór Janetzko","37594026300","Hewlett-Packard Labs, USA","https://ieeexplore.ieee.org/author/37275646700","4","Umeshwar Dayal","37275646700","Hewlett-Packard Labs, USA","https://ieeexplore.ieee.org/author/37283138700","5","Daniel A. Keim","37283138700","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37681663300","6","Lars-Erik Haug","37681663300","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37275459900","7","Mei-Chun Hsu","37275459900","","","","","","","","","","","","","","","","20","1","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102472","278","https://ieeexplore.ieee.org/document/6102472/","Visual Opinion Analysis","Sentiment Analysis","Twitter Analysis","Topic Extraction","","","","","","Twitter","Data visualization","Calendars","Motion pictures","Data mining","Visual analytics","","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102472","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","5","277","Visual sentiment analysis on twitter data streams"
"This paper studies the interpretability of transformations of labeled higher dimensional data into a 2D representation (scatterplots) for visual classification.1In this context, the term interpretability has two components: the interpretability of the visualization (the image itself) and the interpretability of the visualization axes (the data transformation functions). We define a data transformation function as any linear or non-linear function of the original variables mapping the data into 1D. Even for a small dataset, the space of possible data transformations is beyond the limit of manual exploration, therefore it is important to develop automated techniques that capture both aspects of interpretability so that they can be used to guide the search process without human intervention. The goal of the search process is to find a smaller number of interpretable data transformations for the users to explore. We briefly discuss how we used such automated measures in an evolutionary computing based data dimensionality reduction application for visual analytics. In this paper, we present a two-part user study in which we separately investigated how humans rated the visualizations of labeled data and comprehensibility of mathematical expressions that could be used as data transformation functions. In the first part, we compared human perception with a number of automated measures from the machine learning and visual analytics literature. In the second part, we studied how various structural properties of an expression related to its interpretability.","https://ieeexplore.ieee.org/document/6102474/","LOCKED","6102474","The Graduate Center, The City University of New York, USA","https://ieeexplore.ieee.org/author/38233506100","1","Ilknur Icke","38233506100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The Graduate Center, The City University of New York, USA","https://ieeexplore.ieee.org/author/38236481600","2","Andrew Rosenberg","38236481600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102474","282","https://ieeexplore.ieee.org/document/6102474/","data transformation","visualization","user study","","","","","","","Indexes","Humans","Visualization","Data visualization","Support vector machines","Particle measurements","Atmospheric measurements","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102474","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","6","281","Automated measures for interpretable dimensionality reduction for visual classification: A user study"
"Understanding users' interactions is considered as one of the important research topics in visual analytics. Although numerous empirical user studies have been performed to understand a user's interaction, a limited study has been successful in connecting the user's interaction to his/her reasoning. In this paper, we present an approach of understanding experts' interactive analysis by connecting their interactions to conclusions (i.e. findings) through a state transition approach.","https://ieeexplore.ieee.org/document/6102476/","LOCKED","6102476","University of the District of Columbia, USA","https://ieeexplore.ieee.org/author/37400451800","1","Dong Hyun Jeong","37400451800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bowie State University, USA","https://ieeexplore.ieee.org/author/37399189900","2","Soo-Yeon Ji","37399189900","University of North Carolina at Charlotte, USA","https://ieeexplore.ieee.org/author/37300425000","3","William Ribarsky","37300425000","Tufts University, USA","https://ieeexplore.ieee.org/author/37592409400","4","Remco Chang","37592409400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102476","286","https://ieeexplore.ieee.org/document/6102476/","","","","","","","","","","Cognition","Joining processes","Visual analytics","Data visualization","Educational institutions","Wires","","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102476","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","7","285","A state transition approach to understanding users' interactions"
"Graph rewriting systems are easily described and explained. They can be seen as a game where one iterates transformation rules on an initial graph, until some condition is met. A rule describes a local pattern (i.e. a subgraph) that must be identified in a graph and specifies how to transform this subgraph. The graph rewriting formalism is at the same time extremely rich and complex, making the study of a model expressed in terms of graph rewriting quite challenging. For instance, predicting whether rules can be applied in any order is often difficult. When modelling complex systems, graphical formalisms have clear advantages: they are more intuitive and make it easier to visualize a system and convey intuitions about it. This work focuses on the design of an interactive visual graph rewriting system which supports graphical manipulations and computation to reason and simulate on a system. PORGY has been designed based on regular exchanges with graph rewriting systems experts and users over the past three years. The design choices relied on a careful methodology inspired from Munzner's nested process model for visualization design and validation [4].","https://ieeexplore.ieee.org/document/6102480/","LOCKED","6102480","University of Bordeaux and INRIA Bordeaux Sud-Ouest, France","https://ieeexplore.ieee.org/author/37396011000","1","Bruno Pinaud","37396011000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Bordeaux and INRIA Bordeaux Sud-Ouest, France","https://ieeexplore.ieee.org/author/38269861900","2","Jonathan Dubois","38269861900","University of Bordeaux and INRIA Bordeaux Sud-Ouest, France","https://ieeexplore.ieee.org/author/37283186100","3","Guy Melançon","37283186100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102480","294","https://ieeexplore.ieee.org/document/6102480/","","","","","","","","","","Visualization","Biological system modeling","Layout","Computational modeling","History","Calculus","","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102480","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","8","293","PORGY: Interactive and visual reasoning with graph rewriting systems"
"Faced with a large, high-dimensional dataset, many turn to data analysis approaches that they understand less well than the domain of their data. An expert's knowledge can be leveraged into many types of analysis via a domain-specific distance function, but creating such a function is not intuitive to do by hand. We have created a system that shows an initial visualization, adapts to user feedback, and produces a distance function as a result. Specifically, we present a multidimensional scaling (MDS) visualization and an iterative feedback mechanism for a user to affect the distance function that informs the visualization without having to adjust the parameters of the visualization directly. An encouraging experimental result suggests that using this tool, data attributes with useless data are given low importance in the distance function.","https://ieeexplore.ieee.org/document/6102478/","LOCKED","6102478","Tufts University, USA","https://ieeexplore.ieee.org/author/38239756300","1","Jingjing Liu","38239756300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tufts University, USA","https://ieeexplore.ieee.org/author/38237586900","2","Eli T. Brown","38237586900","Tufts University, USA","https://ieeexplore.ieee.org/author/37592409400","3","Remco Chang","37592409400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102478","290","https://ieeexplore.ieee.org/document/6102478/","","","","","","","","","","Data visualization","Vectors","Data models","Computational modeling","Analytical models","Stress","Visual analytics","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102478","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","9","289","Find distance function, hide model inference"
"We present a visual analysis tool for mining correlations in county-level, multidimensional gun/homicide data. The tool uses 2D pexels, heatmaps, linked-views, dynamic queries and details-on-demand to analyze annual county-level data on firearm homicide rates and gun availability, as well as various socio-demographic measures. A statistical significance filter was implemented as a visual means to validate exploratory hypotheses. Results from expert evaluations indicate that our methods outperform typical graphical techniques used by statisticians, such as bar graphs, scatterplots and residual plots, to show spatial and temporal relationships. Our visualization has the potential to convey the impact of gun availability on firearm homicides to the public health arena and the general public.","https://ieeexplore.ieee.org/document/6102482/","LOCKED","6102482","Department of Statistics, University of Pittsburgh, USA","https://ieeexplore.ieee.org/author/37317865100","1","Scott D. Rothenberger","37317865100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Department of Computer Science, University of Pittsburgh, USA","https://ieeexplore.ieee.org/author/38233577000","2","John E. Wenskovitch","38233577000","Department of Computer Science, University of Pittsburgh, USA","https://ieeexplore.ieee.org/author/37937697100","3","G. Elisabeta Marai","37937697100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102482","298","https://ieeexplore.ieee.org/document/6102482/","","","","","","","","","","Heating","Visualization","Fires","Image color analysis","Availability","Data visualization","Correlation","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102482","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","10","297","Pexel and heatmap visual analysis of multidimensional gun/homicide data"
