Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited,Award
conference_external,2012,Visualizing Flow of Uncertainty through Analytical Processes,10.1109/TVCG.2012.285,https://doi.org/10.1109/TVCG.2012.285,2526,2535,Journals,"Uncertainty can arise in any stage of a visual analytics process, especially in data-intensive applications with a sequence of data transformations. Additionally, throughout the process of multidimensional, multivariate data analysis, uncertainty due to data transformation and integration may split, merge, increase, or decrease. This dynamic characteristic along with other features of uncertainty pose a great challenge to effective uncertainty-aware visualization. This paper presents a new framework for modeling uncertainty and characterizing the evolution of the uncertainty information through analytical processes. Based on the framework, we have designed a visual metaphor called uncertainty flow to visually and intuitively summarize how uncertainty information propagates over the whole analysis pipeline. Our system allows analysts to interact with and analyze the uncertainty information at different levels of detail. Three experiments were conducted to demonstrate the effectiveness and intuitiveness of our design.",,Yingcai Wu;Guo-Xun Yuan;Kwan-Liu Ma,"University of California, Davis, USA;University of California,슠Davis, USA;University of California, Davis, USA",,"Uncertainty visualization,uncertainty quantification,uncertainty propagation,error ellipsoids,uncertainty fusion,,,,",,39,,
SciVis,2012,Turbulence Visualization at the Terascale on Desktop PCs,10.1109/TVCG.2012.274,https://doi.org/10.1109/TVCG.2012.274,2169,2177,Journals,"Despite the ongoing efforts in turbulence research, the universal properties of the turbulence small-scale structure and the relationships between small- and large-scale turbulent motions are not yet fully understood. The visually guided exploration of turbulence features, including the interactive selection and simultaneous visualization of multiple features, can further progress our understanding of turbulence. Accomplishing this task for flow fields in which the full turbulence spectrum is well resolved is challenging on desktop computers. This is due to the extreme resolution of such fields, requiring memory and bandwidth capacities going beyond what is currently available. To overcome these limitations, we present a GPU system for feature-based turbulence visualization that works on a compressed flow field representation. We use a wavelet-based compression scheme including run-length and entropy encoding, which can be decoded on the GPU and embedded into brick-based volume ray-casting. This enables a drastic reduction of the data to be streamed from disk to GPU memory. Our system derives turbulence properties directly from the velocity gradient tensor, and it either renders these properties in turn or generates and renders scalar feature volumes. The quality and efficiency of the system is demonstrated in the visualization of two unsteady turbulence simulations, each comprising a spatio-temporal resolution of 10244. On a desktop computer, the system can visualize each time step in 5 seconds, and it achieves about three times this rate for the visualization of a scalar feature volume.",,Marc Treib;Kai Bürger;Florian Reichl;Charles Meneveau;Alex Szalay;Rüdiger Westermann,"Technische Universität München, Munich, Germany;Technische Universität München, Munich, Germany;Technische Universität München, Munich, Germany;Johns Hopkins University, Baltimore, MD, USA;Johns Hopkins University, Baltimore, MD, USA;Technische Universität München, Munich, Germany",,"Visualization system and toolkit design,vector fields,volume rendering,data streaming,data compression,,,,",,24,,
SciVis,2012,Surface-Based Structure Analysis and Visualization for Multifield Time-Varying Datasets,10.1109/TVCG.2012.269,https://doi.org/10.1109/TVCG.2012.269,2392,2401,Journals,"This paper introduces a new feature analysis and visualization method for multifield datasets. Our approach applies a surface-centric model to characterize salient features and form an effective, schematic representation of the data. We propose a simple, geometrically motivated, multifield feature definition. This definition relies on an iterative algorithm that applies existing theory of skeleton derivation to fuse the structures from the constitutive fields into a coherent data description, while addressing noise and spurious details. This paper also presents a new method for non-rigid surface registration between the surfaces of consecutive time steps. This matching is used in conjunction with clustering to discover the interaction patterns between the different fields and their evolution over time. We document the unified visual analysis achieved by our method in the context of several multifield problems from large-scale time-varying simulations.",,Samer S. Barakat;Markus Rütten;Xavier Tricoche,"Computer Science Department, Purdue University, USA;DLR Göttingen, Germany;Computer Science Department, Purdue University, USA",,"Multifield,time-varying,surface structures,,,,,,",,1,,
conference_external,2012,VisWeek 2012 Capstone Speaker,10.1109/TVCG.2012.289,https://doi.org/10.1109/TVCG.2012.289,xxii,xxii,Journals,"What you are doing as visualization researchers and developers is critical and, in fact, your role is more important than ever in this age of massive data. I and many others desperately want to use your work, but sometimes I just cannot seem to wrap my head around what you are showing-even if it really looks cool. Cool doesn't cut it for me. This talk will give examples from my own successes and failures in photography and graphics and suggest, with a little imagination and open minds, there might be some lessons learned from my own commitment to delving into and communicating information.",,Felice Frankel,"Center for Materials Science and Engineering, MIT, USA",,",,,,,,,,",,0,,
conference_external,2012,Design Study Methodology: Reflections from the Trenches and the Stacks,10.1109/TVCG.2012.213,https://doi.org/10.1109/TVCG.2012.213,2431,2440,Journals,"Design studies are an increasingly popular form of problem-driven visualization research, yet there is little guidance available about how to do them effectively. In this paper we reflect on our combined experience of conducting twenty-one design studies, as well as reading and reviewing many more, and on an extensive literature review of other field work methods and methodologies. Based on this foundation we provide definitions, propose a methodological framework, and provide practical guidance for conducting design studies. We define a design study as a project in which visualization researchers analyze a specific real-world problem faced by domain experts, design a visualization system that supports solving this problem, validate the design, and reflect about lessons learned in order to refine visualization design guidelines. We characterize two axes - a task clarity axis from fuzzy to crisp and an information location axis from the domain expert's head to the computer - and use these axes to reason about design study contributions, their suitability, and uniqueness from other approaches. The proposed methodological framework consists of 9 stages: learn, winnow, cast, discover, design, implement, deploy, reflect, and write. For each stage we provide practical guidance and outline potential pitfalls. We also conducted an extensive literature survey of related methodological approaches that involve a significant amount of qualitative field work, and compare design study methodology to that of ethnography, grounded theory, and action research.",,Michael Sedlmair;Miriah Meyer;Tamara Munzner,"University of British, Colombia;University of Utah, USA;University of British, Colombia",,"Design study,methodology,visualization,framework,,,,,",,432,,
conference_external,2012,Enterprise Data Analysis and Visualization: An Interview Study,10.1109/TVCG.2012.219,https://doi.org/10.1109/TVCG.2012.219,2917,2926,Journals,"Organizations rely on data analysts to model customer engagement, streamline operations, improve production, inform business decisions, and combat fraud. Though numerous analysis and visualization tools have been built to improve the scale and efficiency at which analysts can work, there has been little research on how analysis takes place within the social and organizational context of companies. To better understand the enterprise analysts' ecosystem, we conducted semi-structured interviews with 35 data analysts from 25 organizations across a variety of sectors, including healthcare, retail, marketing and finance. Based on our interview data, we characterize the process of industrial data analysis and document how organizational features of an enterprise impact it. We describe recurring pain points, outstanding challenges, and barriers to adoption for visual analytic tools. Finally, we discuss design implications and opportunities for visual analysis research.",,Sean Kandel;Andreas Paepcke;Joseph M. Hellerstein;Jeffrey Heer,"University of Stanford, USA;University of Stanford, USA;University of California, Berkeley, USA;University of Stanford, USA",,"Data,analysis,visualization,enterprise,,,,,",,239,,
conference_external,2012,Stacking-Based Visualization of Trajectory Attribute Data,10.1109/TVCG.2012.265,https://doi.org/10.1109/TVCG.2012.265,2565,2574,Journals,"Visualizing trajectory attribute data is challenging because it involves showing the trajectories in their spatio-temporal context as well as the attribute values associated with the individual points of trajectories. Previous work on trajectory visualization addresses selected aspects of this problem, but not all of them. We present a novel approach to visualizing trajectory attribute data. Our solution covers space, time, and attribute values. Based on an analysis of relevant visualization tasks, we designed the visualization solution around the principle of stacking trajectory bands. The core of our approach is a hybrid 2D/3D display. A 2D map serves as a reference for the spatial context, and the trajectories are visualized as stacked 3D trajectory bands along which attribute values are encoded by color. Time is integrated through appropriate ordering of bands and through a dynamic query mechanism that feeds temporally aggregated information to a circular time display. An additional 2D time graph shows temporal information in full detail by stacking 2D trajectory bands. Our solution is equipped with analytical and interactive mechanisms for selecting and ordering of trajectories, and adjusting the color mapping, as well as coordinated highlighting and dedicated 3D navigation. We demonstrate the usefulness of our novel visualization by three examples related to radiation surveillance, traffic analysis, and maritime navigation. User feedback obtained in a small experiment indicates that our hybrid 2D/3D solution can be operated quite well.",,Christian Tominski;Heidrun Schumann;Gennady Andrienko;Natalia Andrienko,"University of Rostock, Germany;University of Rostock, Germany;Fraunhofer Institute IAIS, Germany;Fraunhofer Institute IAIS, Germany",,"Visualization,interaction,exploratory analysis,trajectory attribute data,spatio-temporal data,,,,",,213,,
conference_external,2012,Visual Semiotics & Uncertainty Visualization: An Empirical Study,10.1109/TVCG.2012.279,https://doi.org/10.1109/TVCG.2012.279,2496,2505,Journals,"This paper presents two linked empirical studies focused on uncertainty visualization. The experiments are framed from two conceptual perspectives. First, a typology of uncertainty is used to delineate kinds of uncertainty matched with space, time, and attribute components of data. Second, concepts from visual semiotics are applied to characterize the kind of visual signification that is appropriate for representing those different categories of uncertainty. This framework guided the two experiments reported here. The first addresses representation intuitiveness, considering both visual variables and iconicity of representation. The second addresses relative performance of the most intuitive abstract and iconic representations of uncertainty on a map reading task. Combined results suggest initial guidelines for representing uncertainty and discussion focuses on practical applicability of results.",,Alan M. MacEachren;Robert E. Roth;James O'Brien;Bonan Li;Derek Swingley;Mark Gahegan,"Pennsylvania State University, USA;University of Wisconsin-Madison, USA;Risk Frontiers, Macquarie University, Australia;ZillionInfo, USA;Pennsylvania State University, USA;University of Auckland, New Zealand",,"Uncertainty visualization,uncertainty categories,visual variables,semiotics,,,,,",,152,,
conference_external,2012,"Exploring Flow, Factors, and Outcomes of Temporal Event Sequences with the Outflow Visualization",10.1109/TVCG.2012.225,https://doi.org/10.1109/TVCG.2012.225,2659,2668,Journals,"Event sequence data is common in many domains, ranging from electronic medical records (EMRs) to sports events. Moreover, such sequences often result in measurable outcomes (e.g., life or death, win or loss). Collections of event sequences can be aggregated together to form event progression pathways. These pathways can then be connected with outcomes to model how alternative chains of events may lead to different results. This paper describes the Outflow visualization technique, designed to (1) aggregate multiple event sequences, (2) display the aggregate pathways through different event states with timing and cardinality, (3) summarize the pathways' corresponding outcomes, and (4) allow users to explore external factors that correlate with specific pathway state transitions. Results from a user study with twelve participants show that users were able to learn how to use Outflow easily with limited training and perform a range of tasks both accurately and rapidly.",,Krist Wongsuphasawat;David Gotz,"University of Maryland, USA;IBM Thomas J. Watson Research Center, USA",,"Outflow,information visualization,temporal event sequences,state diagram,state transition,,,,",,147,,
conference_external,2012,Visual Analytics Methodology for Eye Movement Studies,10.1109/TVCG.2012.276,https://doi.org/10.1109/TVCG.2012.276,2889,2898,Journals,"Eye movement analysis is gaining popularity as a tool for evaluation of visual displays and interfaces. However, the existing methods and tools for analyzing eye movements and scanpaths are limited in terms of the tasks they can support and effectiveness for large data and data with high variation. We have performed an extensive empirical evaluation of a broad range of visual analytics methods used in analysis of geographic movement data. The methods have been tested for the applicability to eye tracking data and the capability to extract useful knowledge about users' viewing behaviors. This allowed us to select the suitable methods and match them to possible analysis tasks they can support. The paper describes how the methods work in application to eye tracking data and provides guidelines for method selection depending on the analysis tasks.",,Gennady Andrienko;Natalia Andrienko;Michael Burch;Daniel Weiskopf,"Fraunhofer Institute IAIS, Germany;Fraunhofer Institute IAIS, Germany;University of Stuttgart, Germany;University of Stuttgart, Germany",,"Visual analytics,eye tracking,movement data,trajectory analysis,,,,,",,142,,
