"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_affiliation","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_affiliation","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_affiliation","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_isbn_formats_isbns_1_format","articles_isbn_formats_isbns_1_isbnType","articles_isbn_formats_isbns_1_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Recent research suggests that the personality trait Locus of Control (LOC) can be a reliable predictor of performance when learning a new visualization tool. While these results are compelling and have direct implications to visualization design, the relationship between a user's LOC measure and their performance is not well understood. We hypothesize that there is a dependent relationship between LOC and performance; specifically, a person's orientation on the LOC scale directly influences their performance when learning new visualizations. To test this hypothesis, we conduct an experiment with 300 subjects using Amazon's Mechanical Turk. We adapt techniques from personality psychology to manipulate a user's LOC so that users are either primed to be more internally or externally oriented on the LOC scale. Replicating previous studies investigating the effect of LOC on performance, we measure users' speed and accuracy as they use visualizations with varying visual metaphors. Our findings demonstrate that changing a user's LOC impacts their performance. We find that a change in users' LOC results in performance changes.","https://ieeexplore.ieee.org/document/6400535/","LOCKED","6400535","Tufts University","https://ieeexplore.ieee.org/author/38513524100","1","Alvitta Ottley","38513524100","","","","","","","","","","","","","","","","Tufts University","https://ieeexplore.ieee.org/author/38229914800","2","R. Jordan Crouser","38229914800","Brown University","https://ieeexplore.ieee.org/author/37548028800","3","Caroline Ziemkiewicz","37548028800","Tufts University","https://ieeexplore.ieee.org/author/37592409400","4","Remco Chang","37592409400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","14-19 Oct. 2012","Seattle, WA, USA","Conferences","10.1109/VAST.2012.6400535","238","https://ieeexplore.ieee.org/document/6400535/","","","","","","","","Layout","Educational institutions","Psychology","Electronic mail","Visual analytics","Marine vehicles","","6400483","978-1-4673-4752-5","Print ISBN","New-2005","978-1-4673-4752-5","Electronic ISBN","New-2005","978-1-4673-4753-2","12EX7700","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6400535","14-19 Oct. 2012","6381601","2012 IEEE Conference on Visual Analytics Science and Technology (VAST)","2012","IEEE","1","237","Priming Locus of Control to affect performance"
"This poster describes general concepts of integrating the statistical computation package R into a coordinated multiple views framework. The integration is based on a cyclic analysis workflow. In this model, interactive selections are a key aspect to trigger and control computations in R. Dynamic updates of data columns are a generic mechanism to transfer computational results back to the interactive visualization. Further aspects include the integration of the R console and an R object browser as views in our system. We illustrate our approach by means of an interactive modeling process.","https://ieeexplore.ieee.org/document/6400537/","LOCKED","6400537","VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37546620000","1","Johannes Kehrer","37546620000","","","","","","","","","","","","","","","","Dept. of Statistics and Probability Theory, Vienna University of Technology, Austria","https://ieeexplore.ieee.org/author/37086788302","2","Roland N. Boubela","37086788302","Dept. of Statistics and Probability Theory, Vienna University of Technology, Austria","https://ieeexplore.ieee.org/author/38017354300","3","Peter Filzmoser","38017354300","VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37282562500","4","Harald Piringer","37282562500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","0","14-19 Oct. 2012","Seattle, WA, USA","Conferences","10.1109/VAST.2012.6400537","234","https://ieeexplore.ieee.org/document/6400537/","","","","","","","","Data models","Computational modeling","Visualization","Analytical models","Data visualization","Browsers","","6400483","978-1-4673-4752-5","Print ISBN","New-2005","978-1-4673-4752-5","Electronic ISBN","New-2005","978-1-4673-4753-2","12EX7700","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6400537","14-19 Oct. 2012","6381601","2012 IEEE Conference on Visual Analytics Science and Technology (VAST)","2012","IEEE","2","233","A generic model for the integration of interactive visualization and statistical computing using R"
"Cyber physical systems (CPS), such as smart buildings and data centers, are richly instrumented systems composed of tightly coupled computational and physical elements that generate large amounts of data. To explore CPS data and obtain actionable insights, we construct a Radial Pixel Visualization (RPV) system, which uses multiple concentric rings to show the data in a compact circular layout of small polygons (pixel cells), each of which represents an individual data value. RPV provides an effective visual representation of locality and periodicity of the high volume, multivariate data streams, and seamlessly combines them with the results of an automated analysis. In the outermost ring the results of correlation analysis and peak point detection are highlighted. Our explorations demonstrates how RPV can help administrators to identify periodic thermal hot spots, understand data center energy consumption, and optimize IT workload.","https://ieeexplore.ieee.org/document/6400541/","LOCKED","6400541","Hewlett-Packard Laboratories, Palo Alto, CA","https://ieeexplore.ieee.org/author/37274264300","1","M. Hao","37274264300","Hewlett-Packard Laboratories, Palo Alto, CA","https://ieeexplore.ieee.org/author/38045922200","11","Y. Chen","38045922200","","","","","","","","","","","Hewlett-Packard Laboratories, Palo Alto, CA","https://ieeexplore.ieee.org/author/37419093700","2","M. Marwah","37419093700","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/38579710900","3","S. Mittelstadt","38579710900","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37594026300","4","H. Janetzko","37594026300","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37283138700","5","D. Keim","37283138700","Hewlett-Packard Laboratories, Palo Alto, CA","https://ieeexplore.ieee.org/author/37275646700","6","U. Dayal","37275646700","Hewlett-Packard Laboratories, Palo Alto, CA","https://ieeexplore.ieee.org/author/37281844100","7","C. Bash","37281844100","Hewlett-Packard Laboratories, Palo Alto, CA","https://ieeexplore.ieee.org/author/38196594100","8","C. Felix","38196594100","Hewlett-Packard Laboratories, Palo Alto, CA","https://ieeexplore.ieee.org/author/37279651600","9","C. Patel","37279651600","Hewlett-Packard Laboratories, Palo Alto, CA","https://ieeexplore.ieee.org/author/37275459900","10","M. Hsu","37275459900","1","0","14-19 Oct. 2012","Seattle, WA, USA","Conferences","10.1109/VAST.2012.6400541","226","https://ieeexplore.ieee.org/document/6400541/","Radial pixel visualization","cyber physical system","correlations","peaks","time-series data","","","Data visualization","Buildings","Servers","Correlation","Temperature sensors","Temperature measurement","Energy consumption","6400483","978-1-4673-4752-5","Print ISBN","New-2005","978-1-4673-4752-5","Electronic ISBN","New-2005","978-1-4673-4753-2","12EX7700","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6400541","14-19 Oct. 2012","6381601","2012 IEEE Conference on Visual Analytics Science and Technology (VAST)","2012","IEEE","3","225","Exploring cyber physical data streams using Radial Pixel Visualizations"
"We created a visualization tool called Irregular Trend Finder (ITF) for the VAST Challenge 2012 Mini Challenge 1. ITF is an interactive tool designed for analyzing large amounts of data with times-tamp and hierarchy structure in mind, so that a user can see the overview first, and then obtain more detailed information. We discovered the answers for the Challenge, and confirmed that overview first and then looking in detail is an efficient method to seek particular information in case of large amounts of data.","https://ieeexplore.ieee.org/document/6400504/","LOCKED","6400504","University of Tsukuba, Japan","https://ieeexplore.ieee.org/author/37086728439","1","Shinnosuke Takeda","37086728439","","","","","","","","","","","","","","","","University of Tsukuba, Japan","https://ieeexplore.ieee.org/author/38474212400","2","Aimi Kobayashi","38474212400","University of Tsukuba, Japan","https://ieeexplore.ieee.org/author/37085342309","3","Hiroaki Kobayashi","37085342309","University of Tsukuba, Japan","https://ieeexplore.ieee.org/author/37086672926","4","Saori Okubo","37086672926","University of Tsukuba, Japan","https://ieeexplore.ieee.org/author/37370700600","5","Kazuo Misue","37370700600","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","14-19 Oct. 2012","Seattle, WA, USA","Conferences","10.1109/VAST.2012.6400504","306","https://ieeexplore.ieee.org/document/6400504/","Information Visualisation","Anomaly Finder","Time-series Data","Big Data","","","","","","","","","","","6400483","978-1-4673-4752-5","Print ISBN","New-2005","978-1-4673-4752-5","Electronic ISBN","New-2005","978-1-4673-4753-2","12EX7700","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6400504","14-19 Oct. 2012","6381601","2012 IEEE Conference on Visual Analytics Science and Technology (VAST)","2012","IEEE","4","305","Irregular Trend Finder: Visualization tool for analyzing time-series big data"
"Mass and social media provide flows of images for real world events. It is sometimes difficult to represent realities and impressions of events using only text. However, even a single photo might remind us complex events. Along with events in the real world, there are representative images, such as design of products and commercial pictures. We can therefore recognize changes in trends of people's ideas, experiences, and interests through observing the flows of such representative images. This paper presents a novel 3D visualization system to explore temporal changes in trends using images associating with different topics, called Image Bricks. We show case studies using images extracted from our six-year blog archive. We first extract clusters of images as topics related to given keywords. We then visualize them on multiple timelines in a 3D space. Users can visually read stories of topics through exploring visualized images.","https://ieeexplore.ieee.org/document/6400539/","LOCKED","6400539","Institute of Industrial Science, University of Tokyo","https://ieeexplore.ieee.org/author/37534010200","1","Masahiko Itoh","37534010200","","","","","","","","","","","","","","","","Institute of Industrial Science, University of Tokyo","https://ieeexplore.ieee.org/author/37328454400","2","Masashi Toyoda","37328454400","Rakuten, Inc.","https://ieeexplore.ieee.org/author/37086712950","3","Tetsuya Kamijo","37086712950","Institute of Industrial Science, University of Tokyo","https://ieeexplore.ieee.org/author/37283954000","4","Masaru Kitsuregawa","37283954000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","14-19 Oct. 2012","Seattle, WA, USA","Conferences","10.1109/VAST.2012.6400539","230","https://ieeexplore.ieee.org/document/6400539/","","","","","","","","Visualization","Market research","Blogs","Media","Timing","Histograms","Feature extraction","6400483","978-1-4673-4752-5","Print ISBN","New-2005","978-1-4673-4752-5","Electronic ISBN","New-2005","978-1-4673-4753-2","12EX7700","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6400539","14-19 Oct. 2012","6381601","2012 IEEE Conference on Visual Analytics Science and Technology (VAST)","2012","IEEE","5","229","Visualizing flows of images in social media"
"We introduce translational science, a research discipline from medicine, and show how adapting it for visual analytics can improve the design and evaluation of visual analytics interfaces. Translational science “translates” knowledge from the lab to the real-world to “ground truth” by incorporating a 3 phase program of research. Phase 1 & 2 include protocols for research in the lab and field and Phase 3 focuses on dissemination and documentation. We discuss these phases and how they may be applied to visual analytics research.","https://ieeexplore.ieee.org/document/6400543/","LOCKED","6400543","School of Interactive Arts + Science, Simon Fraser University","https://ieeexplore.ieee.org/author/37403562900","1","Tera Marie Green","37403562900","","","","","","","","","","","","","","","","School of Interactive Arts + Science, Simon Fraser University","https://ieeexplore.ieee.org/author/37267458000","2","Brian Fisher","37267458000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","14-19 Oct. 2012","Seattle, WA, USA","Conferences","10.1109/VAST.2012.6400543","222","https://ieeexplore.ieee.org/document/6400543/","cognition","evaluation","experimental studies","","","","","Visual analytics","Laboratories","Cognition","Protocols","Best practices","Educational institutions","","6400483","978-1-4673-4752-5","Print ISBN","New-2005","978-1-4673-4752-5","Electronic ISBN","New-2005","978-1-4673-4753-2","12EX7700","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6400543","14-19 Oct. 2012","6381601","2012 IEEE Conference on Visual Analytics Science and Technology (VAST)","2012","IEEE","6","221","Using translational science in visual analytics"
"To visualize the VAST 2012 Mini Challenge 2 datasets, we use the InfoVis Toolkit (IVTK). Custom visualizations as well as extra interaction capabilities have been added to the toolkit. Custom-made Python scripts are used for data preprocessing purposes. In this work, we show how visualization tools may be combined to leverage network forensic analysis tasks.","https://ieeexplore.ieee.org/document/6400506/","LOCKED","6400506","Modern Sciences and Arts University","https://ieeexplore.ieee.org/author/37086787816","1","Georgiy Shurkhovetskyy","37086787816","","","","","","","","","","","","","","","","Nile University","https://ieeexplore.ieee.org/author/37086788819","2","Ahmed Bahey","37086788819","Modern Sciences and Arts University","https://ieeexplore.ieee.org/author/37688563600","3","Mohammad Ghoniem","37688563600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","14-19 Oct. 2012","Seattle, WA, USA","Conferences","10.1109/VAST.2012.6400506","302","https://ieeexplore.ieee.org/document/6400506/","H.5.2 [Information Interfaces and Presentation]","User Interfaces — Interaction Systems","","","","","","","","","","","","","6400483","978-1-4673-4752-5","Print ISBN","New-2005","978-1-4673-4752-5","Electronic ISBN","New-2005","978-1-4673-4753-2","12EX7700","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6400506","14-19 Oct. 2012","6381601","2012 IEEE Conference on Visual Analytics Science and Technology (VAST)","2012","IEEE","7","301","Visual analytics for network security"
"We present an extended version of targeted projection pursuit, a high dimensional data exploration tool adapted for producing graph layouts using node-attributes. Attributes are generated based on detected events in the intrusion detection system and firewall logs and how often they occur for each IP address. Edges are the directed links between source and destination IPs. The layout is interactive and users can manipulate the points in order to find interesting layouts and then further analyse how these layouts are related to the events in the logs. Thus, they first allow the user to detect anomalies and then gives them a platform to investigate why they occur.","https://ieeexplore.ieee.org/document/6400510/","LOCKED","6400510","Northumbria University","https://ieeexplore.ieee.org/author/37903948900","1","Helen Gibson","37903948900","","","","","","","","","","","","","","","","Northumbria University","https://ieeexplore.ieee.org/author/38197736500","2","Paul Vickers","38197736500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","14-19 Oct. 2012","Seattle, WA, USA","Conferences","10.1109/VAST.2012.6400510","294","https://ieeexplore.ieee.org/document/6400510/","","","","","","","","","","","","","","","6400483","978-1-4673-4752-5","Print ISBN","New-2005","978-1-4673-4752-5","Electronic ISBN","New-2005","978-1-4673-4753-2","12EX7700","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6400510","14-19 Oct. 2012","6381601","2012 IEEE Conference on Visual Analytics Science and Technology (VAST)","2012","IEEE","8","293","Network infrastructure visualisation using high-dimensional node-attribute data"
"There is limited understanding of the relationship between neighbourhoods, demographic characteristics and domestic energy consumption habits. We report upon research that combines datasets relating to household energy use with geodemographics to enable better understanding of UK energy user types. A novel interactive interface is planned to evaluate the performance of specifically created energy-based data classifications. The research aims to help local governments and the energy industry in targeting households and populations for new energy saving schemes and in improving efforts to promote sustainable energy consumption. The new classifications may also stimulate consumption awareness amongst domestic users. This poster reports on initial visual findings and describes the research methodology, data sources and future visualisation requirements.","https://ieeexplore.ieee.org/document/6400545/","LOCKED","6400545","giCentre, City University London, UK","https://ieeexplore.ieee.org/author/37077419200","1","Sarah Goodwin","37077419200","","","","","","","","","","","","","","","","giCentre, City University London, UK","https://ieeexplore.ieee.org/author/37605079900","2","Jason Dykes","37605079900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","14-19 Oct. 2012","Seattle, WA, USA","Conferences","10.1109/VAST.2012.6400545","218","https://ieeexplore.ieee.org/document/6400545/","I.3.8 [Computing Methodologies]: Computer Graphics — Applications","H.5.2 [Information Systems]: Information Interfaces and Presentation — User Interfaces","H.2.8 [Information Systems]: Database Management — Database Applications","","","","","Energy consumption","Data visualization","Sociology","Statistics","Visualization","Electricity","Carbon dioxide","6400483","978-1-4673-4752-5","Print ISBN","New-2005","978-1-4673-4752-5","Electronic ISBN","New-2005","978-1-4673-4753-2","12EX7700","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6400545","14-19 Oct. 2012","6381601","2012 IEEE Conference on Visual Analytics Science and Technology (VAST)","2012","IEEE","9","217","Visualising variations in household energy consumption"
"In this paper we describe the tool we developed to solve the VAST 2012 Challenge. We present how an expert can online analyze huge amounts of multivariate data in space and time. The visual components and the interaction between the system and the user are described, as well as the setup to allow on the fly processing and retrieval of huge amounts of data. We summarize how our tool helped us to solve the challenge.","https://ieeexplore.ieee.org/document/6400508/","LOCKED","6400508","University of Amsterdam The Netherlands","https://ieeexplore.ieee.org/author/37086723395","1","Gosia Migut","37086723395","","","","","","","","","","","","","","","","University of Amsterdam The Netherlands","https://ieeexplore.ieee.org/author/37086726632","2","Justin van Wees","37086726632","University of Amsterdam The Netherlands","https://ieeexplore.ieee.org/author/37086729352","3","Diederik Bakker","37086729352","University of Amsterdam The Netherlands","https://ieeexplore.ieee.org/author/37086729130","4","Bart de Goede","37086729130","University of Amsterdam The Netherlands","https://ieeexplore.ieee.org/author/37086726770","5","Haska Steltenphol","37086726770","University of Amsterdam The Netherlands","https://ieeexplore.ieee.org/author/37086729366","6","Nick Oude Lenferink","37086729366","University of Amsterdam The Netherlands","https://ieeexplore.ieee.org/author/37267865600","7","Marcel Worring","37267865600","","","","","","","","","","","","","","","","0","0","14-19 Oct. 2012","Seattle, WA, USA","Conferences","10.1109/VAST.2012.6400508","298","https://ieeexplore.ieee.org/document/6400508/","visual analytics","interactive visualization","intelligence analysis","human information interaction","","","","","","","","","","","6400483","978-1-4673-4752-5","Print ISBN","New-2005","978-1-4673-4752-5","Electronic ISBN","New-2005","978-1-4673-4753-2","12EX7700","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6400508","14-19 Oct. 2012","6381601","2012 IEEE Conference on Visual Analytics Science and Technology (VAST)","2012","IEEE","10","297","VAST Challenge 2012: Interactively finding anomalies in geo-temporal multivariate data"
