"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_affiliation","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_affiliation","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_affiliation","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_13_affiliation","articles_authors_authors_13_authorUrl","articles_authors_authors_13_author_order","articles_authors_authors_13_full_name","articles_authors_authors_13_id","articles_authors_authors_14_affiliation","articles_authors_authors_14_authorUrl","articles_authors_authors_14_author_order","articles_authors_authors_14_full_name","articles_authors_authors_14_id","articles_authors_authors_15_affiliation","articles_authors_authors_15_authorUrl","articles_authors_authors_15_author_order","articles_authors_authors_15_full_name","articles_authors_authors_15_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"We introduce Pantheon, a dataset and visualization platform quantifying cultural accomplishments that have broken the barriers of space, time and language. The Pantheon dataset connects the 11,340 biographies available in more than 25 languages in Wikipedia with a cultural domain, place of birth, and time period. We present this data through an online data visualization platform supporting the exploration of the dataset. In this poster we describe the Pantheon dataset and visualization platform, both of which are available at http://pantheon.media.mit.edu.","https://ieeexplore.ieee.org/document/7042534/","LOCKED","7042534","MIT Media Lab, Massachusetts Institute of Technology","https://ieeexplore.ieee.org/author/37085519570","1","Amy Zhao Yu","37085519570","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MIT Media Lab, Massachusetts Institute of Technology","https://ieeexplore.ieee.org/author/37085501800","2","Kevin Zeng Hu","37085501800","MIT Media Lab, Massachusetts Institute of Technology","","3","Deepak Jagdish","","MIT Media Lab, Massachusetts Institute of Technology","https://ieeexplore.ieee.org/author/37085402830","4","Cesar A. Hidalgo","37085402830","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","25-31 Oct. 2014","Paris, France","Conferences","10.1109/VAST.2014.7042534","290","https://ieeexplore.ieee.org/document/7042534/","H.5.2 [Information Systems]: Information Interfaces and Presentation — User Interfaces","J.4 [Computer Applications] Social and Behavioral Sciences — Sociology","","","","","","","Cultural differences","Data visualization","Encyclopedias","Electronic publishing","Internet","Production","","7042473","978-1-4799-6227-3","Electronic ISBN","New-2005","978-1-4799-6227-3","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7042534","25-31 Oct. 2014","7027279","2014 IEEE Conference on Visual Analytics Science and Technology (VAST)","2014","IEEE","1","289","Pantheon: Visualizing historical cultural production"
"Large multivariate time-oriented networks have been gaining an increasing relevance in different domains. In order to support Visual Analytics processes on this kind of data, appropriate storage and retrieval methods are needed that take into account the scale, dimensionality, and in particular the complex nature of time. We introduce TimeGraph, a data management framework consisting of a data model and two levels of abstraction. TimeGraph captures both the topology of networks and the inherent structure of time into a property graph data structure, and transparently handles them by graph-based operations. TimeGraph aims to be an expressive, easy-to-use and extensible framework, enabling data reduction by selection and aggregation over both the temporal and the topological properties of data, to foster interactive visualization and analysis.","https://ieeexplore.ieee.org/document/7042498/","LOCKED","7042498","Vienna University of Technology","https://ieeexplore.ieee.org/author/37085361518","1","Albert Amor-Amorós","37085361518","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Vienna University of Technology","https://ieeexplore.ieee.org/author/37569322900","2","Paolo Federico","37569322900","Vienna University of Technology","https://ieeexplore.ieee.org/author/37282584500","3","Silvia Miksch","37282584500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-31 Oct. 2014","Paris, France","Conferences","10.1109/VAST.2014.7042498","218","https://ieeexplore.ieee.org/document/7042498/","","","","","","","","","Data models","Data visualization","Visual analytics","Databases","Complexity theory","Calendars","Educational institutions","7042473","978-1-4799-6227-3","Electronic ISBN","New-2005","978-1-4799-6227-3","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7042498","25-31 Oct. 2014","7027279","2014 IEEE Conference on Visual Analytics Science and Technology (VAST)","2014","IEEE","2","217","TimeGraph: A data management framework for visual analytics of large multivariate time-oriented networks"
"The VAST 2014 Mini-challenge 2 provided a set of GPS vehicle tracking and credit card transaction data with the aim of inferring behavior of those using the vehicles and credit cards. In particular it required designing or applying a visual analytics system to identify typical behaviours with which atypical, suspicious activity could be contrasted. It is an example of the more general case of inferring behavior from movement records (e.g., from mobile devices or public bikeshare schemes). In this brief paper we summarise the design taken to address the particular VAST challenge while proposing a general approach to movement-based behaviour detection.","https://ieeexplore.ieee.org/document/7042569/","LOCKED","7042569","giCentre, City University London","https://ieeexplore.ieee.org/author/37399045100","1","Jo Wood","37399045100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-31 Oct. 2014","Paris, France","Conferences","10.1109/VAST.2014.7042569","368","https://ieeexplore.ieee.org/document/7042569/","Movement visualization","visual analytics","GPS","coordinated views","geospatial","","","","Vehicles","Geospatial analysis","Visual analytics","Global Positioning System","Credit cards","Surveillance","","7042473","978-1-4799-6227-3","Electronic ISBN","New-2005","978-1-4799-6227-3","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7042569","25-31 Oct. 2014","7027279","2014 IEEE Conference on Visual Analytics Science and Technology (VAST)","2014","IEEE","3","367","Visual analytics of GPS tracks: From location to place to behaviour"
"We proposed a collaborative platform to analyze streaming microblog messages in real-time on the emergence of security events, for VAST 2014 Mini Challenge 3. Our team members monitored and analyzed the streaming data simultaneously on it, where we could flexibly distribute workloads by filtering the data streams as we liked, and share notable information such as suspects and locations. With the assistance of a keyword analyzer, we were able to stay vigilant for potential emergencies in the course of streaming and conduct postmortem analysis. We will describe the collaborative mechanisms, as well as the design principles and considerations in detail.","https://ieeexplore.ieee.org/document/7042573/","LOCKED","7042573","Peking University","https://ieeexplore.ieee.org/author/37085385091","1","Zipeng Liu","37085385091","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Peking University","https://ieeexplore.ieee.org/author/37085375437","2","Zhenhuang Wang","37085375437","Peking University","https://ieeexplore.ieee.org/author/37085387892","3","Siming Chen","37085387892","Peking University","https://ieeexplore.ieee.org/author/37404943000","4","Zuchao Wang","37404943000","Peking University","https://ieeexplore.ieee.org/author/37085388249","5","Zhengjie Miao","37085388249","Peking University","https://ieeexplore.ieee.org/author/37403856700","6","Xiaoru Yuan","37403856700","","","","","","","","","","","","","","","","","","","","","2","0","25-31 Oct. 2014","Paris, France","Conferences","10.1109/VAST.2014.7042573","376","https://ieeexplore.ieee.org/document/7042573/","H.5.2 [Information Systems]: Information Interfaces and Presentation — User Interfaces","H.1.2 [Human information processing]: Collaboration — Event comparison","","","","","","","Collaboration","Visualization","Real-time systems","Monitoring","Manuals","Servers","Tagging","7042473","978-1-4799-6227-3","Electronic ISBN","New-2005","978-1-4799-6227-3","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7042573","25-31 Oct. 2014","7027279","2014 IEEE Conference on Visual Analytics Science and Technology (VAST)","2014","IEEE","4","375","A platform for collaborative visual analysis on streaming messages"
"We present TimeFork, an analytics technique for predicting the behavior of multivariate time-series data originating from modern disciplines such as economics (stock market) and meteorology (climate), with human-in-the-loop. We identify two types of machine-generated predictions for such datasets: temporal prediction that predicts the future of an attribute; and spatial prediction that predicts an attribute based on the other attributes in the dataset. Visual exploration of this prediction space, constituting of these predictions of different confidences, by chunking and chaining predictions over time promises accurate user-guided predictions. In order to utilize TimeFork technique, we created a visual analytics application for user-guided prediction over different time periods, thus allowing for visual exploration of time-series data.","https://ieeexplore.ieee.org/document/7042501/","LOCKED","7042501","University of Maryland","https://ieeexplore.ieee.org/author/37085388100","1","Sriram Karthik Badam","37085388100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Purdue University","https://ieeexplore.ieee.org/author/37085454267","2","Jieqiong Zhao","37085454267","University of Maryland","https://ieeexplore.ieee.org/author/37295438200","3","Niklas Elmqvist","37295438200","Purdue University","https://ieeexplore.ieee.org/author/37282598900","4","David S. Ebert","37282598900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","25-31 Oct. 2014","Paris, France","Conferences","10.1109/VAST.2014.7042501","224","https://ieeexplore.ieee.org/document/7042501/","","","","","","","","","Visualization","Data visualization","Predictive models","Prediction algorithms","Analytical models","Correlation","Stock markets","7042473","978-1-4799-6227-3","Electronic ISBN","New-2005","978-1-4799-6227-3","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7042501","25-31 Oct. 2014","7027279","2014 IEEE Conference on Visual Analytics Science and Technology (VAST)","2014","IEEE","5","223","TimeFork: Mixed-initiative time-series prediction"
"We introduce a system for visual analysis of news articles, emails, GPS tracking data, financial transactions and streaming micro-blog data. This system was developed in response to the 2014 VAST Grand Challenge and comprises of several interfaces for mining textual, network, spatio-temporal, financial, and streaming data.","https://ieeexplore.ieee.org/document/7042540/","LOCKED","7042540","Discovery Analytics Center, Department of Computer Science, Virginia Tech","https://ieeexplore.ieee.org/author/37085473572","1","Parang Saraf","37085473572","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Discovery Analytics Center, Department of Computer Science, Virginia Tech","","2","Patrick Butle","","Discovery Analytics Center, Department of Computer Science, Virginia Tech","https://ieeexplore.ieee.org/author/37273204200","3","Naren Ramakrishnan","37273204200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-31 Oct. 2014","Paris, France","Conferences","10.1109/VAST.2014.7042540","308","https://ieeexplore.ieee.org/document/7042540/","H.5.2 [Information Interfaces and Presentation (e.g","HCI)]: User Interfaces-Interaction styles (e.g","commands","menus","forms","direct manipulation)","","","Electronic mail","Global Positioning System","Data visualization","Companies","Time-frequency analysis","Data mining","Streaming media","7042473","978-1-4799-6227-3","Electronic ISBN","New-2005","978-1-4799-6227-3","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7042540","25-31 Oct. 2014","7027279","2014 IEEE Conference on Visual Analytics Science and Technology (VAST)","2014","IEEE","6","307","Safeguarding abila through multiple data perspectives VAST 2014 Grand Challenge award: Effective analysis and presentation"
"We describe our approach to the VAST challenge using off the shelf software, for analysis and visualization. This allowed us to gain insight into the data within a short time-frame. We discuss the merits of our approach and set out directions for future research based on our experience.","https://ieeexplore.ieee.org/document/7042575/","LOCKED","7042575","Centre de Recherche Public Gabriel Lippmann","https://ieeexplore.ieee.org/author/37085450388","1","Fintan McGee","37085450388","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Centre de Recherche Public Gabriel Lippmann","https://ieeexplore.ieee.org/author/38016728600","2","Bertjan Broeksema","38016728600","Centre de Recherche Public Gabriel Lippmann","https://ieeexplore.ieee.org/author/37267981100","3","Benoît Otjacques","37267981100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-31 Oct. 2014","Paris, France","Conferences","10.1109/VAST.2014.7042575","380","https://ieeexplore.ieee.org/document/7042575/","","","","","","","","","Cleaning","Data visualization","Visual analytics","Companies","Histograms","Software","","7042473","978-1-4799-6227-3","Electronic ISBN","New-2005","978-1-4799-6227-3","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7042575","25-31 Oct. 2014","7027279","2014 IEEE Conference on Visual Analytics Science and Technology (VAST)","2014","IEEE","7","379","VAST Challenge MC1: An off the shelf approach to messy data"
"The creation of similarity functions based on visual-interactive user feedback is a promising means to capture the mental similarity notion in the heads of domain experts. In particular, concepts exist where users arrange multivariate data objects on a 2D data landscape in order to learn new similarity functions. While systems that incorporate numerical data attributes have been presented in the past, the remaining overall goal may be to develop systems also for mixed data sets. In this work, we present a feedback model for categorical data which can be used alongside of numerical feedback models in future.","https://ieeexplore.ieee.org/document/7042503/","LOCKED","7042503","Fraunhofer IGD, Germany","https://ieeexplore.ieee.org/author/37606179600","1","Jürgen Bernard","37606179600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fraunhofer IGD, Germany","https://ieeexplore.ieee.org/author/37085393400","2","Marco Hutter","37085393400","Fraunhofer IGD, Germany","https://ieeexplore.ieee.org/author/37085396972","3","David Sessler","37085396972","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37282557600","4","Tobias Schreck","37282557600","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/38551542600","5","Michael Behrisch","38551542600","Fraunhofer IGD, Germany, TU Darmstadt, Germany","","6","Jörn Kohlhamme","","","","","","","","","","","","","","","","","","","","","","3","0","25-31 Oct. 2014","Paris, France","Conferences","10.1109/VAST.2014.7042503","228","https://ieeexplore.ieee.org/document/7042503/","I.5.3 [Computing Methodologies]: Pattern Recognition — Clustering","H.5.2 [Information Systems]: Information Interfaces and Presentation — User Interfaces","","","","","","","Uncertainty","Electronic mail","Data models","Optimization","Numerical models","Correlation","Educational institutions","7042473","978-1-4799-6227-3","Electronic ISBN","New-2005","978-1-4799-6227-3","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7042503","25-31 Oct. 2014","7027279","2014 IEEE Conference on Visual Analytics Science and Technology (VAST)","2014","IEEE","8","227","Towards a user-defined visual-interactive definition of similarity functions for mixed data"
"The 2014 VAST Grand Challenge required us to find victims, suspects, and criminal motivations based on three separate dataseis. We developed three VA tools (AnnotatedTimeTree, Dodeca-Ring Map and SMART) to facilitate the understanding of heterogeneous multivariate dataseis. These tools were integrated to gain insights into the source data and find connections among complex information (Fig. 1). AnnotedTimeTree aims to identify the cause clues and timeline of kidnapping based on analysis of text and network data. Dodeca-Rings Map allows analysts to interact with geospatial, temporal, and card transaction data to find suspicious personal behaviors and social networks. SMART is a visual analytics tool that enables text stream analysis by dynamically visualizing microblog data on the map over time.","https://ieeexplore.ieee.org/document/7042538/","LOCKED","7042538","Computer Graphics Technology","https://ieeexplore.ieee.org/author/37085422417","1","Chen Guo","37085422417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","State Key Lab of CAD & CG, Zhejiang University","https://ieeexplore.ieee.org/author/37085405113","2","Jing Xia","37085405113","Computer Graphics Technology","https://ieeexplore.ieee.org/author/37085411828","3","Jun Yu","37085411828","Electrical and Computer Engineering","https://ieeexplore.ieee.org/author/37085454267","4","Jieqiong Zhao","37085454267","Electrical and Computer Engineering","https://ieeexplore.ieee.org/author/37085404512","5","Jiawei Zhang","37085404512","Interaction Design, Purdue University","https://ieeexplore.ieee.org/author/37085554164","6","Qiaoying Wang","37085554164","Interaction Design, Purdue University","https://ieeexplore.ieee.org/author/38238364000","7","Zhenyu Cheryl Qian","38238364000","Computer Graphics Technology","https://ieeexplore.ieee.org/author/38241087200","8","Yingjie Victor Chen","38241087200","New Media Technology & Art, Harbin Institute of Technology","https://ieeexplore.ieee.org/author/37085426720","9","Chen Wang","37085426720","Electrical and Computer Engineering","https://ieeexplore.ieee.org/author/37282598900","10","David Ebert","37282598900","1","0","25-31 Oct. 2014","Paris, France","Conferences","10.1109/VAST.2014.7042538","304","https://ieeexplore.ieee.org/document/7042538/","[Human-centered computing]: visual analytics","geographic visualization","information visualization","[Information Systems]: spatial-temporal systems","","","","","Security","Visual analytics","Social network services","Electronic mail","Geology","Geospatial analysis","Computers","7042473","978-1-4799-6227-3","Electronic ISBN","New-2005","978-1-4799-6227-3","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7042538","25-31 Oct. 2014","7027279","2014 IEEE Conference on Visual Analytics Science and Technology (VAST)","2014","IEEE","9","303","AnnotatedTimeTree, Dodeca-Rings Map & SMART: A geo-temporal analysis of criminal events"
"Analysts are increasingly drowning in a flood of information. KBSI has addressed this challenge through the Intelligence Product Mosaic™ (IPM) analysis, visualization, and reporting tool that exploits the cognitive strength of analysts and enables them to discover information intuitively and quickly. This article provides an overview of the IPM analytic process and the visualizations that were used to enable better end user understanding of the information derived from multi-source text data. The main benefits of the IPM tool described in this paper include (i) significant reductions in ‘data-to-decision’ time through the use of semantic and collaborative visual analytics techniques and (ii) significant increases in the ability to exploit information and knowledge embedded within data through the use of semantic methods.","https://ieeexplore.ieee.org/document/7042542/","LOCKED","7042542","Knowledge Based Systems, Inc.","https://ieeexplore.ieee.org/author/37302295900","1","Perakath Benjamin","37302295900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Knowledge Based Systems, Inc.","https://ieeexplore.ieee.org/author/37085373180","2","Karthic Madanagopal","37085373180","Knowledge Based Systems, Inc.","https://ieeexplore.ieee.org/author/38234029000","3","Belita Gopal","38234029000","Knowledge Based Systems, Inc.","https://ieeexplore.ieee.org/author/37407805000","4","Kannan Swaminathan","37407805000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-31 Oct. 2014","Paris, France","Conferences","10.1109/VAST.2014.7042542","312","https://ieeexplore.ieee.org/document/7042542/","Visual Analytics","Semantic Tagging","VAST 2014","Natural Language Processing","","","","","Semantics","Data visualization","Electronic mail","Pipelines","Social network services","Visual analytics","Tagging","7042473","978-1-4799-6227-3","Electronic ISBN","New-2005","978-1-4799-6227-3","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7042542","25-31 Oct. 2014","7027279","2014 IEEE Conference on Visual Analytics Science and Technology (VAST)","2014","IEEE","10","311","IPM — A framework for visual sense making VAST 2014 mini-challenge 1"
