"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorAffiliations_authorAffiliation_1","articles_authors_authors_0_authorAffiliations_authorAffiliation_2","articles_authors_authors_0_authorAffiliations_authorAffiliation_3","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorAffiliations_authorAffiliation_1","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorAffiliations_authorAffiliation_1","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorAffiliations_authorAffiliation_1","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorAffiliations_authorAffiliation_1","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorAffiliations_authorAffiliation_0","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorAffiliations_authorAffiliation_0","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorAffiliations_authorAffiliation_0","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorAffiliations_authorAffiliation_0","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_11","articles_index_terms_author_terms_terms_12","articles_index_terms_author_terms_terms_13","articles_index_terms_author_terms_terms_14","articles_index_terms_author_terms_terms_15","articles_index_terms_author_terms_terms_16","articles_index_terms_author_terms_terms_17","articles_index_terms_author_terms_terms_18","articles_index_terms_author_terms_terms_19","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_20","articles_index_terms_author_terms_terms_21","articles_index_terms_author_terms_terms_22","articles_index_terms_author_terms_terms_23","articles_index_terms_author_terms_terms_24","articles_index_terms_author_terms_terms_25","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_insert_date","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume"
"General visualization tools typically require manual specification of views: analysts must select data variables and then choose which transformations and visual encodings to apply. These decisions often involve both domain and visualization design expertise, and may impose a tedious specification process that impedes exploration. In this paper, we seek to complement manual chart construction with interactive navigation of a gallery of automatically-generated visualizations. We contribute Voyager, a mixed-initiative system that supports faceted browsing of recommended charts chosen according to statistical and perceptual measures. We describe Voyager's architecture, motivating design principles, and methods for generating and interacting with visualization recommendations. In a study comparing Voyager to a manual visualization specification tool, we find that Voyager facilitates exploration of previously unseen data and leads to increased data variable coverage. We then distill design implications for visualization tools, in particular the need to balance rapid exploration and targeted question-answering.","https://ieeexplore.ieee.org/document/7192728/","LOCKED","7192728","University of Washington","University of Washington","","","","https://ieeexplore.ieee.org/author/37085702905","1","Kanit Wongsuphasawat","37085702905","Tableau Research","Tableau Research","","https://ieeexplore.ieee.org/author/37085711170","2","Dominik Moritz","37085711170","Tableau Research","","Tableau Research","","https://ieeexplore.ieee.org/author/37548165700","3","Anushka Anand","37548165700","Tableau Research","","Tableau Research","","https://ieeexplore.ieee.org/author/37372036700","4","Jock Mackinlay","37372036700","University of Washington","","University of Washington","","https://ieeexplore.ieee.org/author/37413822300","5","Bill Howe","37413822300","University of Washington","University of Washington","https://ieeexplore.ieee.org/author/37550791300","6","Jeffrey Heer","37550791300","","","","","","","","","","","","","","","","","","","231","6","Journals","10.1109/TVCG.2015.2467191","3477","658","https://ieeexplore.ieee.org/document/7192728/","User interfaces","information visualization","","","","","","","","","","","exploratory analysis","","","","","","","visualization recommendation","mixed-initiative systems","User interfaces","information visualization","exploratory analysis","visualization recommendation","mixed-initiative systems","Data visualization","Encoding","Visualization","Grammar","Image color analysis","Compass","Browsers","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192728","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","1","649","Voyager: Exploratory Analysis via Faceted Browsing of Visualization Recommendations","22"
"We present Reactive Vega, a system architecture that provides the first robust and comprehensive treatment of declarative visual and interaction design for data visualization. Starting from a single declarative specification, Reactive Vega constructs a dataflow graph in which input data, scene graph elements, and interaction events are all treated as first-class streaming data sources. To support expressive interactive visualizations that may involve time-varying scalar, relational, or hierarchical data, Reactive Vega's dataflow graph can dynamically re-write itself at runtime by extending or pruning branches in a data-driven fashion. We discuss both compile- and run-time optimizations applied within Reactive Vega, and share the results of benchmark studies that indicate superior interactive performance to both D3 and the original, non-reactive Vega system.","https://ieeexplore.ieee.org/document/7192704/","LOCKED","7192704","Stanford University","Stanford University","","","","https://ieeexplore.ieee.org/author/37085729682","1","Arvind Satyanarayan","37085729682","University of Washington","University of Washington","","https://ieeexplore.ieee.org/author/37085728576","2","Ryan Russell","37085728576","University of Washington","","University of Washington","","https://ieeexplore.ieee.org/author/37085728980","3","Jane Hoffswell","37085728980","University of Washington","","University of Washington","","https://ieeexplore.ieee.org/author/37550791300","4","Jeffrey Heer","37550791300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148","1","Journals","10.1109/TVCG.2015.2467091","2102","668","https://ieeexplore.ieee.org/document/7192704/","Information visualization","systems","declarative specification","optimization","interaction","streaming data","","","","","","","toolkits","","","","","","","declarative specification","optimization","interaction","streaming data","Information visualization","systems","toolkits","Data visualization","Visualization","Data models","Encoding","Indexes","Runtime","Computer architecture","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192704","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","2","659","Reactive Vega: A Streaming Dataflow Architecture for Declarative Interactive Visualization","22"
"Visual analytics supports humans in generating knowledge from large and often complex datasets. Evidence is collected, collated and cross-linked with our existing knowledge. In the process, a myriad of analytical and visualisation techniques are employed to generate a visual representation of the data. These often introduce their own uncertainties, in addition to the ones inherent in the data, and these propagated and compounded uncertainties can result in impaired decision making. The user's confidence or trust in the results depends on the extent of user's awareness of the underlying uncertainties generated on the system side. This paper unpacks the uncertainties that propagate through visual analytics systems, illustrates how human's perceptual and cognitive biases influence the user's awareness of such uncertainties, and how this affects the user's trust building. The knowledge generation model for visual analytics is used to provide a terminology and framework to discuss the consequences of these aspects in knowledge construction and though examples, machine uncertainty is compared to human trust measures with provenance. Furthermore, guidelines for the design of uncertainty-aware systems are presented that can aid the user in better decision making.","https://ieeexplore.ieee.org/document/7192716/","LOCKED","7192716","Data Analysis and Visualisation Group, University of Konstanz","Data Analysis and Visualisation Group, University of Konstanz","","","","https://ieeexplore.ieee.org/author/37085566394","1","Dominik Sacha","37085566394","Data Analysis and Visualisation Group, University of Konstanz","Data Analysis and Visualisation Group, University of Konstanz","","https://ieeexplore.ieee.org/author/37085764194","2","Hansi Senaratne","37085764194","Data Analysis and Visualisation Group, University of Konstanz","","Data Analysis and Visualisation Group, University of Konstanz","","https://ieeexplore.ieee.org/author/37085677185","3","Bum Chul Kwon","37085677185","Data Analysis and Visualisation Group, University of Konstanz","","Data Analysis and Visualisation Group, University of Konstanz","","https://ieeexplore.ieee.org/author/37283380700","4","Geoffrey Ellis","37283380700","Data Analysis and Visualisation Group, University of Konstanz","","Data Analysis and Visualisation Group, University of Konstanz","","https://ieeexplore.ieee.org/author/37283138700","5","Daniel A. Keim","37283138700","","","","","","","","","","","","","","","","","","","","","","","","","148","0","Journals","10.1109/TVCG.2015.2467591","3249","249","https://ieeexplore.ieee.org/document/7192716/","Visual Analytics","Knowledge Generation","","","","","","","","","","","Uncertainty Measures and Propagation","","","","","","","Trust Building","Human Factors","Visual Analytics","Knowledge Generation","Uncertainty Measures and Propagation","Trust Building","Human Factors","Uncertainty","Data visualization","Visual analytics","Data models","Buildings","Analytical models","","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192716","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","3","240","The Role of Uncertainty, Awareness, and Trust in Visual Analytics","22"
"In this paper we move beyond memorability and investigate how visualizations are recognized and recalled. For this study we labeled a dataset of 393 visualizations and analyzed the eye movements of 33 participants as well as thousands of participant-generated text descriptions of the visualizations. This allowed us to determine what components of a visualization attract people's attention, and what information is encoded into memory. Our findings quantitatively support many conventional qualitative design guidelines, including that (1) titles and supporting text should convey the message of a visualization, (2) if used appropriately, pictograms do not interfere with understanding and can improve recognition, and (3) redundancy helps effectively communicate the message. Importantly, we show that visualizations memorable “at-a-glance” are also capable of effectively conveying the message of the visualization. Thus, a memorable visualization is often also an effective one.","https://ieeexplore.ieee.org/document/7192646/","LOCKED","7192646","University of British Columbia, Harvard University","University of British Columbia, Harvard University","","","","https://ieeexplore.ieee.org/author/38017334100","1","Michelle A. Borkin","38017334100","Computer Science and Artificial Intelligence Laboratory (CSAIL), Massachusetts Institute of Technology (MIT)","Computer Science and Artificial Intelligence Laboratory (CSAIL), Massachusetts Institute of Technology (MIT)","","https://ieeexplore.ieee.org/author/37077963800","2","Zoya Bylinskii","37077963800","School of Engineering & Applied Sciences, Harvard University","","School of Engineering & Applied Sciences, Harvard University","","https://ieeexplore.ieee.org/author/37085685242","3","Nam Wook Kim","37085685242","Computer Science and Artificial Intelligence Laboratory (CSAIL), Massachusetts Institute of Technology (MIT)","","Computer Science and Artificial Intelligence Laboratory (CSAIL), Massachusetts Institute of Technology (MIT)","","https://ieeexplore.ieee.org/author/37085679896","4","Constance May Bainbridge","37085679896","School of Engineering & Applied Sciences, Harvard University","","School of Engineering & Applied Sciences, Harvard University","","https://ieeexplore.ieee.org/author/37077429300","5","Chelsea S. Yeh","37077429300","University of Michigan","University of Michigan","https://ieeexplore.ieee.org/author/37085693365","6","Daniel Borkin","37085693365","School of Engineering & Applied Sciences, Harvard University","School of Engineering & Applied Sciences, Harvard University","https://ieeexplore.ieee.org/author/37275698100","7","Hanspeter Pfister","37275698100","Computer Science and Artificial Intelligence Laboratory (CSAIL), Massachusetts Institute of Technology (MIT)","Computer Science and Artificial Intelligence Laboratory (CSAIL), Massachusetts Institute of Technology (MIT)","https://ieeexplore.ieee.org/author/38358671900","8","Aude Oliva","38358671900","","","","","","","146","0","Journals","10.1109/TVCG.2015.2467732","4339","528","https://ieeexplore.ieee.org/document/7192646/","Information visualization","memorability","","","","","","","","","","","recognition","","","","","","","recall","eye-tracking study","Information visualization","memorability","recognition","recall","eye-tracking study","Data visualization","Visualization","Redundancy","Encoding","Target recognition","Atmospheric measurements","Particle measurements","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192646","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","4","519","Beyond Memorability: Visualization Recognition and Recall","22"
"Learning more about people mobility is an important task for official decision makers and urban planners. Mobility data sets characterize the variation of the presence of people in different places over time as well as movements (or flows) of people between the places. The analysis of mobility data is challenging due to the need to analyze and compare spatial situations (i.e., presence and flows of people at certain time moments) and to gain an understanding of the spatio-temporal changes (variations of situations over time). Traditional flow visualizations usually fail due to massive clutter. Modern approaches offer limited support for investigating the complex variation of the movements over longer time periods. We propose a visual analytics methodology that solves these issues by combined spatial and temporal simplifications. We have developed a graph-based method, called MobilityGraphs, which reveals movement patterns that were occluded in flow maps. Our method enables the visual representation of the spatio-temporal variation of movements for long time series of spatial situations originally containing a large number of intersecting flows. The interactive system supports data exploration from various perspectives and at various levels of detail by interactive setting of clustering parameters. The feasibility our approach was tested on aggregated mobility data derived from a set of geolocated Twitter posts within the Greater London city area and mobile phone call data records in Abidjan, Ivory Coast. We could show that MobilityGraphs support the identification of regular daily and weekly movement patterns of resident population.","https://ieeexplore.ieee.org/document/7192732/","LOCKED","7192732","Technical University of Darmstadt, Germany","Technical University of Darmstadt, Germany","","","","https://ieeexplore.ieee.org/author/37586276100","1","Tatiana von Landesberger","37586276100","Technical University of Darmstadt, Germany","Technical University of Darmstadt, Germany","","https://ieeexplore.ieee.org/author/37085641233","2","Felix Brodkorb","37085641233","Technical University of Darmstadt, Germany","","Technical University of Darmstadt, Germany","","https://ieeexplore.ieee.org/author/37085698863","3","Philipp Roskosch","37085698863","Fraunhofer IAIS, City University, London, UK","","Fraunhofer IAIS, City University, London, UK","","https://ieeexplore.ieee.org/author/37283047700","4","Natalia Andrienko","37283047700","Fraunhofer IAIS, City University, London, UK","","Fraunhofer IAIS, City University, London, UK","","https://ieeexplore.ieee.org/author/37283047100","5","Gennady Andrienko","37283047100","Fraunhofer IAIS, City University, London, UK","Fraunhofer IAIS, City University, London, UK","https://ieeexplore.ieee.org/author/37282717800","6","Andreas Kerren","37282717800","","","","","","","","","","","","","","","","","","","142","1","Journals","10.1109/TVCG.2015.2468111","4078","20","https://ieeexplore.ieee.org/document/7192732/","Visual analytics","movement data","networks","graphs","temporal aggregation","spatial aggregation","flows","clustering","","","","","networks","","","","","","","graphs","temporal aggregation","spatial aggregation","flows","clustering","Visual analytics","movement data","Data visualization","Aggregates","Visualization","Clustering algorithms","Clutter","Geology","Twitter","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192732","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","5","11","MobilityGraphs: Visual Analysis of Mass Mobility Dynamics via Spatio-Temporal Graphs and Clustering","22"
"While the primary goal of visual analytics research is to improve the quality of insights and findings, a substantial amount of research in provenance has focused on the history of changes and advances throughout the analysis process. The term, provenance, has been used in a variety of ways to describe different types of records and histories related to visualization. The existing body of provenance research has grown to a point where the consolidation of design knowledge requires cross-referencing a variety of projects and studies spanning multiple domain areas. We present an organizational framework of the different types of provenance information and purposes for why they are desired in the field of visual analytics. Our organization is intended to serve as a framework to help researchers specify types of provenance and coordinate design knowledge across projects. We also discuss the relationships between these factors and the methods used to capture provenance information. In addition, our organization can be used to guide the selection of evaluation methodology and the comparison of study outcomes in provenance research.","https://ieeexplore.ieee.org/document/7192714/","LOCKED","7192714","Texas A&M University","Texas A&M University","","","","https://ieeexplore.ieee.org/author/37681364500","1","Eric D. Ragan","37681364500","Georgia Tech","Georgia Tech","","https://ieeexplore.ieee.org/author/37681759500","2","Alex Endert","37681759500","Oak Ridge National Laboratory","","Oak Ridge National Laboratory","","https://ieeexplore.ieee.org/author/37567906800","3","Jibonananda Sanyal","37567906800","University of Maryland, Baltimore County","","University of Maryland, Baltimore County","","https://ieeexplore.ieee.org/author/38107662400","4","Jian Chen","38107662400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127","0","Journals","10.1109/TVCG.2015.2467551","2432","40","https://ieeexplore.ieee.org/document/7192714/","Provenance","Analytic provenance","Visualization","Conceptual model","","","","","","","","","Visual analytics","","","","","","","Framework","Visualization","Conceptual model","Provenance","Analytic provenance","Visual analytics","Framework","Data visualization","History","Visual analytics","Data analysis","Cognition","Organizations","","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192714","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","6","31","Characterizing Provenance in Visualization and Data Analysis: An Organizational Framework of Provenance Types and Purposes","22"
"We propose TrajGraph, a new visual analytics method, for studying urban mobility patterns by integrating graph modeling and visual analysis with taxi trajectory data. A special graph is created to store and manifest real traffic information recorded by taxi trajectories over city streets. It conveys urban transportation dynamics which can be discovered by applying graph analysis algorithms. To support interactive, multiscale visual analytics, a graph partitioning algorithm is applied to create region-level graphs which have smaller size than the original street-level graph. Graph centralities, including Pagerank and betweenness, are computed to characterize the time-varying importance of different urban regions. The centralities are visualized by three coordinated views including a node-link graph view, a map view and a temporal information view. Users can interactively examine the importance of streets to discover and assess city traffic patterns. We have implemented a fully working prototype of this approach and evaluated it using massive taxi trajectories of Shenzhen, China. TrajGraph's capability in revealing the importance of city streets was evaluated by comparing the calculated centralities with the subjective evaluations from a group of drivers in Shenzhen. Feedback from a domain expert was collected. The effectiveness of the visual interface was evaluated through a formal user study. We also present several examples and a case study to demonstrate the usefulness of TrajGraph in urban transportation analysis.","https://ieeexplore.ieee.org/document/7192687/","LOCKED","7192687","Department of Computer Science, Kent State University","Department of Computer Science, Kent State University","","","","https://ieeexplore.ieee.org/author/37085723360","1","Xiaoke Huang","37085723360","Department of Computer Science, Kent State University","Department of Computer Science, Kent State University","","https://ieeexplore.ieee.org/author/37277701200","2","Ye Zhao","37277701200","Department of Computer Science, Kent State University","","Department of Computer Science, Kent State University","","https://ieeexplore.ieee.org/author/37085388753","3","Chao Ma","37085388753","Department of Computer Science, University of North Carolina at Charlotte","","Department of Computer Science, University of North Carolina at Charlotte","","https://ieeexplore.ieee.org/author/37292632600","4","Jing Yang","37292632600","Department of Geography, Kent State University","","Department of Geography, Kent State University","","https://ieeexplore.ieee.org/author/37085721950","5","Xinyue Ye","37085721950","Department of Computer Science, University of North Carolina at Charlotte","Department of Computer Science, University of North Carolina at Charlotte","https://ieeexplore.ieee.org/author/37085738135","6","Chong Zhang","37085738135","","","","","","","","","","","","","","","","","","","120","0","Journals","10.1109/TVCG.2015.2467771","3280","169","https://ieeexplore.ieee.org/document/7192687/","Graph based visual analytics","Centrality","","","","","","","","","","","Taxi trajectories","","","","","","","Urban network","Transportation assessment","Graph based visual analytics","Centrality","Taxi trajectories","Urban network","Transportation assessment","Urban areas","Public transportation","Roads","Trajectory","Visual analytics","","","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192687","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","7","160","TrajGraph: A Graph-Based Visual Analytics Approach to Studying Urban Network Centralities Using Taxi Trajectory Data","22"
"We introduce time curves as a general approach for visualizing patterns of evolution in temporal data. Examples of such patterns include slow and regular progressions, large sudden changes, and reversals to previous states. These patterns can be of interest in a range of domains, such as collaborative document editing, dynamic network analysis, and video analysis. Time curves employ the metaphor of folding a timeline visualization into itself so as to bring similar time points close to each other. This metaphor can be applied to any dataset where a similarity metric between temporal snapshots can be defined, thus it is largely datatype-agnostic. We illustrate how time curves can visually reveal informative patterns in a range of different datasets.","https://ieeexplore.ieee.org/document/7192639/","LOCKED","7192639","Microsoft Research-Inria Joint Centre","Microsoft Research-Inria Joint Centre","","","","https://ieeexplore.ieee.org/author/37085687578","1","Benjamin Bach","37085687578","IBM T.J, Watson Research Center, Yorktown Height, NY","IBM T.J, Watson Research Center, Yorktown Height, NY","","https://ieeexplore.ieee.org/author/38019494400","2","Conglei Shi","38019494400","IRT SystemX","","IRT SystemX","","https://ieeexplore.ieee.org/author/37085432351","3","Nicolas Heulot","37085432351","Department of Radiology, University of Washington","","Department of Radiology, University of Washington","","https://ieeexplore.ieee.org/author/37326425600","4","Tara Madhyastha","37326425600","Department of Radiology and Neurology, University of Washington","","Department of Radiology and Neurology, University of Washington","","https://ieeexplore.ieee.org/author/38263758600","5","Tom Grabowski","38263758600","Inria","Inria","https://ieeexplore.ieee.org/author/37590932700","6","Pierre Dragicevic","37590932700","","","","","","","","","","","","","","","","","","","106","2","Journals","10.1109/TVCG.2015.2467851","2993","568","https://ieeexplore.ieee.org/document/7192639/","Temporal data visualization","information visualization","","","","","","","","","","","multidimensional scaling","","","","","","","Temporal data visualization","information visualization","multidimensional scaling","","","","","Data visualization","Encyclopedias","Electronic publishing","Internet","Visualization","History","","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192639","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","8","559","Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data","22"
"We propose a visual analytics approach for the exploration and analysis of dynamic networks. We consider snapshots of the network as points in high-dimensional space and project these to two dimensions for visualization and interaction using two juxtaposed views: one for showing a snapshot and one for showing the evolution of the network. With this approach users are enabled to detect stable states, recurring states, outlier topologies, and gain knowledge about the transitions between states and the network evolution in general. The components of our approach are discretization, vectorization and normalization, dimensionality reduction, and visualization and interaction, which are discussed in detail. The effectiveness of the approach is shown by applying it to artificial and real-world dynamic networks.","https://ieeexplore.ieee.org/document/7192717/","LOCKED","7192717","Eindhoven University of Technology, SynerScope B. V.","Eindhoven University of Technology, SynerScope B. V.","","","","https://ieeexplore.ieee.org/author/38233594700","1","Stef van den Elzen","38233594700","SynerScope B. V.","SynerScope B. V.","","https://ieeexplore.ieee.org/author/37827881300","2","Danny Holten","37827881300","SynerScope B. V.","","SynerScope B. V.","","https://ieeexplore.ieee.org/author/37550793100","3","Jorik Blaas","37550793100","Eindhoven University of Technology","","Eindhoven University of Technology","","https://ieeexplore.ieee.org/author/37267249200","4","Jarke J. van Wijk","37267249200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101","0","Journals","10.1109/TVCG.2015.2468078","4917","10","https://ieeexplore.ieee.org/document/7192717/","Dynamic Networks","Exploration","","","","","","","","","","","Dimensionality Reduction","","","","","","","Dynamic Networks","Exploration","Dimensionality Reduction","","","","","Principal component analysis","Visual analytics","Animation","Manganese","Data visualization","Indexes","","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192717","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","9","1","Reducing Snapshots to Points: A Visual Analytics Approach to Dynamic Network Exploration","22"
"Users with anomalous behaviors in online communication systems (e.g. email and social medial platforms) are potential threats to society. Automated anomaly detection based on advanced machine learning techniques has been developed to combat this issue; challenges remain, though, due to the difficulty of obtaining proper ground truth for model training and evaluation. Therefore, substantial human judgment on the automated analysis results is often required to better adjust the performance of anomaly detection. Unfortunately, techniques that allow users to understand the analysis results more efficiently, to make a confident judgment about anomalies, and to explore data in their context, are still lacking. In this paper, we propose a novel visual analysis system, TargetVue, which detects anomalous users via an unsupervised learning model and visualizes the behaviors of suspicious users in behavior-rich context through novel visualization designs and multiple coordinated contextual views. Particularly, TargetVue incorporates three new ego-centric glyphs to visually summarize a user's behaviors which effectively present the user's communication activities, features, and social interactions. An efficient layout method is proposed to place these glyphs on a triangle grid, which captures similarities among users and facilitates comparisons of behaviors of different users. We demonstrate the power of TargetVue through its application in a social bot detection challenge using Twitter data, a case study based on email records, and an interview with expert users. Our evaluation shows that TargetVue is beneficial to the detection of users with anomalous communication behaviors.","https://ieeexplore.ieee.org/document/7185421/","LOCKED","7185421","IBM T. J. Watson Research Center","IBM T. J. Watson Research Center","","","","https://ieeexplore.ieee.org/author/37604309600","1","Nan Cao","37604309600","IBM T. J. Watson Research Center","IBM T. J. Watson Research Center","","https://ieeexplore.ieee.org/author/38019494400","2","Conglei Shi","38019494400","IBM T. J. Watson Research Center","","IBM T. J. Watson Research Center","","https://ieeexplore.ieee.org/author/37085580799","3","Sabrina Lin","37085580799","IBM T. J. Watson Research Center","","IBM T. J. Watson Research Center","","https://ieeexplore.ieee.org/author/37674897500","4","Jie Lu","37674897500","University of Pissburg","","University of Pissburg","","https://ieeexplore.ieee.org/author/37085999808","5","Yu-Ru Lin","37085999808","IBM T. J. Watson Research Center","IBM T. J. Watson Research Center","https://ieeexplore.ieee.org/author/37278412400","6","Ching-Yung Lin","37278412400","","","","","","","","","","","","","","","","","","","93","0","Journals","10.1109/TVCG.2015.2467196","2490","289","https://ieeexplore.ieee.org/document/7185421/","Anomaly Detection","Social Media","","","","","","","","","","","Visual Analysis","","","","","","","Anomaly Detection","Social Media","Visual Analysis","","","","","Data visualization","Visualization","Twitter","Electronic mail","Feature extraction","Context","Data models","20150811","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7185421","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","10","280","TargetVue: Visual Analysis of Anomalous User Behaviors in Online Communication Systems","22"
