"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Multiresolution analysis is an important tool for exploring large-scale data sets. Such analysis provides facilities to visualize data at different levels of detail while providing the advantages of efficient data compression and transmission. In this work, an approach is presented to apply multiresolution analysis to digital Earth data where each resolution describes data at a specific level of detail. Geospatial data at a fine level is taken as the input and a hierarchy of approximation and detail coefficients is built by applying a hexagonal discrete wavelet transform. Multiresolution filters are designed for hexagonal cells based on the three directional linear box spline which is natively supported by modern GPUs.","https://ieeexplore.ieee.org/document/7429508/","LOCKED","7429508","University of Calgary","","1","Mohammad Imrul Jubair","","University of Calgary","","2","Usman Alim","","German Climate Computing Centre","","3","Niklas Roeber","","University Corporation for Atmospheric Research","","4","John Clyne","","University of Calgary","","5","Ali Mahdavi-Amiri","","University of Calgary","","6","Faramarz Samavati","","","","","","","","","","","","2","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429508","152","https://ieeexplore.ieee.org/document/7429508/","Multiresolution analysis","digital earth data","linear box-spline","hexagonal grid","","","Earth","Multiresolution analysis","Diamonds","Data visualization","Splines (mathematics)","Meteorology","Arrays","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429508","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","1","151","Multiresolution visualization of digital earth data via hexagonal box-spline wavelets"
"PathlinesExplorer is a novel image-based tool, which has been designed to visualize large scale pathline fields on a single computer [7]. PathlinesExplorer integrates explorable images (EI) technique [4] with order-independent transparency (OIT) method [2]. What makes this method different is that it allows users to handle large data on a single workstation. Although it is a view-dependent method, PathlinesExplorer combines both exploration and modification of visual aspects without re-accessing the original huge data. Our approach is based on constructing a per-pixel linked list data structure in which each pixel contains a list of pathline segments. With this view-dependent method, it is possible to filter, color-code, and explore large-scale flow data in real-time. In addition, optimization techniques such as early-ray termination and deferred shading are applied, which further improves the performance and scalability of our approach.","https://ieeexplore.ieee.org/document/7429512/","LOCKED","7429512","KAUST","https://ieeexplore.ieee.org/author/37085670914","1","Omniah H. Nagoor","37085670914","KAUST","https://ieeexplore.ieee.org/author/37394809600","2","Markus Hadwiger","37394809600","KAUST","https://ieeexplore.ieee.org/author/38529374600","3","Madhusudhanan Srinivasan","38529374600","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429512","160","https://ieeexplore.ieee.org/document/7429512/","Image-based rendering","per-pixel linked list","pathline fields","explorable images","deferred shading","early-ray termination","Rendering (computer graphics)","Real-time systems","Three-dimensional displays","Buffer storage","Computers","Data visualization","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429512","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","2","159","PathlinesExplorer - Image-based exploration of large-scale pathline fields"
"To enable visualization research impacting other scientific domains, the availability of easy-to-use visualization frameworks is essential. Nevertheless, an easy-to-use system also has to be adapted to the capabilities of modern hardware architectures, as only this allows for realizing interactive visualizations. With this trade-off in mind, we have designed and realized the cross-platform Inviwo (Interactive Visualization Workshop) visualization framework, that supports both interactive visualization research as well as efficient visualization application development and deployment. In this poster we give an overview of the architecture behind Inviwo, and show how its design enables us and other researchers to realize their visualization ideas efficiently. Inviwo consists of a modern and lightweight, graphics independent core, which is extended by optional modules that encapsulate visualization algorithms, well-known utility libraries and commonly used parallel-processing APIs (such as OpenGL and OpenCL). The core enables a simplistic structure for creating bridges between the different modules regarding data transfer across architecture and devices with an easy-to-use screen graph and minimalistic programming. Making the base structures in a modern way while providing intuitive methods of extending the functionality and creating modules based on other modules, we hope that Inviwo can help the visualization community to perform research through a rapid-prototyping design and GUI, while at the same time allowing users to take advantage of the results implemented in the system in any way they desire later on. Inviwo is publicly available at www.inviwo.org, and can be used freely by anyone under a permissive free software license (Simplified BSD).","https://ieeexplore.ieee.org/document/7429514/","LOCKED","7429514","Linkoping University","https://ieeexplore.ieee.org/author/37063678500","1","Erik Sunden","37063678500","Linkoping University","https://ieeexplore.ieee.org/author/37085760977","2","Peter Steneteg","37085760977","Linkoping University","https://ieeexplore.ieee.org/author/37085409683","3","Sathish Kottravel","37085409683","Linkoping University","https://ieeexplore.ieee.org/author/38228659100","4","Daniel Jonsson","38228659100","Linkoping University","https://ieeexplore.ieee.org/author/37085759366","5","Rickard Englund","37085759366","Linkoping University","https://ieeexplore.ieee.org/author/37565763500","6","Martin Falk","37565763500","Ulm University","","7","Timo Ropinski","","","","","","","10","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429514","164","https://ieeexplore.ieee.org/document/7429514/","Inviwo","Interactive Visualization Workshop","Rapid Prototyping","Open Source Software","","","Data visualization","Computer architecture","Pipelines","Program processors","Licenses","Three-dimensional displays","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429514","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","3","163","Inviwo - An extensible, multi-purpose visualization framework"
"Cosmological simulations are a cornerstone of our understanding of the Universe during its 13.7 billion year progression from small fluctuations that we see in the cosmic microwave background to today, where we are surrounded by galaxies and clusters of galaxies interconnected by a vast cosmic web. In this paper, we present our results on the 2015 IEEE Scientific Visualization Contest, which pertains to datasets derived from the Dark Sky Simulations [10]. We ingest, process and visualise cosmological data of particle clouds and halo formations in terms of positions and shed light on various properties of scientific interest including graviational potential, velocity and spin.","https://ieeexplore.ieee.org/document/7429496/","LOCKED","7429496","Computational Science and Technology Research Center (CaSToRC) Cyprus Institute","https://ieeexplore.ieee.org/author/37085721395","1","Theodoros Christoudias","37085721395","Computational Science and Technology Research Center (CaSToRC) Cyprus Institute","https://ieeexplore.ieee.org/author/37085723413","2","Christos Kallidonis","37085723413","Computational Science and Technology Research Center (CaSToRC) Cyprus Institute","https://ieeexplore.ieee.org/author/37085737849","3","Loizos Koutsantonis","37085737849","Computational Science and Technology Research Center (CaSToRC) Cyprus Institute","https://ieeexplore.ieee.org/author/37085732781","4","Christos Lemesios","37085732781","Computational Science and Technology Research Center (CaSToRC) Cyprus Institute","https://ieeexplore.ieee.org/author/37085727390","5","Lefteris Markou","37085727390","Computational Science and Technology Research Center (CaSToRC) Cyprus Institute","https://ieeexplore.ieee.org/author/37085731811","6","Constantinos Sophocleous","37085731811","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429496","86","https://ieeexplore.ieee.org/document/7429496/","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429496","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","4","79","Visualising the dark sky IEEE SciVis contest 2015"
"We provide a visualization based answer to understanding the evolution and structure of dark matter halos by addressing the tasks assigned in 2015 IEEE Scientific Visualization Contest. The data released this year is a Cosmological Simulation dataset generated from the Dark Sky Simulation experiments. Out of the assigned tasks we are addressing the following: data integration and browsing, halo identification and visualization and diving deep into halo substructure.","https://ieeexplore.ieee.org/document/7429498/","LOCKED","7429498","The Ohio State University","https://ieeexplore.ieee.org/author/37085738698","1","Subhashis Hazarika","37085738698","The Ohio State University","","2","Tzu-Hsuan Wei","","The Ohio State University","https://ieeexplore.ieee.org/author/37085733226","3","Rajaditya Mukherjee","37085733226","The Ohio State University","https://ieeexplore.ieee.org/author/37085738848","4","Alexandru Barbur","37085738848","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429498","106","https://ieeexplore.ieee.org/document/7429498/","[Scientific Visualization]","[Dark Matter Halo]","[Particle Data]","","","","Data visualization","Data models","Data integration","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429498","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","5","101","Visualizing the life and anatomy of dark matter"
"This work presents a visualization system and its application to space missions. The system allows the public to disseminate the scientific findings of space craft and gain a greater understanding thereof. Instruments' field-of-views and their measurements are embedded in an accurate 3 dimensional rendering of the solar system to provide context to past measurements or the planning of future events. We tested our system with NASA's New Horizons at the Pluto Pallooza event in New York and will expose it to the greater public on the upcoming July 14th Pluto flyby.","https://ieeexplore.ieee.org/document/7429503/","LOCKED","7429503","Linköping University","https://ieeexplore.ieee.org/author/38489536800","1","Alexander Bock","38489536800","American Museum of Natural History, Linköping University","https://ieeexplore.ieee.org/author/37085746898","2","Michal Marcinkowski","37085746898","Linköping University","https://ieeexplore.ieee.org/author/37085740267","3","Joakim Kilby","37085740267","American Museum of Natural History","https://ieeexplore.ieee.org/author/37085747250","4","Carter Emmart","37085747250","Linköping University","https://ieeexplore.ieee.org/author/37284192000","5","Anders Ynnerman","37284192000","","","","","","","","","","","","","","","","4","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429503","142","https://ieeexplore.ieee.org/document/7429503/","","","","","","","Extraterrestrial measurements","Pluto","Aerospace electronics","Instruments","Atmospheric measurements","Space missions","Space vehicles","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429503","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","6","141","OpenSpace: Public dissemination of space mission profiles"
"The study of physical phenomena and their dynamic evolution is supported by the analysis and visualization of time-enabled data. In many applications, available data are sparsely distributed in the space-time domain, which leads to incomprehensible visualizations. We present an interactive approach for the dynamic tracking and visualization of measured data particles through advection in a simulated flow. We introduce a fully GPU-based technique for efficient spatio-temporal interpolation, using a kd-tree forest for acceleration. As the user interacts with the system using a time slider, particle positions are reconstructed for the time selected by the user. Our results show that the proposed technique achieves highly accurate parallel tracking for thousands of particles. The rendering performance is mainly affected by the size of the query set.","https://ieeexplore.ieee.org/document/7429505/","LOCKED","7429505","Virginia Tech","https://ieeexplore.ieee.org/author/37085641969","1","Mai Elshehaly","37085641969","Virginia Tech","https://ieeexplore.ieee.org/author/37323697500","2","Denis Gračanin","37323697500","Ain Shams University","https://ieeexplore.ieee.org/author/37085684904","3","Mohamed Gad","37085684904","Virginia Tech","https://ieeexplore.ieee.org/author/37085578558","4","Junpeng Wang","37085578558","Alexandria University","https://ieeexplore.ieee.org/author/38187835300","5","Hicham G. Elmongui","38187835300","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429505","146","https://ieeexplore.ieee.org/document/7429505/","I.3.8 [COMPUTER GRAPHICS]","Applications","","","","","Data visualization","Arrays","Graphics processing units","Satellites","Interpolation","Atmospheric measurements","Extraterrestrial measurements","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429505","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","7","145","Real-time interactive time correction on the GPU"
"This project explores the representation of uncertainty in visualizations for archaeological research and provides insights obtained from user feedback. Our 3D models brought together information from standing architecture and excavated remains, surveyed plans, ground penetrating radar (GPR) data from the Carthusian monastery of Bourgfontaine in northern France. We also included information from comparative Carthusian sites and a bird's eye representation of the site in an early modern painting. Each source was assigned a certainty value which was then mapped to a color or texture for the model. Certainty values between one and zero were assigned by one subject matter expert and should be considered qualitative. Students and faculty from the fields of architectural history and archaeology at two institutions interacted with the models and answered a short survey with four questions about each. We discovered equal preference for color and transparency and a strong dislike for the texture model. Discoveries during model building also led to changes of the excavation plans for summer 2015.","https://ieeexplore.ieee.org/document/7429507/","LOCKED","7429507","Brown University","","1","Scott Houde","","Brown University","","2","Sheila Bonde","","Brown University","","3","David H. Laidlaw","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429507","150","https://ieeexplore.ieee.org/document/7429507/","uncertainty visualization","3D models","architectural history","archaeology","Bourgfontaine","qualitative data","Visualization","Conferences","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429507","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","8","149","An evaluation of three methods for visualizing uncertainty in architecture and archaeology"
"We revisited past user study data on multivariate visualizations, looking at whether image processing measures offer any insight into user performance. While we find statistically significant correlations, some of the greatest insights into user performance came from variables that have strong ties to two key properties of multivariate representations. We discuss our analysis and propose a taxonomy of multivariate visualizations that arises.","https://ieeexplore.ieee.org/document/7429511/","LOCKED","7429511","","https://ieeexplore.ieee.org/author/37300434300","1","Mark A. Livingston","37300434300","","https://ieeexplore.ieee.org/author/37681593700","2","Jonathan W. Decker","37681593700","","https://ieeexplore.ieee.org/author/37330342700","3","Zhuming Ai","37330342700","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429511","158","https://ieeexplore.ieee.org/document/7429511/","H.5.2 [Information Interfaces and Presentation]: User Interfaces — Evaluation/methodology","H.5.2 [Information Interfaces and Presentation]","User Interfaces — Screen design","","","","Data visualization","Taxonomy","Image color analysis","Data analysis","Visualization","Correlation","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429511","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","9","157","A proposed multivariate visualization taxonomy from user data"
"Modeling and simulation is often used to predict future events and plan accordingly. Experiments in this domain often produce thousands of results from individual simulations, based on slightly varying input parameters. Geo-spatial visualizations can be a powerful tool to help health researchers and decision-makers to take measures during catastrophic and epidemic events such as Ebola outbreaks. The work produced a web-based geo-visualization tool to visualize and compare the spread of Ebola in the West African countries Ivory Coast and Senegal based on multiple simulation results. The visualization is not Ebola specific and may visualize any time-varying frequencies for given geo-locations.","https://ieeexplore.ieee.org/document/7429509/","LOCKED","7429509","School of Computing and Information Systems, Grand Valley State University","https://ieeexplore.ieee.org/author/37947085600","1","Jonathan P. Leidig","37947085600","School of Computing and Information Systems, Grand Valley State University","https://ieeexplore.ieee.org/author/37085661027","2","Santhosh Dharmapuri","37085661027","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429509","154","https://ieeexplore.ieee.org/document/7429509/","Modeling and simulation","geo-spatial","","","","","Computational modeling","Visualization","Predictive models","Software","Data visualization","Data models","Diseases","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429509","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","10","153","Automated visualization workflow for simulation experiments"
