"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_affiliation","articles_authors_authors_10_authorAffiliations_authorAffiliation_0","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_affiliation","articles_authors_authors_11_authorAffiliations_authorAffiliation_0","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorAffiliations_authorAffiliation_0","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorAffiliations_authorAffiliation_0","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorAffiliations_authorAffiliation_0","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorAffiliations_authorAffiliation_0","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorAffiliations_authorAffiliation_0","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_insert_date","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_isbn_formats_isbns_1_format","articles_isbn_formats_isbns_1_isbnType","articles_isbn_formats_isbns_1_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Our Web-based image analysis tool for the VAST 2017 Mini-Challenge 3 combines small multiple views of satellite images, linked semantic zooming and image intensity histograms, along with filter controls. The resulting tool allow users to interactively analyze spatio-temporal changes in the preserve area.","https://ieeexplore.ieee.org/document/8585425/","LOCKED","8585425","Electronic Visualization Laboratory, University of Illinois at Chicago","Electronic Visualization Laboratory, University of Illinois at Chicago","https://ieeexplore.ieee.org/author/37086557583","1","Vijayraj Mahida","37086557583","","","","","","","","","","","","","Electronic Visualization Laboratory, University of Illinois at Chicago","Electronic Visualization Laboratory, University of Illinois at Chicago","https://ieeexplore.ieee.org/author/37086558559","2","Bartosz Kupiec","37086558559","Electronic Visualization Laboratory, University of Illinois at Chicago","Electronic Visualization Laboratory, University of Illinois at Chicago","https://ieeexplore.ieee.org/author/37086248228","3","Andrew Burks","37086248228","Electronic Visualization Laboratory, University of Illinois at Chicago","Electronic Visualization Laboratory, University of Illinois at Chicago","https://ieeexplore.ieee.org/author/38228955300","4","Timothy Luciani","38228955300","Electronic Visualization Laboratory, University of Illinois at Chicago","Electronic Visualization Laboratory, University of Illinois at Chicago","https://ieeexplore.ieee.org/author/37937697100","5","G.Elisabeta Marai","37937697100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585425","45","208","https://ieeexplore.ieee.org/document/8585425/","","","","","","","","","","Lakes","Satellites","Tools","Roads","Image analysis","Semantics","Histograms","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585425","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","1","207","MC3 - A Web-Based Interactive Image Explorer for Temporal Analysis of Satellite Images (Honorable Mention - Good Interactive Image Explorer)"
"Presenting patterns of life with novel visualizations and reasoning cause of reduction of local birds via hypotheses are interested for Vast Challenge. Linked views, quick navigation buttons and choice of visualizations contributed to creating ways for ornithologist better finding normal and abnormal patterns of vehicles that may result in bird reduction.","https://ieeexplore.ieee.org/document/8585709/","LOCKED","8585709","Texas Tech University","Texas Tech University","https://ieeexplore.ieee.org/author/37086314575","1","Long Nguyen","37086314575","","","","","","","","","","","","","Texas Tech University","Texas Tech University","https://ieeexplore.ieee.org/author/37086009087","2","Tommy Dang","37086009087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585709","44","214","https://ieeexplore.ieee.org/document/8585709/","H.1.2 [Models and Principles]: User/Machine Systems—Human information processing","H.5.2 [Information Systems]: Information Interfaces and Presentation—User Interfaces","","","","","","","","Heating systems","Data visualization","Logic gates","Birds","Navigation","Visualization","Automobiles","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585709","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","2","213","iDVL Visualizes Patterns of Traffic"
"We propose an interactive visual analytics system for exploring spatio-temporal data in VAST 2017 Mini-Challenge-1. As part of this challenge, we are expected to determine repeating, seasonal and unusual cars' movements in Lekagul park dataset. We use varied visualizations such as heatmap, sequential sunburst and line plots. Further, we have developed a web deployable ad-hoc system for displaying spatio-temporal information on geographical map.","https://ieeexplore.ieee.org/document/8585677/","LOCKED","8585677","International Institute of Information and Technology Hyderabad, India","International Institute of Information and Technology Hyderabad, India","https://ieeexplore.ieee.org/author/37086556330","1","Ayushi Gupta","37086556330","","","","","","","","","","","","","International Institute of Information and Technology Hyderabad, India","International Institute of Information and Technology Hyderabad, India","https://ieeexplore.ieee.org/author/37085499960","2","Veera Raghavendra Chikka","37085499960","International Institute of Information and Technology Hyderabad, India","International Institute of Information and Technology Hyderabad, India","https://ieeexplore.ieee.org/author/37281960300","3","Kamalakar Karlapalem","37281960300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585677","134","222","https://ieeexplore.ieee.org/document/8585677/","","","","","","","","","","Logic gates","Automobiles","Visual analytics","Trajectory","Image color analysis","Tools","","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585677","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","3","221","VAST Mini-Challenge 1"
"In VAST Challenge 2017, we propose an interactive and collaborative visual analytic system for the analysis of traffic sensor data. Our system fully incorporates the power of spatial-temporal visualization, sequence mining techniques and collaborative analysis. It allows users to conduct multi-facet and interactive data analysis in a highly efficient way. We discuss technical details in this report, and demonstrate the effectiveness of our system via convincing cases.","https://ieeexplore.ieee.org/document/8585432/","LOCKED","8585432","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37085501991","1","Chufan Lai","37085501991","","","","","","","","","","","","","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37086559373","2","Qiangqiang Liu","37086559373","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37086558534","3","Lu Feng","37086558534","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37086556126","4","Chenglei Yue","37086556126","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37086556982","5","Xi Chen","37086556982","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37086563381","6","Yang Hu","37086563381","Qihoo 360 Enterprise Security Group","Qihoo 360 Enterprise Security Group","https://ieeexplore.ieee.org/author/37086560648","7","Zhanyi Wang","37086560648","Qihoo 360 Enterprise Security Group","Qihoo 360 Enterprise Security Group","https://ieeexplore.ieee.org/author/37086554251","8","Pengju Teng","37086554251","Beijing Engineering Technology Research Center of Virtual Simulation and Visualization, Peking University","Beijing Engineering Technology Research Center of Virtual Simulation and Visualization, Peking University","https://ieeexplore.ieee.org/author/37403856700","9","Xiaoru Yuan","37403856700","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585432","155","188","https://ieeexplore.ieee.org/document/8585432/","","","","","","","","","","Trajectory","Collaboration","Visual analytics","Data mining","Logic gates","Data analysis","","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585432","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","4","187","Interactive and Collaborative Visual Analysis on Traffic Sensor Data"
"We conducted visual analytics to find out possible reasons of the decreasing of Rose-Crested Blue Pipit, a popular local bird in a wildlife Preserve at Midford. Given two large scale and multidimensional datasets on chemical release and meteorological information, we utilized Tableau visualization toolset to reveal the patterns of monitor observation and chemical release. Additionally, we developed a prediction method to connect the wind direction with the chemical release, which eventually suggests the release origins from surrounding manufactories.","https://ieeexplore.ieee.org/document/8585648/","LOCKED","8585648","Rowan University","Rowan University","https://ieeexplore.ieee.org/author/37086445898","1","Bo Sun","37086445898","","","","","","","","","","","","","Lincoln University","Lincoln University","https://ieeexplore.ieee.org/author/37086556591","2","Rumeel Jessamy","37086556591","Brookhaven National Lab","Brookhaven National Lab","https://ieeexplore.ieee.org/author/38021621900","3","Sungsoo Ha","38021621900","Brookhaven National Lab","Brookhaven National Lab","https://ieeexplore.ieee.org/author/37085905011","4","Wei Xu","37085905011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585648","96","212","https://ieeexplore.ieee.org/document/8585648/","Visualization","Visual Analytics","Tableau","","","","","","","Chemicals","Production facilities","Wildlife","Visual analytics","Sun","Monitoring","","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585648","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","5","211","Visual Analysis to Explore Mystery at Wildlife Preserve"
"In this report, we propose PreserVis, a data visualization system for inspecting the pattern of the transportation and pollutant release in Boonsong Lekagul Nature Preserve in VAST Challenge 2017. Intuitive clustering and novel visualization methods are used to discover the patterns hidden in the datasets.","https://ieeexplore.ieee.org/document/8585719/","LOCKED","8585719","The Hong Kong University of Science and Technology","The Hong Kong University of Science and Technology","https://ieeexplore.ieee.org/author/37086557983","1","Qiao GU","37086557983","","","","","","","","","","","","","The Hong Kong University of Science and Technology","The Hong Kong University of Science and Technology","https://ieeexplore.ieee.org/author/37086555653","2","Hang YIN","37086555653","The Hong Kong University of Science and Technology","The Hong Kong University of Science and Technology","https://ieeexplore.ieee.org/author/37086561789","3","Lian CHEN","37086561789","The Hong Kong University of Science and Technology","The Hong Kong University of Science and Technology","https://ieeexplore.ieee.org/author/37086556186","4","Haotian LI","37086556186","The Hong Kong University of Science and Technology","The Hong Kong University of Science and Technology","https://ieeexplore.ieee.org/author/37086563802","5","Chengzhong LIU","37086563802","The Hong Kong University of Science and Technology","The Hong Kong University of Science and Technology","https://ieeexplore.ieee.org/author/37086543179","6","Xuanwu YUE","37086543179","The Hong Kong University of Science and Technology","The Hong Kong University of Science and Technology","https://ieeexplore.ieee.org/author/37272637300","7","Huamin QU","37272637300","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585719","160","184","https://ieeexplore.ieee.org/document/8585719/","PreserVis","VAST Challenge","data visualization","","","","","","","Automobiles","Bars","Sensors","Data visualization","Birds","Companies","","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585719","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","6","183","PreserVis, a Visual Analytic System for Traffic and Pollution Patterns - Multi-Challenge Award for Compelling Synthesis of Information"
"Analysis of sensor data is currently a popular topic in visual analytics, as visual representations can efficiently uncover insights in huge and noisy datasets.","https://ieeexplore.ieee.org/document/8585723/","LOCKED","8585723","School of Information Systems, Singapore Management University","School of Information Systems, Singapore Management University","https://ieeexplore.ieee.org/author/37086560631","1","Jiaqi Zhang","37086560631","","","","","","","","","","","","","School of Information Systems, Singapore Management University","School of Information Systems, Singapore Management University","https://ieeexplore.ieee.org/author/37086554155","2","Xintian Liu","37086554155","School of Information Systems, Singapore Management University","School of Information Systems, Singapore Management University","https://ieeexplore.ieee.org/author/37086556648","3","Hongjun Qian","37086556648","School of Information Systems, Singapore Management University","School of Information Systems, Singapore Management University","https://ieeexplore.ieee.org/author/37902928800","4","Tin Seong Kam","37902928800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585723","42","242","https://ieeexplore.ieee.org/document/8585723/","","","","","","","","","","Chemicals","Data visualization","Production facilities","Heating systems","Wind speed","Tools","Visual analytics","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585723","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","7","241","Visualizing chemicals detection VAST 2017 Mini Challenge 2"
"We present an approach developed in course of the VAST 2017 Mini-Challenge 2. To help the ornithologist Mitch to investigate the noxious gases emitted by the four companies south of the nature preserve, we employ a combination of interactive visualizations that allow for an exploration of the data. In this paper, we present our visual-interactive approach for analyzing suspicious patterns in the data. By taking the wind data into consideration, as well, our approach allows the retrieval of patterns in the chemical releases and identify key polluters.","https://ieeexplore.ieee.org/document/8585436/","LOCKED","8585436","University of Konstanz","University of Konstanz","https://ieeexplore.ieee.org/author/37085831457","1","Daniel Seebacher","37085831457","","","","","","","","","","","","","University of Konstanz","University of Konstanz","https://ieeexplore.ieee.org/author/37085712169","2","Bruno Schneider","37085712169","Harvard University","Harvard University","https://ieeexplore.ieee.org/author/38551542600","3","Michael Behrisch","38551542600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585436","33","226","https://ieeexplore.ieee.org/document/8585436/","","","","","","","","","","Chemicals","Monitoring","Companies","Wind speed","Visualization","Task analysis","Time series analysis","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585436","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","8","225","Visual Integration of Meteorological and Sensor Data for Identifying Suspicious Company Behavior"
"We describe our approach to the analysis of 2017 VAST Challenge Mini-Challenge 2 data. The challenge deals with readings from air sampler stations. To answer the main question, the provenance of the chemicals measured at the sampler stations, we extend the provided data set by aggregated spatio-temporal provenance data. This data is generated from the provided meteorological data and locations map by using it as input for a particle tracer which calculates the provenance of the particles arriving from the emitters (factories) at the collectors (the locations of sampler stations). We use ComVis [3], a coordinated multiple views (CMV) system, to analyze the whole data set (the provided and generated data) by applying a sensor centric data model.","https://ieeexplore.ieee.org/document/8585615/","LOCKED","8585615","VRVis Research Center, Vienna, Austria","VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37085338700","1","Rainer Splechtna","37085338700","","","","","","","","","","","","","VRVis Research Center, Vienna, Austria","VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37086554776","2","Silvana Podaras","37086554776","VRVis Research Center, Vienna, Austria","VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37073197900","3","Michael Beham","37073197900","Virginia Tech, Blacksburg, VA, USA","Virginia Tech, Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/37323697500","4","Denis Gračanin","37323697500","VRVis Research Center, Vienna, Austria","VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37947312900","5","Krešimir Matković","37947312900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585615","54","230","https://ieeexplore.ieee.org/document/8585615/","I.3.8 [Computing Methodologies]: Computer Graphics—Applications","","","","","","","","","Production facilities","Brushes","Time series analysis","Chemicals","Data models","Visualization","Birds","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585615","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","9","229","MC2 — Spatio-Temporal Provenance Data Aggregation for Visual Analysis"
"This paper summarizes the approach and tools used by our team to analyze the dataset for Mini-Challenge 1 of the 2017 VAST Challenge. The goal of the mini-challenge was to find patterns of traffic activity within the park that may be associated with declining numbers of nesting bird pairs. We developed a custom, web-based application using Python and JavaScript to visualize and analyze the data to solve the mini-challenge.","https://ieeexplore.ieee.org/document/8585475/","LOCKED","8585475","Charles River Analytics","Charles River Analytics","https://ieeexplore.ieee.org/author/37086558607","1","Chris Muller","37086558607","","","","","","","","","","","","","Charles River Analytics","Charles River Analytics","https://ieeexplore.ieee.org/author/37086563036","2","Kevin McGurgan","37086563036","Charles River Analytics","Charles River Analytics","https://ieeexplore.ieee.org/author/37086560607","3","Stephanie Kane","37086560607","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585475","48","216","https://ieeexplore.ieee.org/document/8585475/","","","","","","","","","","Data visualization","Roads","Birds","Image color analysis","Automobiles","Encoding","Optimization","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585475","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","10","215","Temporal and Spatial Analysis of VAST 2017’s Mini-Challenge 1"
