"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_11","articles_index_terms_author_terms_terms_12","articles_index_terms_author_terms_terms_13","articles_index_terms_author_terms_terms_14","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_isbn_formats_isbns_1_format","articles_isbn_formats_isbns_1_isbnType","articles_isbn_formats_isbns_1_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"In this paper we show an alternative approach to the standard data mining tools for detecting outliers both in sampling rates and in the measurements derived from those samples. Our interactive tool fits in the context of the VAST Mini Challenge 2, regarding the alleged chemical dumpings in the Boonsong Lekagul Wildlife Preserve. The approach developed comprises an interactive dashboard built in R using mainly the Plotly and Shiny packages that allows the user to choose the summary statistics for the sample sizes and to select which measurements (e.g. locations, chemicals) to analyse.","https://ieeexplore.ieee.org/document/8802453/","LOCKED","8802453","University of Buenos Aires","https://ieeexplore.ieee.org/author/37086945861","1","Pablo Santoro","37086945861","University of Buenos Aires","https://ieeexplore.ieee.org/author/37086945670","2","Rubén Flecha","37086945670","University of Buenos Aires","https://ieeexplore.ieee.org/author/37086939168","3","Juan Pablo Pilorget","37086939168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802453","120","https://ieeexplore.ieee.org/document/8802453/","Multivariate Analysis","Statistical Analysis","","","","","","R","Interactive Visualization","","","","","","","Pollution measurement","Distortion measurement","Conferences","Visual analytics","Chemicals","Atmospheric measurements","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802453","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","1","118","A Unified Approach For Sampling And Measurement Joint Analysis"
"This work proposes a visual analytic technique for visualizing temporal pattern detection in networks. The force-directed layout is a popular way to highlight structures of a network however it does not allow to present the dynamic features (how communities change over time). We target this problem by forcing nodes to display vertically and using the horizontal space for representing the timeline of entities. To show the connection between nodes, the edges are drawn vertically to avoid edge-crossings. This work also presents the result of applying the solution to the VAST 2018 - Mini Challenge 3 dataset, which led to the Honorable Mention: Representation of Small-Scale Temporal Patterns for the challenge.","https://ieeexplore.ieee.org/document/8802457/","LOCKED","8802457","Computer Science Department, Texas Tech University","https://ieeexplore.ieee.org/author/37086009087","1","Tommy Dang","37086009087","Computer Science Department, Texas Tech University","https://ieeexplore.ieee.org/author/37086600331","2","Vung V. Pham","37086600331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802457","109","https://ieeexplore.ieee.org/document/8802457/","","","","","","","","","","","","","","","","Visual analytics","Layout","Computer science","Dynamics","Image color analysis","Bioinformatics","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802457","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","2","108","TimeMatrix: Visual Representation for Temporal Pattern Detection in Dynamic Networks, VAST 2018 Mini-Challenge 3"
"The VAST 2018 company communication dataset reflects current challenges in analyzing specific sub-group within a large dynamic network. We apply multiple visual analytic techniques. This also includes a traceability system, a custom visualization tool enable tracing a focused group on multivariate dynamic networks. We manage to tackle the tasks of abstracting group structural features and discovering other groups tied closely.","https://ieeexplore.ieee.org/document/8802392/","LOCKED","8802392","Sky Eye Lab, 360 Enterprise Security Corp., Endpoint Security, Inc.","https://ieeexplore.ieee.org/author/37086940067","1","Qi Ma","37086940067","Sky Eye Lab, 360 Enterprise Security Corp., Endpoint Security, Inc.","https://ieeexplore.ieee.org/author/37086942837","2","Xueshi Wei","37086942837","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37086945923","3","Liwenhan Xie","37086945923","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37086940489","4","Zhiyi Yin","37086940489","Sky Eye Lab, 360 Enterprise Security Corp., Endpoint Security, Inc.","https://ieeexplore.ieee.org/author/37086942244","5","Yiping Liu","37086942244","Sky Eye Lab, 360 Enterprise Security Corp., Endpoint Security, Inc.","https://ieeexplore.ieee.org/author/37086942064","6","Chuanming Huang","37086942064","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37403856700","7","Xiaoru Yuan","37403856700","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802392","107","https://ieeexplore.ieee.org/document/8802392/","Human-centered computing","Visualization","","","","","","Visualization application domains","Visual analytics","","","","","","","Companies","Visual analytics","Data visualization","Security","Task analysis","Image color analysis","Animation","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802392","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","3","106","Visual Analysis for Subgroups in a Dynamic Network"
"We conducted visual analytics to find out the organizational structure of the group within Kasios Factory. Given nine large scale datasets on communication and purchase information between employees, we utilized Tableau visualization toolset to determine company growth and potiental suspicious employees. Additionaly, we created communication network graphs in R to present interactions between those suspicious employees.","https://ieeexplore.ieee.org/document/8802426/","LOCKED","8802426","Department of Computer Science, Rowan University, NJ, USA","https://ieeexplore.ieee.org/author/37086445898","1","Bo Sun","37086445898","Department of Computer Science, Rowan University, NJ, USA","https://ieeexplore.ieee.org/author/37086943413","2","Ce Pang","37086943413","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802426","130","https://ieeexplore.ieee.org/document/8802426/","Visualization","Visual Analytics","","","","","","Tableau","R","","","","","","","Companies","Visual analytics","Production facilities","Sun","Java","","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802426","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","4","129","A Visualization Study on Visual Analysis to Explore the Organizational Structure of the Group Within a Factory"
"We viewed visual datasets from chemical testing in the Boonsong Lekagul Wildlife Preserve waterways to determine if any of the chemical readings would prove harmful to the environment. With the amount of data provided, we utilized Tableau to visualize these findings to better understand the trends and anomalies that came with it. We also developed a prediction to what direction the rivers flow, and how each location is related to one another.","https://ieeexplore.ieee.org/document/8802430/","LOCKED","8802430","Rowan University, NJ, USA","https://ieeexplore.ieee.org/author/37086445898","1","Bo Sun","37086445898","Rowan University, NJ, USA","https://ieeexplore.ieee.org/author/37086945400","2","Benjamin Weidner","37086945400","U.S. Army Research Lab","https://ieeexplore.ieee.org/author/37085998296","3","Simon Su","37085998296","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802430","122","https://ieeexplore.ieee.org/document/8802430/","Visual Analytics","Data Visualization","","","","","","","","","","","","","","Chemicals","Market research","Wildlife","Iron","Data visualization","Rivers","Testing","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802430","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","5","121","Using Tableau to Discover the Effect of Chemical Release at Wildlife Preserve"
"Effectively combining machine learning techniques and visual analytics to support inferred results is an area of great importance. In this paper, we use the audio collection data provided as part of the 2018 VAST Challenge, which takes place in a fictitious natural preserve where a bird species has been claimed to be endangered by a polluting company. The goal of the mini challenge is to find evidence to support or refute the company's claim that the RoseCrested Blue Pipit (RCBP) is thriving across the Preserve. This required to characterize the patterns of all the bird species in the Preserve and classify newly collected audio recordings into their corresponding species. Our solution implements multiple visual analysis for spatiotemporal pattern discovery and to support results obtained through a machine learning model.","https://ieeexplore.ieee.org/document/8802505/","LOCKED","8802505","Master in Data Mining and Knowledge Discovery, Universidad de Buenos Aires","https://ieeexplore.ieee.org/author/37085582937","1","Andrei Rukavina","37085582937","Master in Data Mining and Knowledge Discovery, Universidad de Buenos Aires","https://ieeexplore.ieee.org/author/37086939058","2","Sergio Banchero","37086939058","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802505","91","https://ieeexplore.ieee.org/document/8802505/","VAST Challenge","visual analytics","","","","","","audio classification","","","","","","","","Birds","Visualization","Tools","Machine learning","Graphical models","Distribution functions","Pipelines","Awards","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802505","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","6","90","VAST Challenge 2018: Mini-Challenge 1 Award: Applied Visual Data Science"
"This work proposes a visual analytic solution which is well-designed to provide investigative functions with fluent interactions to analyze multi-dimensional temporal data. The solution allows users to view different dimensions of the data at different levels of details with a well-designed mixture of different visualizations and smooth interactions. At the general/overview level, various aggregation strategies are used to reduce data to be visualized, and different sorting procedures are used to cluster correlated data together to help discover patterns. Detail views are provided to explore and confirm/reject the identified patterns. Interaction and smooth transition between views are implemented to enable natural actions while performing analysis tasks. This work also presents the result of applying the solution to the VAST 2018 - Mini-Challenge (MC) 2 dataset, which led to the Strong Support for Exploratory Analysis award for the challenge.","https://ieeexplore.ieee.org/document/8802440/","LOCKED","8802440","Computer Science Department, Texas Tech University","https://ieeexplore.ieee.org/author/37086600331","1","Vung V. Pham","37086600331","Computer Science Department, Texas Tech University","https://ieeexplore.ieee.org/author/37086009087","2","Tommy Dang","37086009087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802440","101","https://ieeexplore.ieee.org/document/8802440/","Multi-dimensional","temporal data analysis—Heat-map—Line-graph—Interaction Design","","","","","","VAST Challenge 2018—Mini-Challenge 2—Award:Strong Support for Exploratory Analysis—","","","","","","","","Heating systems","Data visualization","Sorting","Image color analysis","Frequency measurement","Calcium","Magnesium","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802440","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","7","100","MTDES: Multi-dimensional Temporal Data Exploration System"
"In this paper, we introduce PhoenixMap, a visual analytics system to help analysts understand spatiotemporal distribution patterns and anomalies of many objects. It focuses on solving two VA challenges. First, visualizing the spatial distribution of many points under different categories especially when these points partially overlap with each other; Second, employing visual means to classify bird calls using deep learning CNN method. This PhoenixMap system can successfully help us understand the change and patterns of birds regions over many years.","https://ieeexplore.ieee.org/document/8802513/","LOCKED","8802513","Purdue University","https://ieeexplore.ieee.org/author/37086946044","1","Junhan Zhao","37086946044","Purdue University","https://ieeexplore.ieee.org/author/37086945446","2","xiang Liu","37086945446","Naperville North High School","https://ieeexplore.ieee.org/author/37086945363","3","Ryan Guan","37086945363","Adlai E.Stevenson High School","https://ieeexplore.ieee.org/author/37086946066","4","Josephine Zhang","37086946066","Purdue University","https://ieeexplore.ieee.org/author/37085399195","5","Baijian Yang","37085399195","Purdue University","https://ieeexplore.ieee.org/author/37086940493","6","Zhenyu Qian","37086940493","Purdue University","https://ieeexplore.ieee.org/author/37086942493","7","Yingjie Chen","37086942493","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802513","115","https://ieeexplore.ieee.org/document/8802513/","Human-centered computing","Visualization","","","","","","Visualization design and evaluation methods","","","","","","","","Birds","Data visualization","Spectrogram","Sociology","Statistics","Deep learning","Spatiotemporal phenomena","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802513","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","8","114","Phoenixmap: Spatio-Temporal Distribution Analysis With Deep Learning Classifications"
"To solve VAST Mini Challenge 1, we build an interactive visualization tool that allows hypothesis testing and exploratory analysis of the data. The tool contains different visualizations for metadata and audio data analysis. To analyze the recorded bird calls, we trained a Gradient Boosting-classifier to distinguish different bird species. Our tool integrates these results and visualizes them in combination with additional data allowing the user to get context information and confirm the results.","https://ieeexplore.ieee.org/document/8802517/","LOCKED","8802517","IEEE Conference on Visual Analytics, Science and Technology (VAST), 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/37086944226","1","Benedikt Bäumle","37086944226","IEEE Conference on Visual Analytics, Science and Technology (VAST), 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/37086941871","2","Ina Boesecke","37086941871","IEEE Conference on Visual Analytics, Science and Technology (VAST), 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/37086942285","3","Raphael Buchmüller","37086942285","IEEE Conference on Visual Analytics, Science and Technology (VAST), 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/37086942581","4","Yannick Metz","37086942581","IEEE Conference on Visual Analytics, Science and Technology (VAST), 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/38233607000","5","Juri Buchmüller","38233607000","IEEE Conference on Visual Analytics, Science and Technology (VAST), 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/37087002703","6","Eren Cakmak","37087002703","IEEE Conference on Visual Analytics, Science and Technology (VAST), 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/37086560996","7","Wolfgang Jentner","37086560996","IEEE Conference on Visual Analytics, Science and Technology (VAST), 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/37283138700","8","Daniel A. Keim","37283138700","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802517","97","https://ieeexplore.ieee.org/document/8802517/","Visual Analytics","Visualization","","","","","","Visualization techniques","","","","","","","","Birds","Data visualization","Tools","Metadata","Feature extraction","Spectrogram","Image segmentation","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802517","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","9","96","Interactive Webtool for Tempospatial Data and Visual Audio Analysis : VAST Challenge 2018: Honorable Mention for Interactive Analytic Tool"
"We describe our analysis of VAST Challenge 2018 Mini-Challenge 2 data set using a collection of visualization tools. We used the tools for better user interaction and to introduce new views in support of visual analytics. We answer some of the challenge questions and plan further research on data exploration and analysis based on the newly introduced data model, interaction, and views.","https://ieeexplore.ieee.org/document/8802460/","LOCKED","8802460","VRVis Research Center","https://ieeexplore.ieee.org/author/37073197900","1","Michael Beham","37073197900","VRVis Research Center","https://ieeexplore.ieee.org/author/37085338700","2","Rainer Splechtna","37085338700","Virginia Tech","https://ieeexplore.ieee.org/author/37323697500","3","Denis Gračanin","37323697500","VRVis Research Center","https://ieeexplore.ieee.org/author/37086943647","4","Elena Ginina","37086943647","VRVis Research Center","https://ieeexplore.ieee.org/author/37947312900","5","Krešimir Matković","37947312900","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802460","124","https://ieeexplore.ieee.org/document/8802460/","Human-centered computing","Visualization","","","","","","Visualization Techniques","","","","","","","","Data visualization","Task analysis","Heating systems","Tools","Geology","Phosphorus","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802460","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","10","123","River-water Quality Exploration"
