Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited,Award
conference_external,2019,EQSA: Earthquake Situational Analytics from Social Media,10.1109/VAST47406.2019.8986947,https://doi.org/10.1109/VAST47406.2019.8986947,142,143,Conferences,"This paper introduces EQSA, an interactive exploratory tool for earthquake situational analytics using social media. EQSA is designed to support users to characterize the condition across the area around the earthquake zone, regarding related events, resources to be allocated, and responses from the community. On the general level, changes in the volume of messages from chosen categories are presented, assisting users in conveying a general idea of the condition. More in-depth analysis is provided with topic evolution, community visualization, and location representation. EQSA is developed with intuitive, interactive features and multiple linked views, visualizing social media data, and supporting users to gain a comprehensive insight into the situation. In this paper, we present the application of EQSA with the VAST Challenge 2019: Mini-Challenge 3 (MC3) dataset.",,Huyen N. Nguyen;Tommy Dang,"Department of Computer Science, Texas Tech University;Department of Computer Science, Texas Tech University",,"Earthquake Analysis,Social Media Data,,Interactive Visualization,Visual Analytics,EQSA,WordStream,VAST Challenge 2019,Mini-Challenge 3,,",,9,,
conference_external,2019,Award for Outstanding Comprehensive Mini-Challenge 2 Solution - RadiationMonitor: An Interactive System for Visualizing and Exploring Spatial-Temporal Data,10.1109/VAST47406.2019.8986939,https://doi.org/10.1109/VAST47406.2019.8986939,114,115,Conferences,"In this paper, we proposed RadiationMonitor, an interactive system for visualizing and exploring spatial-temporal data from static and mobile sensors. We use pixel-based time-series visualization for event presentation, and the trajectories of mobile sensors are discretized to display the spatial distribution of sensor readings. Our system provides cross-filtering and detail-on-demand interactions, which allow users to investigate data from both spatial and temporal aspects.",,Datong Wei;Hanning Shao;Zijing Tan;Chenlu Li;Zhixian Lin;Xiaoju Dong;Xiaoru Yuan,"Key Laboratory of Machine Perception, Ministry of Education, School of EECS, Peking University;Key Laboratory of Machine Perception, Ministry of Education, School of EECS, Peking University;Weinberg College of Arts and Sciences, Northwestern University;School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University;Key Laboratory of Machine Perception, Ministry of Education, School of EECS, Peking University;School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University;National Engineering Laboratory for Big Data Analysis and Application, Peking University",,"Human-centered computing,Visualization,,Visualization application domains,Visual analytics,,,,,,",,1,,
conference_external,2019,Visual Analysis of Multivariate Time Series of Static and Mobile Sensors,10.1109/VAST47406.2019.8986910,https://doi.org/10.1109/VAST47406.2019.8986910,118,119,Conferences,"The mini-challenge 2 of VAST Challenge 2019 asks the participants to make sense of the radiation conditions in St. Himark using radiation readings from the both stationary monitors and mobile sensors, particularly, to detect and monitor a bunch of contaminated cars running in the city. This paper presents our visual analysis solution to detect and localize these cars using various visualization techniques, including small multiples, distribution histogram, and animation. As a result, we detected most of these cars, characterize their behavior during the given time period and give suspected locations of these cars at the end. We also developed a visual analysis interface using Tableau to help users evaluate the uncertainty of sensor readings, make sense of radiation changes in different area, and make future plans to deploy more sensors.",,Yueqi Hu;Qi Ma;Yang Chen;Haidong Chen;Weiqing Jin;Fenjin Ye,"Hangzhou Chengying Data Technology Co., Ltd.;Hangzhou Chengying Data Technology Co., Ltd.;Hangzhou Chengying Data Technology Co., Ltd.;Hangzhou Chengying Data Technology Co., Ltd.;Hangzhou Chengying Data Technology Co., Ltd.;Hangzhou Chengying Data Technology Co., Ltd.",,"Visual analytics,Small Multiple,,Time Series Analysis,,,,,,,",,1,,
conference_external,2019,VIS Keynote Address: Data Visualization Literacy,10.1109/VAST47406.2019.8986914,https://doi.org/10.1109/VAST47406.2019.8986914,1,1,Conferences,"Summary form only given, as follows. The complete presentation was not made available for publication as part of the conference proceedings. In the information age, the ability to read and make data visualizations is as important as the ability to read and write. This talk introduces a theoretical data visualization framework (DVL) meant to empower anyone to systematically render data into insights using temporal, geospatial, topical, and network analyses and visualizations. Exemplarily, the DVL is applied to (1) Map science and technology, see interactive data visualizations from the Places & Spaces: Mapping Science exhibit (http://scimaps.org) and recent PNAS special issue on Modelling and Visualizing Science and Technology Developments (https://www.pnas.org/modeling). (2) Design reference systems and user interfaces within the Human BioMolecular Atlas Program (HuBMAP) (https://commonfund.nih.gov/hubmap) that support the exploration and communication of single-cell data from the subcellular to the whole body level. (3) Teach Visual Analytics (https://visanalytics.cns.iu.edu) to students around the globe.",,Katy Börner,Indiana University,,",,,,,,,,,,",,1,,
conference_external,2019,EarthquakeAware: Visual Analytics for Understanding Human Impacts of Earthquakes from Social Media Data,10.1109/VAST47406.2019.8986931,https://doi.org/10.1109/VAST47406.2019.8986931,122,123,Conferences,"In this paper, we propose EathquakeAware, a visual analytics system for social media visualization. Our system supports analyzing geo-tagged messages from different perspectives, including location, keyword, account. It can summarize the evolution patterns of topics and reveal the discussing trend of different keywords to help evaluate situations in different regions. We take VAST Challenge 2019 Mini Challenge 3 as case studies to demonstrate its effectiveness in a fictitious analysis scenario.",,Shuai Chen;Sihang Li;Liwenhan Xie;Yi Zhong;Yun Han;Xiaoru Yuan,"Key Laboratory of Machine Perception, Ministry of Education, School of EECS, Peking University;Key Laboratory of Machine Perception, Ministry of Education, School of EECS, Peking University;Key Laboratory of Machine Perception, Ministry of Education, School of EECS, Peking University;Key Laboratory of Machine Perception, Ministry of Education, School of EECS, Peking University;Key Laboratory of Machine Perception, Ministry of Education, School of EECS, Peking University;National Engineering Laboratory for Big Data Analysis and Application, Peking University",,"Human-centered computing,Visualization,,Visualization application domains,Visual analytics,,,,,,",,1,,
conference_external,2019,UofC-Bayes: A Bayesian Approach to Visualizing Uncertainty in Likert Scales,10.1109/VAST47406.2019.8986935,https://doi.org/10.1109/VAST47406.2019.8986935,130,131,Conferences,"Disasters demand a quick response based on incomplete information. For the Saint Himark dataset, part of the 2019 VAST Challenge, we focused on delivering a visualization which accurately conveyed that uncertainty. While our analysis was done offline, we chose techniques and algorithms which could easily be applied to realtime usage. Our visualization for the first mini-challenge was a one-screen dashboard that summarized citizen feedback.",,Haysn Hornbeck;Usman Alim,University of Calgary;University of Calgary,,"Human-centered computing,Visualization,Mathematics and statistics,Visualization techniques,Graph drawings,Computing methodologies,Modeling and simulation,Simulation types and techniques,Uncertainty quantification,Applied computing,Physical sciences and engineering",,1,,
conference_external,2019,cpmViz: A Web-Based Visualization Tool for Uncertain Spatiotemporal Data,10.1109/VAST47406.2019.8986941,https://doi.org/10.1109/VAST47406.2019.8986941,140,141,Conferences,"The goal of the VAST challenge 2019 Mini Challenge 2 was to visualize radioactive contaminations measured by mobile and static sensors and their changes over time, allowing city officials to determine the severity of the leakage at the city's nuclear power plant. We propose cpmViz, a web-based tool that allows for interactive data exploration of the sensor readings in both of the spatial and temporal dimensions. The tool consists out of three views that are connected via linking and scrolling. We visualize static sensor uncertainty by introducing Voronoi cells to illustrate how much space is covered by an individual measurement unit. For mobile sensors, we showcase their activity periods and introduce the concept of sensor streaks as periods of uninterrupted recordings as a temporal uncertainty measure. As for spatial uncertainty, we color individual districts based on the amount of data that was recorded inside the user's selected time window. Using our system, we were able to easily spot major events like the city's initial earthquake in the sensor readings. Certain southern districts are clearly visible as areas of concern that we consider in need of more static sensors. Furthermore, we were also able to identify static as well as moving contaminations.",,Fabian Nagel;Giuliano Castiglia;Gemza Ademaj;Juri Buchmller;Udo Schlegel;Daniel A. Keim,"Data Analysis and Visualization Group, University of Konstanz, Germany;Data Analysis and Visualization Group, University of Konstanz, Germany;Data Analysis and Visualization Group, University of Konstanz, Germany;Data Analysis and Visualization Group, University of Konstanz, Germany;Data Analysis and Visualization Group, University of Konstanz, Germany;Data Analysis and Visualization Group, University of Konstanz, Germany",,"Human-centered computing,Visualization,,Visualization application domains,Visual Analytics,,,,,,",,1,,
conference_external,2019,Visual Analysis for Messages in Social Media,10.1109/VAST47406.2019.8986912,https://doi.org/10.1109/VAST47406.2019.8986912,126,127,Conferences,"The VAST 2019 Mini Challenge 3 (MC3) shows current challenges in analyzing and finding useful information from social media text datasets. We develop tools to process and visualize data including heat map, stacked area chart and message tables. It helps us identifying situations and making suggestions.",,Mengyang Zhang;Kaokao Lv;Liang Tang;Chuanming Huang;Zhaokang Yuan;Xiaobo Luo;Zhengyan Yu;Lingjun He;Zhuo Zhang,"Qi An Xin Group, Beijing, China;Qi An Xin Group, Beijing, China;Qi An Xin Group, Beijing, China;Qi An Xin Group, Beijing, China;Qi An Xin Group, Beijing, China;Qi An Xin Group, Beijing, China;Qi An Xin Group, Beijing, China;Qi An Xin Group, Beijing, China;Qi An Xin Group, Beijing, China",,"Human-centered computing,Visualization,,Visualization application domains,Visual analytics,,,,,,",,0,,
conference_external,2019,TopicInk: Visualizing Disaster-Related Textual Data Using LDA Topic Modeling: Vast Challenge 2019: Honorable Mention for Clear Articulation of Methodology,10.1109/VAST47406.2019.8986949,https://doi.org/10.1109/VAST47406.2019.8986949,124,125,Conferences,"We proposed a visual analytics tool to analyze social media posts through machine-learning techniques. Latent Dirichlet Allocation and Named Entities Recognition were used to extract semantic information. 12 topics were identified to interpret semantic meanings and reveal spatiotemporal patterns in the dataset. Our visualization consists of topic bubbles, frequency bar chart, stream graph, fisheye list, massage view, map view, word cloud, and social network graph. All the views are linked together and enhanced by efficient interactions. This paper describes the methodology and visualization design in detail.",,Chen Guo;Xiang Liu;Evie Cai;Yingjie Victor Chen;Zhenyu Cheryl Qian;Rui Li,"James Madison University, USA;Purdue University, USA;West Lafayette High School, USA;Purdue University, USA;Purdue University, USA;Jiangnan University, CHN",,"Visual analytics,social media,,latent dirichlet allocation,H.5.2 [Information Interfaces and Presentation]: User Interfaces,H.1.2 [User/Machine Systems]: Visual Analytics,,,,,",,0,,
conference_external,2019,VIS Capstone Address: Visualizing Temporality and Chronologies for the Humanities,10.1109/VAST47406.2019.8986953,https://doi.org/10.1109/VAST47406.2019.8986953,1,1,Conferences,"The charts, graphs, network diagrams, and other graphics generally grouped under the rubric “information visualizations” were almost all developed to serve the empirical, statistical, or social sciences. They use explicit quantities, standard metrics, and unambiguous visual elements to create clear, concise, legible messages. The terms on which visualizations are assessed tends to value these properties-and to be premised on the idea that the best graphics are those that “show the data”-as if data had inherent form. The difficulty with this entire set of assumptions is that they do not establish foundations for visualizing complex historical events, narrative discourse, or human experience as it is expressed in documents and artifacts where “data” are not self-evident or standard. The humanities, in adopting visualizations from empirically based fields, has failed to develop methods that engage with the interpretative aspects of its own discourse. Using three case studies-one from news narratives, one from mixed historical chronologies, one from imagined crisis scenarios-this paper argues for the development of visualizations capable of showing variable timescales, comparative chronology, and partial and unfolding temporalities. The basic components of these systems are non-linear, affective, and unable to be standardized in ways that trouble empirical approaches but serve interpretative understandings of experience and its representation in cultural expressions. The questions of how such systems might be designed and where they might have useful applications will be raised to generate discussion.",,Johanna Drucker,UCLA,,",,,,,,,,,,",,0,,
