"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorAffiliations_authorAffiliation_1","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_affiliation","articles_authors_authors_10_authorAffiliations_authorAffiliation_0","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_affiliation","articles_authors_authors_11_authorAffiliations_authorAffiliation_0","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_affiliation","articles_authors_authors_12_authorAffiliations_authorAffiliation_0","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_13_affiliation","articles_authors_authors_13_authorAffiliations_authorAffiliation_0","articles_authors_authors_13_authorUrl","articles_authors_authors_13_author_order","articles_authors_authors_13_full_name","articles_authors_authors_13_id","articles_authors_authors_14_affiliation","articles_authors_authors_14_authorAffiliations_authorAffiliation_0","articles_authors_authors_14_authorUrl","articles_authors_authors_14_author_order","articles_authors_authors_14_full_name","articles_authors_authors_14_id","articles_authors_authors_15_affiliation","articles_authors_authors_15_authorAffiliations_authorAffiliation_0","articles_authors_authors_15_authorUrl","articles_authors_authors_15_author_order","articles_authors_authors_15_full_name","articles_authors_authors_15_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorAffiliations_authorAffiliation_1","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorAffiliations_authorAffiliation_1","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorAffiliations_authorAffiliation_1","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorAffiliations_authorAffiliation_0","articles_authors_authors_5_authorAffiliations_authorAffiliation_1","articles_authors_authors_5_authorAffiliations_authorAffiliation_2","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorAffiliations_authorAffiliation_0","articles_authors_authors_6_authorAffiliations_authorAffiliation_1","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorAffiliations_authorAffiliation_0","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorAffiliations_authorAffiliation_0","articles_authors_authors_8_authorAffiliations_authorAffiliation_1","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorAffiliations_authorAffiliation_0","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_insert_date","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume"
"Deep learning is increasingly used in decision-making tasks. However, understanding how neural networks produce final predictions remains a fundamental challenge. Existing work on interpreting neural network predictions for images often focuses on explaining predictions for single images or neurons. As predictions are often computed from millions of weights that are optimized over millions of images, such explanations can easily miss a bigger picture. We present Summit, an interactive system that scalably and systematically summarizes and visualizes what features a deep learning model has learned and how those features interact to make predictions. Summit introduces two new scalable summarization techniques: (1) activation aggregation discovers important neurons, and (2) neuron-influence aggregation identifies relationships among such neurons. Summit combines these techniques to create the novel attribution graph that reveals and summarizes crucial neuron associations and substructures that contribute to a model's outcomes. Summit scales to large data, such as the ImageNet dataset with 1.2M images, and leverages neural network feature visualization and dataset examples to help users distill large, complex neural network models into compact, interactive visualizations. We present neural network exploration scenarios where Summit helps us discover multiple surprising insights into a prevalent, large-scale image classifier's learned representations and informs future neural network architecture design. The Summit visualization runs in modern web browsers and is open-sourced.","https://ieeexplore.ieee.org/document/8807294/","LOCKED","8807294","Georgia Tech.","Georgia Tech.","","https://ieeexplore.ieee.org/author/37086235240","1","Fred Hohman","37086235240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Georgia Tech.","Georgia Tech.","","https://ieeexplore.ieee.org/author/37087106137","2","Haekyu Park","37087106137","Georgia Tech.","Georgia Tech.","https://ieeexplore.ieee.org/author/37086161685","3","Caleb Robinson","37086161685","Georgia Tech.","Georgia Tech.","","https://ieeexplore.ieee.org/author/37087104658","4","Duen Horng Polo Chau","37087104658","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","0","Journals","10.1109/TVCG.2019.2934659","2126","1106","https://ieeexplore.ieee.org/document/8807294/","Deep learning interpretability","visual analytics","scalable summarization","attribution graph","","","","","","Neurons","Biological neural networks","Feature extraction","Data visualization","Computational modeling","Predictive models","Visualization","20190820","8911289","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8807294","Jan. 2020","2945","IEEE Transactions on Visualization and Computer Graphics","2020","IEEE","1","1096","Summit: Scaling Deep Learning Interpretability by Visualizing Activation and Attribution Summarizations","26"
"A key challenge in developing and deploying Machine Learning (ML) systems is understanding their performance across a wide range of inputs. To address this challenge, we created the What-If Tool, an open-source application that allows practitioners to probe, visualize, and analyze ML systems, with minimal coding. The What-If Tool lets practitioners test performance in hypothetical situations, analyze the importance of different data features, and visualize model behavior across multiple models and subsets of input data. It also lets practitioners measure systems according to multiple ML fairness metrics. We describe the design of the tool, and report on real-life usage at different organizations.","https://ieeexplore.ieee.org/document/8807255/","CCBY - IEEE is not the copyright holder of this material. Please follow the instructions via https://creativecommons.org/licenses/by/4.0/ to obtain full-text articles and stipulations in the API documentation.","8807255","Google Research","Google Research","","https://ieeexplore.ieee.org/author/37086232046","1","James Wexler","37086232046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Google Research","Google Research","","https://ieeexplore.ieee.org/author/37087101790","2","Mahima Pushkarna","37087101790","Google Research","Google Research","https://ieeexplore.ieee.org/author/37087100114","3","Tolga Bolukbasi","37087100114","Google Research","Google Research","","https://ieeexplore.ieee.org/author/37550759700","4","Martin Wattenberg","37550759700","Google Research","","Google Research","","https://ieeexplore.ieee.org/author/37681355300","5","Fernanda Viégas","37681355300","Google Research","Google Research","","","https://ieeexplore.ieee.org/author/37086231467","6","Jimbo Wilson","37086231467","","","","","","","","","","","","","","","","","","","","","","","","","","","80","0","Journals","10.1109/TVCG.2019.2934619","16446","65","https://ieeexplore.ieee.org/document/8807255/","Interactive Machine Learning","Model Debugging","Model Comparison","","","","","","","Tools","Data models","Data visualization","Analytical models","Predictive models","Machine learning","Computational modeling","20190820","8911289","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8807255","Jan. 2020","2945","IEEE Transactions on Visualization and Computer Graphics","2020","IEEE","2","56","The What-If Tool: Interactive Probing of Machine Learning Models","26"
"We propose a framework for interactive and explainable machine learning that enables users to (1) understand machine learning models; (2) diagnose model limitations using different explainable AI methods; as well as (3) refine and optimize the models. Our framework combines an iterative XAI pipeline with eight global monitoring and steering mechanisms, including quality monitoring, provenance tracking, model comparison, and trust building. To operationalize the framework, we present explAIner, a visual analytics system for interactive and explainable machine learning that instantiates all phases of the suggested pipeline within the commonly used TensorBoard environment. We performed a user-study with nine participants across different expertise levels to examine their perception of our workflow and to collect suggestions to fill the gap between our system and framework. The evaluation confirms that our tightly integrated system leads to an informed machine learning process while disclosing opportunities for further extensions.","https://ieeexplore.ieee.org/document/8807299/","LOCKED","8807299","University of Konstanz","University of Konstanz","","https://ieeexplore.ieee.org/author/37087101607","1","Thilo Spinner","37087101607","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Konstanz","University of Konstanz","","https://ieeexplore.ieee.org/author/37086560746","2","Udo Schlegel","37086560746","University of Konstanz","University of Konstanz","https://ieeexplore.ieee.org/author/37087102286","3","Hanna Schäfer","37087102286","University of Konstanz","University of Konstanz","","https://ieeexplore.ieee.org/author/37086235941","4","Mennatallah El-Assady","37086235941","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","0","Journals","10.1109/TVCG.2019.2934629","5181","1074","https://ieeexplore.ieee.org/document/8807299/","Explainable AI","Interactive Machine Learning","Deep Learning","Visual Analytics","Interpretability","Explainability","","","","Data models","Analytical models","Computational modeling","Pipelines","Machine learning","Monitoring","","20190820","8911289","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8807299","Jan. 2020","2945","IEEE Transactions on Visualization and Computer Graphics","2020","IEEE","3","1064","explAIner: A Visual Analytics Framework for Interactive and Explainable Machine Learning","26"
"Clear presentation of uncertainty is an exception rather than rule in media articles, data-driven reports, and consumer applications, despite proposed techniques for communicating sources of uncertainty in data. This work considers, Why do so many visualization authors choose not to visualize uncertainty? I contribute a detailed characterization of practices, associations, and attitudes related to uncertainty communication among visualization authors, derived from the results of surveying 90 authors who regularly create visualizations for others as part of their work, and interviewing thirteen influential visualization designers. My results highlight challenges that authors face and expose assumptions and inconsistencies in beliefs about the role of uncertainty in visualization. In particular, a clear contradiction arises between authors' acknowledgment of the value of depicting uncertainty and the norm of omitting direct depiction of uncertainty. To help explain this contradiction, I present a rhetorical model of uncertainty omission in visualization-based communication. I also adapt a formal statistical model of how viewers judge the strength of a signal in a visualization to visualization-based communication, to argue that uncertainty communication necessarily reduces degrees of freedom in viewers' statistical inferences. I conclude with recommendations for how visualization research on uncertainty communication could better serve practitioners' current needs and values while deepening understanding of assumptions that reinforce uncertainty omission.","https://ieeexplore.ieee.org/document/8805422/","LOCKED","8805422","Northwestern University","Northwestern University","","https://ieeexplore.ieee.org/author/38016234500","1","Jessica Hullman","38016234500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","0","Journals","10.1109/TVCG.2019.2934287","1781","139","https://ieeexplore.ieee.org/document/8805422/","Uncertainty visualization","graphical statistical inference","visualization rhetoric","","","","","","","Uncertainty","Data visualization","Visualization","Interviews","Decision making","Media","Adaptation models","20190819","8911289","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8805422","Jan. 2020","2945","IEEE Transactions on Visualization and Computer Graphics","2020","IEEE","4","130","Why Authors Don't Visualize Uncertainty","26"
"Fact sheets with vivid graphical design and intriguing statistical insights are prevalent for presenting raw data. They help audiences understand data-related facts effectively and make a deep impression. However, designing a fact sheet requires both data and design expertise and is a laborious and time-consuming process. One needs to not only understand the data in depth but also produce intricate graphical representations. To assist in the design process, we present DataShot which, to the best of our knowledge, is the first automated system that creates fact sheets automatically from tabular data. First, we conduct a qualitative analysis of 245 infographic examples to explore general infographic design space at both the sheet and element levels. We identify common infographic structures, sheet layouts, fact types, and visualization styles during the study. Based on these findings, we propose a fact sheet generation pipeline, consisting of fact extraction, fact composition, and presentation synthesis, for the auto-generation workflow. To validate our system, we present use cases with three real-world datasets. We conduct an in-lab user study to understand the usage of our system. Our evaluation results show that DataShot can efficiently generate satisfactory fact sheets to support further customization and data presentation.","https://ieeexplore.ieee.org/document/8805442/","LOCKED","8805442","Microsoft Research Asia","Microsoft Research Asia","","https://ieeexplore.ieee.org/author/37086545328","1","Yun Wang","37086545328","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Department of Computer Science and Engineering, Hong Kong University of Science and Technology","Department of Computer Science and Engineering, Hong Kong University of Science and Technology","","https://ieeexplore.ieee.org/author/37087102774","2","Zhida Sun","37087102774","Microsoft Research Asia","Microsoft Research Asia","https://ieeexplore.ieee.org/author/37073639100","3","Haidong Zhang","37073639100","Microsoft Research Asia","Microsoft Research Asia","","https://ieeexplore.ieee.org/author/37391623900","4","Weiwei Cui","37391623900","Department of Computer Science and Engineering, Hong Kong University of Science and Technology","","Department of Computer Science and Engineering, Hong Kong University of Science and Technology","","https://ieeexplore.ieee.org/author/37086887730","5","Ke Xu","37086887730","Department of Computer Science and Engineering, Hong Kong University of Science and Technology","Department of Computer Science and Engineering, Hong Kong University of Science and Technology","","","https://ieeexplore.ieee.org/author/37085504538","6","Xiaojuan Ma","37085504538","Microsoft Research Asia","Microsoft Research Asia","","https://ieeexplore.ieee.org/author/37963085000","7","Dongmei Zhang","37963085000","","","","","","","","","","","","","","","","","","","","50","0","Journals","10.1109/TVCG.2019.2934398","1904","905","https://ieeexplore.ieee.org/document/8805442/","Fact sheet","infographic","visualization","and automated design","","","","","","Data visualization","Visualization","Data mining","Statistical analysis","Computer graphics","Data analysis","","20190819","8911289","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8805442","Jan. 2020","2945","IEEE Transactions on Visualization and Computer Graphics","2020","IEEE","5","895","DataShot: Automatic Generation of Fact Sheets from Tabular Data","26"
"A Space-Time Cube enables analysts to clearly observe spatio-temporal features in movement trajectory datasets in geovisualization. However, its general usability is impacted by a lack of depth cues, a reported steep learning curve, and the requirement for efficient 3D navigation. In this work, we investigate a Space-Time Cube in the Immersive Analytics domain. Based on a review of previous work and selecting an appropriate exploration metaphor, we built a prototype environment where the cube is coupled to a virtual representation of the analyst's real desk, and zooming and panning in space and time are intuitively controlled using mid-air gestures. We compared our immersive environment to a desktop-based implementation in a user study with 20 participants across 7 tasks of varying difficulty, which targeted different user interface features. To investigate how performance is affected in the presence of clutter, we explored two scenarios with different numbers of trajectories. While the quantitative performance was similar for the majority of tasks, large differences appear when we analyze the patterns of interaction and consider subjective metrics. The immersive version of the Space-Time Cube received higher usability scores, much higher user preference, and was rated to have a lower mental workload, without causing participants discomfort in 25-minute-long VR sessions.","https://ieeexplore.ieee.org/document/8854316/","LOCKED","8854316","Federal University of Rio Grande do Sul","Federal University of Rio Grande do Sul","Simon Fraser University","https://ieeexplore.ieee.org/author/37086822923","1","Jorge A. Wagner Filho","37086822923","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Simon Fraser University","Simon Fraser University","","https://ieeexplore.ieee.org/author/37294997100","2","Wolfgang Stuerzlinger","37294997100","Federal University of Rio Grande do Sul","Federal University of Rio Grande do Sul","https://ieeexplore.ieee.org/author/37329407400","3","Luciana Nedel","37329407400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","0","Journals","10.1109/TVCG.2019.2934415","1482","524","https://ieeexplore.ieee.org/document/8854316/","Space-time cube","Trajectory visualization","Immersive analytics","","","","","","","Task analysis","Trajectory","Three-dimensional displays","Data visualization","Clutter","Two dimensional displays","Visualization","20191001","8911289","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8854316","Jan. 2020","2945","IEEE Transactions on Visualization and Computer Graphics","2020","IEEE","6","514","Evaluating an Immersive Space-Time Cube Geovisualization for Intuitive Trajectory Data Exploration","26"
"Dataflow visualization systems enable flexible visual data exploration by allowing the user to construct a dataflow diagram that composes query and visualization modules to specify system functionality. However learning dataflow diagram usage presents overhead that often discourages the user. In this work we design FlowSense, a natural language interface for dataflow visualization systems that utilizes state-of-the-art natural language processing techniques to assist dataflow diagram construction. FlowSense employs a semantic parser with special utterance tagging and special utterance placeholders to generalize to different datasets and dataflow diagrams. It explicitly presents recognized dataset and diagram special utterances to the user for dataflow context awareness. With FlowSense the user can expand and adjust dataflow diagrams more conveniently via plain English. We apply FlowSense to the VisFlow subset-flow visualization system to enhance its usability. We evaluate FlowSense by one case study with domain experts on a real-world data analysis problem and a formal user study.","https://ieeexplore.ieee.org/document/8807265/","LOCKED","8807265","New York University","New York University","","https://ieeexplore.ieee.org/author/37085505340","1","Bowen Yu","37085505340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","New York University","New York University","","https://ieeexplore.ieee.org/author/37275249200","2","Cláudio T. Silva","37275249200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","0","Journals","10.1109/TVCG.2019.2934668","2788","11","https://ieeexplore.ieee.org/document/8807265/","Natural language interface","dataflow visualization system","visual data exploration","","","","","","","Data visualization","Visualization","Semantics","Usability","Data analysis","Task analysis","Automobiles","20190820","8911289","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8807265","Jan. 2020","2945","IEEE Transactions on Visualization and Computer Graphics","2020","IEEE","7","1","FlowSense: A Natural Language Interface for Visual Data Exploration within a Dataflow System","26"
"Combining data content with visual embellishments, infographics can effectively deliver messages in an engaging and memorable manner. Various authoring tools have been proposed to facilitate the creation of infographics. However, creating a professional infographic with these authoring tools is still not an easy task, requiring much time and design expertise. Therefore, these tools are generally not attractive to casual users, who are either unwilling to take time to learn the tools or lacking in proper design expertise to create a professional infographic. In this paper, we explore an alternative approach: to automatically generate infographics from natural language statements. We first conducted a preliminary study to explore the design space of infographics. Based on the preliminary study, we built a proof-of-concept system that automatically converts statements about simple proportion-related statistics to a set of infographics with pre-designed styles. Finally, we demonstrated the usability and usefulness of the system through sample results, exhibits, and expert reviews.","https://ieeexplore.ieee.org/document/8813126/","LOCKED","8813126","Microsoft Research Asia","Microsoft Research Asia","","https://ieeexplore.ieee.org/author/37391623900","1","Weiwei Cui","37391623900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ViDi Research Group, University of California, Davis","ViDi Research Group, University of California, Davis","","https://ieeexplore.ieee.org/author/37089612987","2","Xiaoyu Zhang","37089612987","Microsoft Research Asia","Microsoft Research Asia","https://ieeexplore.ieee.org/author/37086545328","3","Yun Wang","37086545328","Microsoft Research Asia","Microsoft Research Asia","","https://ieeexplore.ieee.org/author/37087101935","4","He Huang","37087101935","Microsoft Research Asia","","Microsoft Research Asia","","https://ieeexplore.ieee.org/author/37087100316","5","Bei Chen","37087100316","Microsoft Research Asia","Microsoft Research Asia","","","https://ieeexplore.ieee.org/author/37087101741","6","Lei Fang","37087101741","Microsoft Research Asia","Microsoft Research Asia","","https://ieeexplore.ieee.org/author/37073639100","7","Haidong Zhang","37073639100","Microsoft Research Asia","Microsoft Research Asia","https://ieeexplore.ieee.org/author/37288645000","8","Jian-Guan Lou","37288645000","Microsoft Research Asia","Microsoft Research Asia","","https://ieeexplore.ieee.org/author/37963085000","9","Dongmei Zhang","37963085000","","","","","","","46","0","Journals","10.1109/TVCG.2019.2934785","1896","916","https://ieeexplore.ieee.org/document/8813126/","Visualization for the masses","infographic","automatic visualization","presentation","and dissemination","","","","","Data visualization","Visualization","Tools","Sports","Authoring systems","Natural languages","Social networking (online)","20190826","8911289","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8813126","Jan. 2020","2945","IEEE Transactions on Visualization and Computer Graphics","2020","IEEE","8","906","Text-to-Viz: Automatic Generation of Infographics from Proportion-Related Natural Language Statements","26"
"Immersive analytics turns the very space surrounding the user into a canvas for data analysis, supporting human cognitive abilities in myriad ways. We present the results of a design study, contextual inquiry, and longitudinal evaluation involving professional economists using a Virtual Reality (VR) system for multidimensional visualization to explore actual economic data. Results from our preregistered evaluation highlight the varied use of space depending on context (exploration vs. presentation), the organization of space to support work, and the impact of immersion on navigation and orientation in the 3D analysis space.","https://ieeexplore.ieee.org/document/8820171/","LOCKED","8820171","University of Maryland, College Park, USA","University of Maryland, College Park, USA","","https://ieeexplore.ieee.org/author/37086246405","1","Andrea Batch","37086246405","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of South Australia, Adelaide, Australia","University of South Australia, Adelaide, Australia","","https://ieeexplore.ieee.org/author/37299369300","2","Andrew Cunningham","37299369300","Monash University, Melbourne, Australia","Monash University, Melbourne, Australia","https://ieeexplore.ieee.org/author/37085649401","3","Maxime Cordeil","37085649401","University of Maryland, College Park, USA","University of Maryland, College Park, USA","","https://ieeexplore.ieee.org/author/37295438200","4","Niklas Elmqvist","37295438200","Monash University, Melbourne, Australia","","Monash University, Melbourne, Australia","","https://ieeexplore.ieee.org/author/37326161000","5","Tim Dwyer","37326161000","University of South Australia, Adelaide, Australia","University of South Australia, Adelaide, Australia","","","https://ieeexplore.ieee.org/author/37267424800","6","Bruce H. Thomas","37267424800","Monash University, Melbourne, Australia","Monash University, Melbourne, Australia","","https://ieeexplore.ieee.org/author/37354163600","7","Kim Marriott","37354163600","","","","","","","","","","","","","","","","","","","","46","0","Journals","10.1109/TVCG.2019.2934803","1547","546","https://ieeexplore.ieee.org/document/8820171/","Design study","evaluation","economic analysis","immersive analytics","","","","","","Three-dimensional displays","Data visualization","Navigation","Data analysis","Macroeconomics","Tools","","20190830","8911289","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8820171","Jan. 2020","2945","IEEE Transactions on Visualization and Computer Graphics","2020","IEEE","9","536","There Is No Spoon: Evaluating Performance, Space Use, and Presence with Expert Domain Users in Immersive Analytics","26"
"Simulative analysis in competitive sports can provide prospective insights, which can help improve the performance of players in future matches. However, adequately simulating the complex competition process and effectively explaining the simulation result to domain experts are typically challenging. This work presents a design study to address these challenges in table tennis. We propose a well-established hybrid second-order Markov chain model to characterize and simulate the competition process in table tennis. Compared with existing methods, our approach is the first to support the effective simulation of tactics, which represent high-level competition strategies in table tennis. Furthermore, we introduce a visual analytics system called Tac-Simur based on the proposed model for simulative visual analytics. Tac-Simur enables users to easily navigate different players and their tactics based on their respective performance in matches to identify the player and the tactics of interest for further analysis. Then, users can utilize the system to interactively explore diverse simulation tasks and visually explain the simulation results. The effectiveness and usefulness of this work are demonstrated by two case studies, in which domain experts utilize Tac-Simur to find interesting and valuable insights. The domain experts also provide positive feedback on the usability of Tac-Simur. Our work can be extended to other similar sports such as tennis and badminton.","https://ieeexplore.ieee.org/document/8807264/","LOCKED","8807264","State Key Lab of CAD&CG, Zhejiang University","State Key Lab of CAD&CG, Zhejiang University","","https://ieeexplore.ieee.org/author/37086242334","1","Jiachen Wang","37086242334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","State Key Lab of CAD&CG, Zhejiang University","State Key Lab of CAD&CG, Zhejiang University","","https://ieeexplore.ieee.org/author/37086242254","2","Kejian Zhao","37086242254","State Key Lab of CAD&CG, Zhejiang University","State Key Lab of CAD&CG, Zhejiang University","https://ieeexplore.ieee.org/author/37086544875","3","Dazhen Deng","37086544875","State Key Lab of CAD&CG, Zhejiang University","State Key Lab of CAD&CG, Zhejiang University","","https://ieeexplore.ieee.org/author/37087100739","4","Anqi Cao","37087100739","State Key Lab of CAD&CG, Zhejiang University","","State Key Lab of CAD&CG, Zhejiang University","","https://ieeexplore.ieee.org/author/37086448603","5","Xiao Xie","37086448603","Department of Sport Science, Zhejiang University","Department of Sport Science, Zhejiang University","","","https://ieeexplore.ieee.org/author/37087099605","6","Zheng Zhou","37087099605","Department of Sport Science, Zhejiang University","Department of Sport Science, Zhejiang University","","https://ieeexplore.ieee.org/author/37086236404","7","Hui Zhang","37086236404","State Key Lab of CAD&CG, Zhejiang University","State Key Lab of CAD&CG, Zhejiang University","https://ieeexplore.ieee.org/author/37407308300","8","Yingcai Wu","37407308300","","","","","","","","","","","","","","43","0","Journals","10.1109/TVCG.2019.2934630","1017","417","https://ieeexplore.ieee.org/document/8807264/","Simulative Visual Analytics","Table Tennis","Design Study","","","","","","","Sports","Visual analytics","Analytical models","Markov processes","Games","Predictive models","Numerical models","20190820","8911289","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8807264","Jan. 2020","2945","IEEE Transactions on Visualization and Computer Graphics","2020","IEEE","10","407","Tac-Simur: Tactic-based Simulative Visual Analytics of Table Tennis","26"
