"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_isbn_formats_isbns_1_format","articles_isbn_formats_isbns_1_isbnType","articles_isbn_formats_isbns_1_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"In this paper, we proposed RadiationMonitor, an interactive system for visualizing and exploring spatial-temporal data from static and mobile sensors. We use pixel-based time-series visualization for event presentation, and the trajectories of mobile sensors are discretized to display the spatial distribution of sensor readings. Our system provides cross-filtering and detail-on-demand interactions, which allow users to investigate data from both spatial and temporal aspects.","https://ieeexplore.ieee.org/document/8986939/","LOCKED","8986939","Key Laboratory of Machine Perception, Ministry of Education, School of EECS, Peking University","https://ieeexplore.ieee.org/author/37087500021","1","Datong Wei","37087500021","Key Laboratory of Machine Perception, Ministry of Education, School of EECS, Peking University","https://ieeexplore.ieee.org/author/37087500312","2","Hanning Shao","37087500312","Weinberg College of Arts and Sciences, Northwestern University","https://ieeexplore.ieee.org/author/37087498503","3","Zijing Tan","37087498503","School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University","https://ieeexplore.ieee.org/author/37087502466","4","Chenlu Li","37087502466","Key Laboratory of Machine Perception, Ministry of Education, School of EECS, Peking University","https://ieeexplore.ieee.org/author/37087502321","5","Zhixian Lin","37087502321","School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University","https://ieeexplore.ieee.org/author/37086610421","6","Xiaoju Dong","37086610421","National Engineering Laboratory for Big Data Analysis and Application, Peking University","https://ieeexplore.ieee.org/author/37403856700","7","Xiaoru Yuan","37403856700","","","","","","","","","","","0","0","20-25 Oct. 2019","Vancouver, BC, Canada","Conferences","10.1109/VAST47406.2019.8986939","115","https://ieeexplore.ieee.org/document/8986939/","Human-centered computing","Visualization","","Visualization application domains","Visual analytics","","","","","","","Sensor systems","Pollution measurement","Data visualization","Uncertainty","Image color analysis","Measurement uncertainty","Awards","8986897","978-1-7281-2285-4","Print on Demand(PoD) ISBN","New-2005","978-1-7281-2285-4","Electronic ISBN","New-2005","978-1-7281-2284-7","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8986939","20-25 Oct. 2019","8966971","2019 IEEE Conference on Visual Analytics Science and Technology (VAST)","2019","IEEE","1","114","Award for Outstanding Comprehensive Mini-Challenge 2 Solution - RadiationMonitor: An Interactive System for Visualizing and Exploring Spatial-Temporal Data"
"The mini-challenge 2 of VAST Challenge 2019 asks the participants to make sense of the radiation conditions in St. Himark using radiation readings from the both stationary monitors and mobile sensors, particularly, to detect and monitor a bunch of contaminated cars running in the city. This paper presents our visual analysis solution to detect and localize these cars using various visualization techniques, including small multiples, distribution histogram, and animation. As a result, we detected most of these cars, characterize their behavior during the given time period and give suspected locations of these cars at the end. We also developed a visual analysis interface using Tableau to help users evaluate the uncertainty of sensor readings, make sense of radiation changes in different area, and make future plans to deploy more sensors.","https://ieeexplore.ieee.org/document/8986910/","LOCKED","8986910","Hangzhou Chengying Data Technology Co., Ltd.","https://ieeexplore.ieee.org/author/37087500091","1","Yueqi Hu","37087500091","Hangzhou Chengying Data Technology Co., Ltd.","https://ieeexplore.ieee.org/author/37087501892","2","Qi Ma","37087501892","Hangzhou Chengying Data Technology Co., Ltd.","https://ieeexplore.ieee.org/author/37087502906","3","Yang Chen","37087502906","Hangzhou Chengying Data Technology Co., Ltd.","https://ieeexplore.ieee.org/author/37087499049","4","Haidong Chen","37087499049","Hangzhou Chengying Data Technology Co., Ltd.","https://ieeexplore.ieee.org/author/37087501729","5","Weiqing Jin","37087501729","Hangzhou Chengying Data Technology Co., Ltd.","https://ieeexplore.ieee.org/author/37087501208","6","Fenjin Ye","37087501208","","","","","","","","","","","","","","","","0","0","20-25 Oct. 2019","Vancouver, BC, Canada","Conferences","10.1109/VAST47406.2019.8986910","119","https://ieeexplore.ieee.org/document/8986910/","Visual analytics","Small Multiple","","Time Series Analysis","","","","","","","","","","","","","","","8986897","978-1-7281-2285-4","Print on Demand(PoD) ISBN","New-2005","978-1-7281-2285-4","Electronic ISBN","New-2005","978-1-7281-2284-7","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8986910","20-25 Oct. 2019","8966971","2019 IEEE Conference on Visual Analytics Science and Technology (VAST)","2019","IEEE","2","118","Visual Analysis of Multivariate Time Series of Static and Mobile Sensors"
"The VAST 2019 Mini Challenge 3 (MC3) shows current challenges in analyzing and finding useful information from social media text datasets. We develop tools to process and visualize data including heat map, stacked area chart and message tables. It helps us identifying situations and making suggestions.","https://ieeexplore.ieee.org/document/8986912/","LOCKED","8986912","Qi An Xin Group,Beijing,China","https://ieeexplore.ieee.org/author/37087499060","1","Mengyang Zhang","37087499060","Qi An Xin Group,Beijing,China","https://ieeexplore.ieee.org/author/37087498622","2","Kaokao Lv","37087498622","Qi An Xin Group,Beijing,China","https://ieeexplore.ieee.org/author/37087500259","3","Liang Tang","37087500259","Qi An Xin Group,Beijing,China","https://ieeexplore.ieee.org/author/37087499176","4","Chuanming Huang","37087499176","Qi An Xin Group,Beijing,China","https://ieeexplore.ieee.org/author/37087502702","5","Zhaokang Yuan","37087502702","Qi An Xin Group,Beijing,China","https://ieeexplore.ieee.org/author/37087500774","6","Xiaobo Luo","37087500774","Qi An Xin Group,Beijing,China","https://ieeexplore.ieee.org/author/37087500208","7","Zhengyan Yu","37087500208","Qi An Xin Group,Beijing,China","https://ieeexplore.ieee.org/author/37087499457","8","Lingjun He","37087499457","Qi An Xin Group,Beijing,China","https://ieeexplore.ieee.org/author/37087499303","9","Zhuo Zhang","37087499303","0","0","20-25 Oct. 2019","Vancouver, BC, Canada","Conferences","10.1109/VAST47406.2019.8986912","127","https://ieeexplore.ieee.org/document/8986912/","Human-centered computing","Visualization","","Visualization application domains","Visual analytics","","","","","","","","","","","","","","8986897","978-1-7281-2285-4","Print on Demand(PoD) ISBN","New-2005","978-1-7281-2285-4","Electronic ISBN","New-2005","978-1-7281-2284-7","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8986912","20-25 Oct. 2019","8966971","2019 IEEE Conference on Visual Analytics Science and Technology (VAST)","2019","IEEE","3","126","Visual Analysis for Messages in Social Media"
"This paper introduces EQSA, an interactive exploratory tool for earthquake situational analytics using social media. EQSA is designed to support users to characterize the condition across the area around the earthquake zone, regarding related events, resources to be allocated, and responses from the community. On the general level, changes in the volume of messages from chosen categories are presented, assisting users in conveying a general idea of the condition. More in-depth analysis is provided with topic evolution, community visualization, and location representation. EQSA is developed with intuitive, interactive features and multiple linked views, visualizing social media data, and supporting users to gain a comprehensive insight into the situation. In this paper, we present the application of EQSA with the VAST Challenge 2019: Mini-Challenge 3 (MC3) dataset.","https://ieeexplore.ieee.org/document/8986947/","LOCKED","8986947","Texas Tech University,Department of Computer Science","https://ieeexplore.ieee.org/author/37087500456","1","Huyen N. Nguyen","37087500456","Texas Tech University,Department of Computer Science","https://ieeexplore.ieee.org/author/37087499816","2","Tommy Dang","37087499816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","20-25 Oct. 2019","Vancouver, BC, Canada","Conferences","10.1109/VAST47406.2019.8986947","143","https://ieeexplore.ieee.org/document/8986947/","Earthquake Analysis","Social Media Data","","Interactive Visualization","Visual Analytics","EQSA","WordStream","VAST Challenge 2019","Mini-Challenge 3","","","","","","","","","","8986897","978-1-7281-2285-4","Print on Demand(PoD) ISBN","New-2005","978-1-7281-2285-4","Electronic ISBN","New-2005","978-1-7281-2284-7","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8986947","20-25 Oct. 2019","8966971","2019 IEEE Conference on Visual Analytics Science and Technology (VAST)","2019","IEEE","4","142","EQSA: Earthquake Situational Analytics from Social Media"
"We proposed a visual analytics tool to analyze social media posts through machine-learning techniques. Latent Dirichlet Allocation and Named Entities Recognition were used to extract semantic information. 12 topics were identified to interpret semantic meanings and reveal spatiotemporal patterns in the dataset. Our visualization consists of topic bubbles, frequency bar chart, stream graph, fisheye list, massage view, map view, word cloud, and social network graph. All the views are linked together and enhanced by efficient interactions. This paper describes the methodology and visualization design in detail.","https://ieeexplore.ieee.org/document/8986949/","LOCKED","8986949","James Madison University,USA","https://ieeexplore.ieee.org/author/37086942751","1","Chen Guo","37086942751","Purdue University,USA","https://ieeexplore.ieee.org/author/37087500518","2","Xiang Liu","37087500518","West Lafayette High School,USA","https://ieeexplore.ieee.org/author/37087501476","3","Evie Cai","37087501476","Purdue University,USA","https://ieeexplore.ieee.org/author/37086942470","4","Yingjie Victor Chen","37086942470","Purdue University,USA","https://ieeexplore.ieee.org/author/38238364000","5","Zhenyu Cheryl Qian","38238364000","Jiangnan University,CHN","https://ieeexplore.ieee.org/author/37087501933","6","Rui Li","37087501933","","","","","","","","","","","","","","","","0","0","20-25 Oct. 2019","Vancouver, BC, Canada","Conferences","10.1109/VAST47406.2019.8986949","125","https://ieeexplore.ieee.org/document/8986949/","Visual analytics","social media","","latent dirichlet allocation","H.5.2 [Information Interfaces and Presentation]: User Interfaces","H.1.2 [User/Machine Systems]: Visual Analytics","","","","","","","","","","","","","8986897","978-1-7281-2285-4","Print on Demand(PoD) ISBN","New-2005","978-1-7281-2285-4","Electronic ISBN","New-2005","978-1-7281-2284-7","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8986949","20-25 Oct. 2019","8966971","2019 IEEE Conference on Visual Analytics Science and Technology (VAST)","2019","IEEE","5","124","TopicInk: Visualizing Disaster-Related Textual Data Using LDA Topic Modeling: Vast Challenge 2019: Honorable Mention for Clear Articulation of Methodology"
"Earthquake Damage Report Interactive Dashboard addresses Mini Challenge 1 of VAST Challenge 2019. The project uses interactive visual analytics to report and summarize crowd-sourced damage reports temporally and spatially. We modelled the reports with Bayesian structural time series (BSTS) and encoded uncertainties in the reports visually with value-suppressing uncertainty palettes (VSUPs). The interactive visualization was developed with Vega and VueJS. We performed further analyses in Tableau. The dashboard and the challenge submission package can be found at https://vast2019.maxnadul.com.","https://ieeexplore.ieee.org/document/8986916/","LOCKED","8986916","Development and Promotion of Science and Technology Talents Project, Institute for the Promotion of Teaching Science and Technology, Faculty of Medicine Siriraj Hospital, Mahidol University,Division of Bioinformatics and Data Management for Research","https://ieeexplore.ieee.org/author/37087500397","1","Natthawut Adulyanukosol","37087500397","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","20-25 Oct. 2019","Vancouver, BC, Canada","Conferences","10.1109/VAST47406.2019.8986916","107","https://ieeexplore.ieee.org/document/8986916/","Human-centered computing","Visualization","","Visualization application domains","Visual analytics","","","","","","","","","","","","","","8986897","978-1-7281-2285-4","Print on Demand(PoD) ISBN","New-2005","978-1-7281-2285-4","Electronic ISBN","New-2005","978-1-7281-2284-7","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8986916","20-25 Oct. 2019","8966971","2019 IEEE Conference on Visual Analytics Science and Technology (VAST)","2019","IEEE","6","106","Earthquake Damage Report Interactive Dashboard Using Bayesian Structural Time Series and Value-Suppressing Uncertainty Palettes"
"This work proposes a visual analytic technique to interactive rank uncertain multivariate ordinal time series for situational awareness. We use normalized entropy to quantify the uncertainty of the discrete survey data. The heatmap summarizes both the survey data and qualified uncertainty in a compact manner. Besides, the distributions of votes in neighborhoods are visualized using hexagons. This work presents the result of applying the solution to the VAST 2019 - Mini-Challenge 1 dataset, which led to the Award for Excellent Quantification of Abnormalities.","https://ieeexplore.ieee.org/document/8986955/","LOCKED","8986955","Tianjin University","https://ieeexplore.ieee.org/author/37087102818","1","Shichao Jia","37087102818","Tianjin University","https://ieeexplore.ieee.org/author/37087500516","2","Jiaqi Wang","37087500516","Tianjin University","https://ieeexplore.ieee.org/author/37087101401","3","Zeyu Li","37087101401","Tianjin University","https://ieeexplore.ieee.org/author/37087101639","4","Jiawan Zhang","37087101639","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","20-25 Oct. 2019","Vancouver, BC, Canada","Conferences","10.1109/VAST47406.2019.8986955","109","https://ieeexplore.ieee.org/document/8986955/","Human-centered computing","Visualization","","Visual analytics","","","","","","","","","","","","","","","8986897","978-1-7281-2285-4","Print on Demand(PoD) ISBN","New-2005","978-1-7281-2285-4","Electronic ISBN","New-2005","978-1-7281-2284-7","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8986955","20-25 Oct. 2019","8966971","2019 IEEE Conference on Visual Analytics Science and Technology (VAST)","2019","IEEE","7","108","Interactive Ranking Uncertain Multivariate Ordinal Time Series"
"We participated in the 2019 IEEE VAST Challenge MC3 with the help of Papyrus, a Visual Analytics software for the exploration of text collections. Papyrus extracts terms associations with a bi-clustering approach and organizes them in a term hierarchy. Its visualization helps analyst explore social media messages posted by citizen to anticipate emergency response after a disaster event.","https://ieeexplore.ieee.org/document/8986957/","LOCKED","8986957","Luxembourg Institute of Science and Technology (LIST)","https://ieeexplore.ieee.org/author/37085448831","1","Nicolas Médoc","37085448831","Luxembourg Institute of Science and Technology (LIST)","https://ieeexplore.ieee.org/author/37087499188","2","Hélène Bourgoin","37087499188","Luxembourg Institute of Science and Technology (LIST)","https://ieeexplore.ieee.org/author/37087498864","3","Philippe Pinheiro","37087498864","Luxembourg Institute of Science and Technology (LIST)","https://ieeexplore.ieee.org/author/37085447628","4","Mohammad Ghoniem","37085447628","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","20-25 Oct. 2019","Vancouver, BC, Canada","Conferences","10.1109/VAST47406.2019.8986957","139","https://ieeexplore.ieee.org/document/8986957/","Human-centered computing","Visualization","","","","","","","","","","","","","","","","","8986897","978-1-7281-2285-4","Print on Demand(PoD) ISBN","New-2005","978-1-7281-2285-4","Electronic ISBN","New-2005","978-1-7281-2284-7","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8986957","20-25 Oct. 2019","8966971","2019 IEEE Conference on Visual Analytics Science and Technology (VAST)","2019","IEEE","8","138","Using a Multi-Level and Multi-Resolution Visual Analytics Software to Understand the Aftermath of a Catastrophe"
"The visual analytics system HeatMosaic aims to reveal spatial-temporal patterns and uncertainty from a large dataset of crowd-sourcing disaster damage reports. The system consists of real-time monitoring and aftermath analysis tools does not empower fast discovering adversity and damage patterns and reliable removal of uncertainty, but also provides just-in-time scanning and rewinding on damage reports. This paper summarises the system's design and architecture, followed by the data interpretation and insights gained by adopting the system.","https://ieeexplore.ieee.org/document/8986930/","LOCKED","8986930","Cerebri AI, Inc.,Austin,TX,USA","https://ieeexplore.ieee.org/author/37086557326","1","Wenjie Wu","37086557326","Cerebri AI, Inc.,Austin,TX,USA","https://ieeexplore.ieee.org/author/37086554324","2","Zheng Zhou","37086554324","Purdue University,Department of Computer Graphics Technology,West Lafayette,IN,USA","https://ieeexplore.ieee.org/author/37086556495","3","Yingjie Victor Chen","37086556495","Purdue University,Department of Industrial and Interaction Design,West Lafayette,IN,USA","https://ieeexplore.ieee.org/author/38238364000","4","Zhenyu Cheryl Qian","38238364000","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","20-25 Oct. 2019","Vancouver, BC, Canada","Conferences","10.1109/VAST47406.2019.8986930","113","https://ieeexplore.ieee.org/document/8986930/","Human-centered computing","Visualization","","Visualization techniques","Heat maps","Human-centered computing","Visualization","Visualization design and evaluation methods","","","","Heating systems","Strips","Uncertainty","Image color analysis","Real-time systems","Earthquakes","Seismic measurements","8986897","978-1-7281-2285-4","Print on Demand(PoD) ISBN","New-2005","978-1-7281-2285-4","Electronic ISBN","New-2005","978-1-7281-2284-7","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8986930","20-25 Oct. 2019","8966971","2019 IEEE Conference on Visual Analytics Science and Technology (VAST)","2019","IEEE","9","112","HeatMosaic: Interactive Uncertainty Analysis of Disaster Events - 2019 VAST Challenge Honorable Mention Award for Visualization of Uncertainty"
"This paper presents RescueMark, a web-based visual analytics tool for analyzing disaster situations and guiding emergency response. In disaster situations operators must take quick and effective decisions to solve critical problems. RescueMark provides spatial, topic and temporal event exploration supporting decision making for resource allocation and determine damaged areas of the city. We describe the data analysis and visualization process of the social media data applied to extract the relevant information.","https://ieeexplore.ieee.org/document/8986898/","LOCKED","8986898","University of Konstanz,Germany","https://ieeexplore.ieee.org/author/37087503302","1","Astrik Jeitler","37087503302","University of Konstanz,Germany","https://ieeexplore.ieee.org/author/37087503384","2","Alpin Türkoglu","37087503384","University of Konstanz,Germany","https://ieeexplore.ieee.org/author/37087503188","3","Denis Makarov","37087503188","University of Konstanz,Germany","https://ieeexplore.ieee.org/author/37087503295","4","Timo Jockers","37087503295","University of Konstanz,Germany","https://ieeexplore.ieee.org/author/38233607000","5","Juri Buchmüller","38233607000","University of Konstanz,Germany","https://ieeexplore.ieee.org/author/37086560746","6","Udo Schlegel","37086560746","University of Konstanz,Germany","https://ieeexplore.ieee.org/author/37283138700","7","Daniel A. Keim","37283138700","","","","","","","","","","","0","0","20-25 Oct. 2019","Vancouver, BC, Canada","Conferences","10.1109/VAST47406.2019.8986898","121","https://ieeexplore.ieee.org/document/8986898/","Human-centered computing","Visualization","","Visualization application domains","Visual analytics","","","","","","","","","","","","","","8986897","978-1-7281-2285-4","Print on Demand(PoD) ISBN","New-2005","978-1-7281-2285-4","Electronic ISBN","New-2005","978-1-7281-2284-7","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8986898","20-25 Oct. 2019","8966971","2019 IEEE Conference on Visual Analytics Science and Technology (VAST)","2019","IEEE","10","120","RescueMark: Visual Analytics of Social Media Data for Guiding Emergency Response in Disaster Situations: Award for Skillful Integration of Language Model"
