"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_affiliation","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_affiliation","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_affiliation","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume"
"We present an integrated approach for creating and assigning color palettes to different visualizations such as multi-class scatterplots, line, and bar charts. While other methods separate the creation of colors from their assignment, our approach takes data characteristics into account to produce color palettes, which are then assigned in a way that fosters better visual discrimination of classes. To do so, we use a customized optimization based on simulated annealing to maximize the combination of three carefully designed color scoring functions: point distinctness, name difference, and color discrimination. We compare our approach to state-of-the-art palettes with a controlled user study for scatterplots and line charts, furthermore we performed a case study. Our results show that Palettailor, as a fully-automated approach, generates color palettes with a higher discrimination quality than existing approaches. The efficiency of our optimization allows us also to incorporate user modifications into the color selection process.","https://ieeexplore.ieee.org/document/9222351/","LOCKED","9222351","Shandong University","https://ieeexplore.ieee.org/author/37086253868","1","Kecheng Lu","37086253868","","","","","","","","","","","","","","","","Twitter Inc.","https://ieeexplore.ieee.org/author/37088655479","2","Mi Feng","37088655479","Shandong University","https://ieeexplore.ieee.org/author/37086543204","3","Xin Chen","37086543204","VISUS, University of Stuttgart, Germany","https://ieeexplore.ieee.org/author/37590945600","4","Michael Sedlmair","37590945600","Shenzhen VisuCA Key Lab, SIAT, China","https://ieeexplore.ieee.org/author/37266781000","5","Oliver Deussen","37266781000","Hebrew University, Jerusalem, Israel","https://ieeexplore.ieee.org/author/37418740700","6","Dani Lischinski","37418740700","Shenzhen VisuCA Key Lab, SIAT, China","https://ieeexplore.ieee.org/author/37086496223","7","Zhanglin Cheng","37086496223","Shandong University","https://ieeexplore.ieee.org/author/37085804605","8","Yunhai Wang","37085804605","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2020.3030406","484","https://ieeexplore.ieee.org/document/9222351/","Color Palette","Discriminability","Multi-Class Scatterplot","Line Chart","Bar Chart","","","","","","Image color analysis","Data visualization","Optimization","Task analysis","Bars","Visualization","Tools","9340023","2160-9306","2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9222351","Feb. 2021","2945","IEEE Transactions on Visualization and Computer Graphics","2021","IEEE","1","475","Palettailor: Discriminable Colorization for Categorical Data","27"
"Ubiquitous, situated, and physical visualizations create entirely new possibilities for tasks contextualized in the real world, such as doctors inserting needles. During the development of situated visualizations, evaluating visualizations is a core requirement. However, performing such evaluations is intrinsically hard as the real scenarios are safety-critical or expensive to test. To overcome these issues, researchers and practitioners adapt classical approaches from ubiquitous computing and use surrogate empirical methods such as Augmented Reality (AR), Virtual Reality (VR) prototypes, or merely online demonstrations. This approach's primary assumption is that meaningful insights can also be gained from different, usually cheaper and less cumbersome empirical methods. Nevertheless, recent efforts in the Human-Computer Interaction (HCI) community have found evidence against this assumption, which would impede the use of surrogate empirical methods. Currently, these insights rely on a single investigation of four interactive objects. The goal of this work is to investigate if these prior findings also hold for situated visualizations. Therefore, we first created a scenario where situated visualizations support users in do-it-yourself (DIY) tasks such as crafting and assembly. We then set up five empirical study methods to evaluate the four tasks using an online survey, as well as VR, AR, laboratory, and in-situ studies. Using this study design, we conducted a new study with 60 participants. Our results show that the situated visualizations we investigated in this study are not prone to the same dependency on the empirical method, as found in previous work. Our study provides the first evidence that analyzing situated visualizations through different empirical (surrogate) methods might lead to comparable results.","https://ieeexplore.ieee.org/document/9225008/","LOCKED","9225008","University of Stuttgart, Germany","https://ieeexplore.ieee.org/author/37088658567","1","Maximilian Weiß","37088658567","","","","","","","","","","","","","","","","University of Stuttgart, Germany","https://ieeexplore.ieee.org/author/37088642160","2","Katrin Angerbauer","37088642160","adesso SE, Dortmund","https://ieeexplore.ieee.org/author/37088656623","3","Alexandra Voit","37088656623","University of Stuttgart, Germany","https://ieeexplore.ieee.org/author/37088585674","4","Magdalena Schwarzl","37088585674","University of Stuttgart, Germany","https://ieeexplore.ieee.org/author/37590945600","5","Michael Sedlmair","37590945600","Carnegie Mellon University, United States","https://ieeexplore.ieee.org/author/37088656426","6","Sven Mayer","37088656426","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2020.3030400","1213","https://ieeexplore.ieee.org/document/9225008/","Situated visualization","evaluation","comparison","","","","","","","","Visualization","Task analysis","Data visualization","Fasteners","Human computer interaction","Needles","Tools","9340023","2160-9306","2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9225008","Feb. 2021","2945","IEEE Transactions on Visualization and Computer Graphics","2021","IEEE","2","1204","Revisited: Comparison of Empirical Methods to Evaluate Visualizations Supporting Crafting and Assembly Purposes","27"
"For the many journalists who use data and computation to report the news, data wrangling is an integral part of their work. Despite an abundance of literature on data wrangling in the context of enterprise data analysis, little is known about the specific operations, processes, and pain points journalists encounter while performing this tedious, time-consuming task. To better understand the needs of this user group, we conduct a technical observation study of 50 public repositories of data and analysis code authored by 33 professional journalists at 26 news organizations. We develop two detailed and cross-cutting taxonomies of data wrangling in computational journalism, for actions and for processes. We observe the extensive use of multiple tables, a notable gap in previous wrangling analyses. We develop a concise, actionable framework for general multi-table data wrangling that includes wrangling operations documented in our taxonomy that are without clear parallels in other work. This framework, the first to incorporate tables as first-class objects, will support future interactive wrangling tools for both computational journalism and general-purpose use. We assess the generative and descriptive power of our framework through discussion of its relationship to our set of taxonomies.","https://ieeexplore.ieee.org/document/9229515/","LOCKED","9229515","Department of Computer ScienceUniversity of British Columbia","https://ieeexplore.ieee.org/author/37088655548","1","Stephen Kasica","37088655548","","","","","","","","","","","","","","","","University of British Columbia, School of Journalism, Writing, and Media","https://ieeexplore.ieee.org/author/37088655740","2","Charles Berret","37088655740","Department of Computer ScienceUniversity of British Columbia","https://ieeexplore.ieee.org/author/37349490300","3","Tamara Munzner","37349490300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2020.3030462","966","https://ieeexplore.ieee.org/document/9229515/","Computational journalism","Data journalism","Data wrangling","","","","","","","","Journalism","Taxonomy","Tools","Data analysis","Encoding","Task analysis","Cleaning","9340023","2160-9306","2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9229515","Feb. 2021","2945","IEEE Transactions on Visualization and Computer Graphics","2021","IEEE","3","957","Table Scraps: An Actionable Framework for Multi-Table Data Wrangling From An Artifact Study of Computational Journalism","27"
"In soccer, passing is the most frequent interaction between players and plays a significant role in creating scoring chances. Experts are interested in analyzing players' passing behavior to learn passing tactics, i.e., how players build up an attack with passing. Various approaches have been proposed to facilitate the analysis of passing tactics. However, the dynamic changes of a team's employed tactics over a match have not been comprehensively investigated. To address the problem, we closely collaborate with domain experts and characterize requirements to analyze the dynamic changes of a team's passing tactics. To characterize the passing tactic employed for each attack, we propose a topic-based approach that provides a high-level abstraction of complex passing behaviors. Based on the model, we propose a glyph-based design to reveal the multi-variate information of passing tactics within different phases of attacks, including player identity, spatial context, and formation. We further design and develop PassVizor, a visual analytics system, to support the comprehensive analysis of passing dynamics. With the system, users can detect the changing patterns of passing tactics and examine the detailed passing process for evaluating passing tactics. We invite experts to conduct analysis with PassVizor and demonstrate the usability of the system through an expert interview.","https://ieeexplore.ieee.org/document/9222314/","LOCKED","9222314","State Key Lab of CAD&CG, Zhejiang University","https://ieeexplore.ieee.org/author/37086448603","1","Xiao Xie","37086448603","","","","","","","","","","","","","","","","State Key Lab of CAD&CG, Zhejiang University","https://ieeexplore.ieee.org/author/37086242334","2","Jiachen Wang","37086242334","State Key Lab of CAD&CG, Zhejiang University","https://ieeexplore.ieee.org/author/37086546613","3","Hongye Liang","37086546613","State Key Lab of CAD&CG, Zhejiang University","https://ieeexplore.ieee.org/author/37086544875","4","Dazhen Deng","37086544875","Department of Sport ScienceZhejiang University","https://ieeexplore.ieee.org/author/37086547287","5","Shoubin Cheng","37086547287","Department of Sport ScienceZhejiang University","https://ieeexplore.ieee.org/author/37086236404","6","Hui Zhang","37086236404","State Key Lab of CAD&CG, Zhejiang University","https://ieeexplore.ieee.org/author/37085418543","7","Wei Chen","37085418543","State Key Lab of CAD&CG, Zhejiang University","https://ieeexplore.ieee.org/author/37407308300","8","Yingcai Wu","37407308300","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2020.3030359","1331","https://ieeexplore.ieee.org/document/9222314/","Soccer Analysis","Passing Analysis","","","","","","","","","Sports","Visual analytics","Data visualization","Interviews","Pattern matching","Navigation","","9340023","2160-9306","2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9222314","Feb. 2021","2945","IEEE Transactions on Visualization and Computer Graphics","2021","IEEE","4","1322","PassVizor: Toward Better Understanding of the Dynamics of Soccer Passes","27"
"With machine learning models being increasingly applied to various decision-making scenarios, people have spent growing efforts to make machine learning models more transparent and explainable. Among various explanation techniques, counterfactual explanations have the advantages of being human-friendly and actionable-a counterfactual explanation tells the user how to gain the desired prediction with minimal changes to the input. Besides, counterfactual explanations can also serve as efficient probes to the models' decisions. In this work, we exploit the potential of counterfactual explanations to understand and explore the behavior of machine learning models. We design DECE, an interactive visualization system that helps understand and explore a model's decisions on individual instances and data subsets, supporting users ranging from decision-subjects to model developers. DECE supports exploratory analysis of model decisions by combining the strengths of counterfactual explanations at instance- and subgroup-levels. We also introduce a set of interactions that enable users to customize the generation of counterfactual explanations to find more actionable ones that can suit their needs. Through three use cases and an expert interview, we demonstrate the effectiveness of DECE in supporting decision exploration tasks and instance explanations.","https://ieeexplore.ieee.org/document/9229232/","LOCKED","9229232","Hong Kong University of Science and Technology","https://ieeexplore.ieee.org/author/37087100335","1","Furui Cheng","37087100335","","","","","","","","","","","","","","","","Hong Kong University of Science and Technology","https://ieeexplore.ieee.org/author/37086012043","2","Yao Ming","37086012043","Hong Kong University of Science and Technology","https://ieeexplore.ieee.org/author/37085648134","3","Huamin Qu","37085648134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2020.3030342","1447","https://ieeexplore.ieee.org/document/9229232/","Tabular Data","Explainable Machine Learning","Counterfactual Explanation","Decision Making","","","","","","","Machine learning","Analytical models","Predictive models","Tools","Computational modeling","Decision making","Data models","9340023","2160-9306","2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9229232","Feb. 2021","2945","IEEE Transactions on Visualization and Computer Graphics","2021","IEEE","5","1438","DECE: Decision Explorer with Counterfactual Explanations for Machine Learning Models","27"
"In the modern drug discovery process, medicinal chemists deal with the complexity of analysis of large ensembles of candidate molecules. Computational tools, such as dimensionality reduction (DR) and classification, are commonly used to efficiently process the multidimensional space of features. These underlying calculations often hinder interpretability of results and prevent experts from assessing the impact of individual molecular features on the resulting representations. To provide a solution for scrutinizing such complex data, we introduce ChemVA, an interactive application for the visual exploration of large molecular ensembles and their features. Our tool consists of multiple coordinated views: Hexagonal view, Detail view, 3D view, Table view, and a newly proposed Difference view designed for the comparison of DR projections. These views display DR projections combined with biological activity, selected molecular features, and confidence scores for each of these projections. This conjunction of views allows the user to drill down through the dataset and to efficiently select candidate compounds. Our approach was evaluated on two case studies of finding structurally similar ligands with similar binding affinity to a target protein, as well as on an external qualitative evaluation. The results suggest that our system allows effective visual inspection and comparison of different high-dimensional molecular representations. Furthermore, ChemVA assists in the identification of candidate compounds while providing information on the certainty behind different molecular representations.","https://ieeexplore.ieee.org/document/9222282/","LOCKED","9222282","Department of Computer Science and Engineering, Universidad Nacional del Sur, Institute for Computer Science and Engineering (UNS-CONICET), Bahía, Blanca, Argentina","https://ieeexplore.ieee.org/author/37088656320","1","María Virginia Sabando","37088656320","","","","","","","","","","","","","","","","Faculty of Informatics, Masaryk University, Brno, Czech Republic","https://ieeexplore.ieee.org/author/37086932309","2","Pavol Ulbrich","37086932309","Department of Computer Science and Engineering, Universidad Nacional del Sur, Institute for Computer Science and Engineering (UNS-CONICET), Bahía, Blanca, Argentina","https://ieeexplore.ieee.org/author/37088656098","3","Matías Selzer","37088656098","Faculty of Informatics, Masaryk University, Brno, Czech Republic","https://ieeexplore.ieee.org/author/37085717963","4","Jan Byška","37085717963","Department of Experimental Biology and RECETOX, Loschmidt Laboratories, Faculty of Medicine Masaryk University, Brno, Czech Republic","https://ieeexplore.ieee.org/author/37088655410","5","Jan Mičan","37088655410","Department of Computer Science and Engineering, Universidad Nacional del Sur, Institute for Computer Science and Engineering (UNS-CONICET), Bahía, Blanca, Argentina","https://ieeexplore.ieee.org/author/37945587000","6","Ignacio Ponzoni","37945587000","Department of Computer Science and Engineering, Universidad Nacional del Sur, Institute for Computer Science and Engineering (UNS-CONICET), Bahía, Blanca, Argentina","https://ieeexplore.ieee.org/author/37088656445","7","Axel J. Soto","37088656445","Department of Computer Science and Engineering, Universidad Nacional del Sur, Institute for Computer Science and Engineering (UNS-CONICET), Bahía, Blanca, Argentina","https://ieeexplore.ieee.org/author/37085462425","8","María Luján Ganuza","37085462425","Faculty of Informatics, Masaryk University, Brno, Czech Republic","https://ieeexplore.ieee.org/author/37085711031","9","Barbora Kozlíková","37085711031","","","","","","0","0","Journals","10.1109/TVCG.2020.3030438","901","https://ieeexplore.ieee.org/document/9222282/","Virtual screening","visual analysis","dimensionality reduction","coordinated views","cheminformatics","","","","","","Tools","Compounds","Visualization","Two dimensional displays","Drugs","Three-dimensional displays","Chemicals","9340023","2160-9306","2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9222282","Feb. 2021","2945","IEEE Transactions on Visualization and Computer Graphics","2021","IEEE","6","891","ChemVA: Interactive Visual Analysis of Chemical Compound Similarity in Virtual Screening","27"
"Deep learning methods are being increasingly used for urban traffic prediction where spatiotemporal traffic data is aggregated into sequentially organized matrices that are then fed into convolution-based residual neural networks. However, the widely known modifiable areal unit problem within such aggregation processes can lead to perturbations in the network inputs. This issue can significantly destabilize the feature embeddings and the predictions - rendering deep networks much less useful for the experts. This paper approaches this challenge by leveraging unit visualization techniques that enable the investigation of many-to-many relationships between dynamically varied multi-scalar aggregations of urban traffic data and neural network predictions. Through regular exchanges with a domain expert, we design and develop a visual analytics solution that integrates 1) a Bivariate Map equipped with an advanced bivariate colormap to simultaneously depict input traffic and prediction errors across space, 2) a Moran's I Scatterplot that provides local indicators of spatial association analysis, and 3) a Multi-scale Attribution View that arranges non-linear dot plots in a tree layout to promote model analysis and comparison across scales. We evaluate our approach through a series of case studies involving a real-world dataset of Shenzhen taxi trips, and through interviews with domain experts. We observe that geographical scale variations have important impact on prediction performances, and interactive visual exploration of dynamically varying inputs and outputs benefit experts in the development of deep traffic prediction models.","https://ieeexplore.ieee.org/document/9228894/","LOCKED","9228894","Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, China","https://ieeexplore.ieee.org/author/37087101788","1","Wei Zeng","37087101788","","","","","","","","","","","","","","","","Xiamen University, China","https://ieeexplore.ieee.org/author/37088655355","2","Chengqiao Lin","37088655355","Xiamen University, China","https://ieeexplore.ieee.org/author/37088655819","3","Juncong Lin","37088655819","Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, China","https://ieeexplore.ieee.org/author/37088656150","4","Jincheng Jiang","37088656150","Central South University, China","https://ieeexplore.ieee.org/author/37531405500","5","Jiazhi Xia","37531405500","University of Warwick, UK","https://ieeexplore.ieee.org/author/37567685600","6","Cagatay Turkay","37567685600","State Key Lab of CAD&CG, Zhejiang University, China","https://ieeexplore.ieee.org/author/37291847800","7","Wei Chen","37291847800","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2020.3030410","848","https://ieeexplore.ieee.org/document/9228894/","MAUP","traffic prediction","deep learning","model diagnostic","visual analytics","","","","","","Predictive models","Visual analytics","Data visualization","Analytical models","Uncertainty","Perturbation methods","","9340023","2160-9306","2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9228894","Feb. 2021","2945","IEEE Transactions on Visualization and Computer Graphics","2021","IEEE","7","839","Revisiting the Modifiable Areal Unit Problem in Deep Traffic Prediction with Visual Analytics","27"
"We examine the process of designing an exhibit to communicate scientific findings from a complex dataset and unfamiliar domain to the public in a science museum. Our exhibit sought to communicate new lessons based on scientific findings from the domain of metagenomics. This multi-user exhibit had three goals: (1) to inform the public about microbial communities and their daily cycles; (2) to link microbes' activity to the concept of gene expression; (3) and to highlight scientists' use of gene expression data to understand the role of microbes. To address these three goals, we derived visualization designs with three corresponding stories, each corresponding to a goal. We present three successive rounds of design and evaluation of our attempts to convey these goals. We could successfully present one story but had limited success with our second and third goals. This work presents a detailed account of an attempt to explain tightly coupled relationships through storytelling and animation in a multi-user, informal learning environment to a public with varying prior knowledge on the domain and identify lessons for future design.","https://ieeexplore.ieee.org/document/9241413/","LOCKED","9241413","UC Davis","https://ieeexplore.ieee.org/author/37086925054","1","Keshav Dasu","37086925054","","","","","","","","","","","","","","","","UC Davis","https://ieeexplore.ieee.org/author/37085432740","2","Kwan-Liu Ma","37085432740","The Exploratorium","https://ieeexplore.ieee.org/author/38489269900","3","Joyce Ma","38489269900","The Exploratorium","https://ieeexplore.ieee.org/author/38233965200","4","Jennifer Frazier","38233965200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2020.3030412","945","https://ieeexplore.ieee.org/document/9241413/","Narrative visualization","storytelling","animation","evaluation","user studies","informal learning environments","","","","","Animation","Data visualization","Meteorology","Prototypes","Gene expression","Atmospheric modeling","","9340023","2160-9306","2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9241413","Feb. 2021","2945","IEEE Transactions on Visualization and Computer Graphics","2021","IEEE","8","935","Sea of Genes: A Reflection on Visualising Metagenomic Data for Museums","27"
"We propose a visualization method to understand the effect of multidimensional projection on local subspaces, using implicit function differentiation. Here, we understand the local subspace as the multidimensional local neighborhood of data points. Existing methods focus on the projection of multidimensional data points, and the neighborhood information is ignored. Our method is able to analyze the shape and directional information of the local subspace to gain more insights into the global structure of the data through the perception of local structures. Local subspaces are fitted by multidimensional ellipses that are spanned by basis vectors. An accurate and efficient vector transformation method is proposed based on analytical differentiation of multidimensional projections formulated as implicit functions. The results are visualized as glyphs and analyzed using a full set of specifically-designed interactions supported in our efficient web-based visualization tool. The usefulness of our method is demonstrated using various multi- and high-dimensional benchmark datasets. Our implicit differentiation vector transformation is evaluated through numerical comparisons; the overall method is evaluated through exploration examples and use cases.","https://ieeexplore.ieee.org/document/9222353/","LOCKED","9222353","Shandong University, Qingdao","https://ieeexplore.ieee.org/author/37088656418","1","Rongzheng Bian","37088656418","","","","","","","","","","","","","","","","Shandong University, Qingdao","https://ieeexplore.ieee.org/author/37088656154","2","Yumeng Xue","37088656154","University of Utah","https://ieeexplore.ieee.org/author/37073908100","3","Liang Zhou","37073908100","CNIC, CAS","https://ieeexplore.ieee.org/author/38026660700","4","Jian Zhang","38026660700","Peking University","https://ieeexplore.ieee.org/author/37600013700","5","Baoquan Chen","37600013700","University of Stuttgart","https://ieeexplore.ieee.org/author/37268045000","6","Daniel Weiskopf","37268045000","Shandong University, Qingdao","https://ieeexplore.ieee.org/author/37087102270","7","Yunhai Wang","37087102270","","","","","","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2020.3030368","1568","https://ieeexplore.ieee.org/document/9222353/","High-dimensional data visualization","dimensionality reduction","local linear subspaces","user interaction","","","","","","","Data visualization","Two dimensional displays","Visualization","Market research","Shape","Dimensionality reduction","Encoding","9340023","2160-9306","2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9222353","Feb. 2021","2945","IEEE Transactions on Visualization and Computer Graphics","2021","IEEE","9","1558","Implicit Multidimensional Projection of Local Subspaces","27"
"Significant research has provided robust task and evaluation languages for the analysis of exploratory visualizations. Unfortunately, these taxonomies fail when applied to communicative visualizations. Instead, designers often resort to evaluating communicative visualizations from the cognitive efficiency perspective: “can the recipient accurately decode my message/insight?” However, designers are unlikely to be satisfied if the message went ‘in one ear and out the other.’ The consequence of this inconsistency is that it is difficult to design or select between competing options in a principled way. The problem we address is the fundamental mismatch between how designers want to describe their intent, and the language they have. We argue that visualization designers can address this limitation through a learning lens: that the recipient is a student and the designer a teacher. By using learning objectives, designers can better define, assess, and compare communicative visualizations. We illustrate how the learning-based approach provides a framework for understanding a wide array of communicative goals. To understand how the framework can be applied (and its limitations), we surveyed and interviewed members of the Data Visualization Society using their own visualizations as a probe. Through this study we identified the broad range of objectives in communicative visualizations and the prevalence of certain objective types.","https://ieeexplore.ieee.org/document/9222102/","LOCKED","9222102","University of Michigan","https://ieeexplore.ieee.org/author/37331417100","1","Eytan Adar","37331417100","","","","","","","","","","","","","","","","University of Michigan","https://ieeexplore.ieee.org/author/37088655825","2","Elsie Lee","37088655825","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2020.3030375","956","https://ieeexplore.ieee.org/document/9222102/","Learning objectives","communicative visualization","visualization design","","","","","","","","Data visualization","Taxonomy","Task analysis","Visualization","Elbow","Tools","Correlation","9340023","2160-9306","2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9222102","Feb. 2021","2945","IEEE Transactions on Visualization and Computer Graphics","2021","IEEE","10","946","Communicative Visualizations as a Learning Problem","27"
