key,title,author,year,ee
conf/vissym/StosselRRWV17,Structuring and Visualizing Knowledge in Soil Science.,Bastian Stößel::Eva Rabot::Felix Richter 0004::Ulrich Weller::Hans-Jörg Vogel,2017,https://doi.org/10.2312/eurp.20171154
conf/vissym/WeberKLSHHJ01,Extraction of Crack-free Isosurfaces from Adaptive Mesh Refinement Data.,Gunther H. Weber::Oliver Kreylos::Terry J. Ligocki::John M. Shalf::Hans Hagen::Bernd Hamann::Kenneth I. Joy,2001,https://doi.org/10.1007/978-3-7091-6215-6_4::https://doi.org/10.2312/VisSym/VisSym01/025-034
conf/vissym/SmithJ20,The Impact of EuroVis Publications.,Lucy Faye Smith::Stefan Jänicke,2020,https://doi.org/10.2312/eurp.20201120
conf/vissym/Westermann01,The Rendering of Unstructured Grids Revisited.,Rüdiger Westermann,2001,https://doi.org/10.1007/978-3-7091-6215-6_8::https://doi.org/10.2312/VisSym/VisSym01/065-074
conf/vissym/HollidayN00,Progressive Volume Models for Rectilinear Data using Tetrahedral Coons Volumes.,Dave J. Holliday::Gregory M. Nielson,2000,https://doi.org/10.1007/978-3-7091-6783-0_9::https://doi.org/10.2312/VisSym/VisSym00/083-092
conf/vissym/HacklJHPN23,PTMVision: An Interactive Visualization Platform for Post-Translational Modifications of Proteins.,Simon Hackl::Caroline Jachmann::Theresa Anisja Harbig::Mathias Witte Paz::Kay Nieselt,2023,https://doi.org/10.2312/evp.20231067
conf/vissym/AlakkariD16,Volume Rendering Using Principal Component Analysis.,Salaheddin Alakkari::John Dingliana,2016,https://doi.org/10.2312/eurp.20161148
conf/vissym/AlsaiariAJ20,Evaluating Strategies of Exploratory Visual Data Analysis in Multi Device Environments.,Abeer Alsaiari::Jillian Aurisano::Andrew E. Johnson 0001,2020,https://doi.org/10.2312/evs.20201054
conf/vissym/PhamD19,SOAViz: Visualization for Portable X-ray Fluorescence Soil Profiles.,Vung Pham::Tommy Dang,2019,https://doi.org/10.2312/envirvis.20191102
conf/vissym/AbuthawabehA20,A Force-Directed Power Diagram Approach for Interactive Voronoi Treemaps.,Ala Abuthawabeh::Michaël Aupetit 0001,2020,https://doi.org/10.2312/evs.20201057
conf/vissym/EhlertSB06,Data Reconstruction and Visualization Techniques for Forensic Pathology.,Alexander Ehlert::Zein Salah::Dirk Bartz,2006,https://doi.org/10.2312/VisSym/EuroVis06/323-330
conf/vissym/TsengWQS24,"Revisiting Categorical Color Perception in Scatterplots: Sequential, Diverging, and Categorical Palettes.",Chin Tseng::Arran Zeyu Wang::Ghulam Jilani Quadri::Danielle Albers Szafir,2024,https://doi.org/10.2312/evs.20241073
conf/vissym/SesslerSNHKB16,Towards Combining Attribute-based and Time Series-based Visual Querying.,David Sessler::Martin Spott::Detlef D. Nauck::William Harmer::Jörn Kohlhammer::Jürgen Bernard,2016,https://doi.org/10.2312/eurp.20161145
