title,author,year,ee
conf/chi/0002TVCGHDFSBM24,Exploring Holistic HMI Design for Automated Vehicles: Insights from a Participatory Workshop to Bridge In-Vehicle and External Communication.,Haoyu Dong 0002::Tram Thi Minh Tran::Rutger Verstegen::Silvia Cazacu::Ruolin Gao::Marius Hoggenmüller::Debargha Dey::Mervyn Franssen::Markus Sasalovici::Pavlo Bazilinskyy::Marieke H. Martens,2024,https://doi.org/10.1145/3613905.3651086
conf/ieeevast/HuMCCJY19,Visual Analysis of Multivariate Time Series of Static and Mobile Sensors.,Yueqi Hu::Qi Ma::Yang Chen::Haidong Chen::Weiqing Jin::Fenjin Ye,2019,https://doi.org/10.1109/VAST47406.2019.8986910
conf/ieeevast/Pabst12,"BusinessForensics HQ: VAST Challenge Mini Challenge 1 award: ""Good visualization"".",Robert Pabst,2012,https://doi.org/10.1109/VAST.2012.6400526::https://doi.ieeecomputersociety.org/10.1109/VAST.2012.6400526
conf/ieeevast/Glassner09,Using stories to understand patterns.,Andrew S. Glassner,2009,https://doi.org/10.1109/VAST.2009.5334118
conf/ieeevast/FarrugiaQ08,Cell phone Mini Challenge: Node-link animation award animating multivariate dynamic social networks.,Michael Farrugia::Aaron J. Quigley,2008,https://doi.org/10.1109/VAST.2008.4677393::https://www.wikidata.org/entity/Q59301736
conf/ieeevast/TakedaKKOM12,Irregular Trend Finder: Visualization tool for analyzing time-series big data.,Shinnosuke Takeda::Aimi Kobayashi::Hiroaki Kobayashi::Saori Okubo::Kazuo Misue,2012,https://doi.org/10.1109/VAST.2012.6400504::https://doi.ieeecomputersociety.org/10.1109/VAST.2012.6400504
conf/ieeevast/MigutWBGSLW12,VAST Challenge 2012: Interactively finding anomalies in geo-temporal multivariate data.,Gosia Migut::Justin van Wees::Diederik Bakker::Bart de Goede::Haska Steltenpohl::Nick Oude Lenferink::Marcel Worring,2012,https://doi.org/10.1109/VAST.2012.6400508::https://doi.ieeecomputersociety.org/10.1109/VAST.2012.6400508
conf/ieeevast/SavikhinME08,Applied visual analytics for economic decision-making.,Anya Savikhin::Ross Maciejewski::David S. Ebert,2008,https://doi.org/10.1109/VAST.2008.4677363::https://www.wikidata.org/entity/Q56903957
conf/ieeevast/NunesRSKMLB14,An integrated visual analysis system for fusing MR spectroscopy and multi-modal radiology imaging.,Miguel Nunes::Benjamin Rowland::Matthias Schlachter::Soléakhéna Ken::Kresimir Matkovic::Anne Laprie::Katja Bühler,2014,https://doi.org/10.1109/VAST.2014.7042481::https://doi.ieeecomputersociety.org/10.1109/VAST.2014.7042481
conf/ieeevast/BensonRAV15,Case study of dino fun world movement and communication data.,Jordan Riley Benson::Rajiv Ramarajan::Nascif A. Abousalh-Neto::Paul Vezzetti,2015,https://doi.org/10.1109/VAST.2015.7347652::https://doi.ieeecomputersociety.org/10.1109/VAST.2015.7347652
conf/ieeevast/BertiniBFHLMMRRRSSSSTZK11,Visual analytics of terrorist activities related to epidemics.,Enrico Bertini::Juri Buchmüller::Fabian Fischer 0001::Stephan Huber::Thomas Lindemeier::Fabian Maass::Florian Mansmann::Thomas Ramm::Michael Regenscheit::Christian Rohrdantz::Christian Scheible::Tobias Schreck::Stephan Sellien::Florian Stoffel::Mark Tautzenberger::Matthias Zieker::Daniel A. Keim,2011,https://doi.org/10.1109/VAST.2011.6102498
conf/ieeevast/Park14,Integrated visual analytics tool for heterogeneous text data.,Jihyoun Park,2014,https://doi.org/10.1109/VAST.2014.7042548::https://doi.ieeecomputersociety.org/10.1109/VAST.2014.7042548
conf/ieeevast/HornbeckA19,UofC-Bayes: A Bayesian Approach to Visualizing Uncertainty in Radiation Data.,Haysn Hornbeck::Usman R. Alim,2019,https://doi.org/10.1109/VAST47406.2019.8986936
conf/ieeevast/AgrawalSVK09,VAST 2009 Traffic Mini Challenge: Intuitive analytic information presentation.,Shraddha Agrawal::Kollukuduru Sravanthi::Soujanya Vadapalli::Kamalakar Karlapalem,2009,https://doi.org/10.1109/VAST.2009.5334301
conf/ieeevast/GorgLPSS07,Visual Analytics with Jigsaw.,Carsten Görg::Zhicheng Liu 0001::Neel Parekh::Kanupriya Singhal::John T. Stasko,2007,https://doi.org/10.1109/VAST.2007.4389017::https://doi.ieeecomputersociety.org/10.1109/VAST.2007.4389017
conf/ieeevast/KulkarniMCG11,A visual navigation system for querying neural stem cell imaging data.,Ishwar Kulkarni::Shanaz Y. Mistry::Brian Cummings::M. Gopi 0001,2011,https://doi.org/10.1109/VAST.2011.6102459
conf/ieeevast/ItohYTK11,3D Visualization of temporal changes in bloggers' activities and interests.,Masahiko Itoh::Naoki Yoshinaga 0001::Masashi Toyoda::Masaru Kitsuregawa,2011,https://doi.org/10.1109/VAST.2011.6102475
conf/ieeevast/DouWCR11,ParallelTopics: A probabilistic approach to exploring document collections.,Wenwen Dou::Xiaoyu Wang 0001::Remco Chang::William Ribarsky,2011,https://doi.org/10.1109/VAST.2011.6102461
conf/ieeevast/JiangYQY0Z19,Visual Analytics of Spatio-Temporal Uncertainties for Radiation Monitoring in a Nuclear Leakage Crisis.,Haojin Jiang::Kui Yang::Yaqi Qin::Yifei Yang::Ying Zhao 0001::Fangfang Zhou,2019,https://doi.org/10.1109/VAST47406.2019.8986925
conf/ieeevast/Theron06,Visual Analytics of Paleoceanographic Conditions.,Roberto Therón,2006,https://doi.org/10.1109/VAST.2006.261452::https://doi.ieeecomputersociety.org/10.1109/VAST.2006.261452::https://www.wikidata.org/entity/Q58635702
conf/ieeevast/Weaver10,Multidimensional data dissection using attribute relationship graphs.,Chris E. Weaver,2010,https://doi.org/10.1109/VAST.2010.5652520
conf/ieeevast/TseL14,VAST 2014: Summary on Mini Challenge two.,Carlos K. F. Tse::Yang Liu,2014,https://doi.org/10.1109/VAST.2014.7042567::https://doi.ieeecomputersociety.org/10.1109/VAST.2014.7042567
conf/ieeevast/PuriLCFWCQ15,ParkVis: A visual analytic system for anomaly detection in DinoFun World.,Abishek Puri::Dongyu Liu::Shaoyu Chen::Siwei Fu::Tianyu Wang::Yeukyin Chan::Huamin Qu,2015,https://doi.org/10.1109/VAST.2015.7347641::https://doi.ieeecomputersociety.org/10.1109/VAST.2015.7347641
conf/ieeevast/TakleSH12,A case study: Tracking and visualizing the evolution of dark matter halos and groups of satellite halos in cosmology simulations.,Jay Takle::Deborah Silver::Katrin Heitmann,2012,https://doi.org/10.1109/VAST.2012.6400532::https://doi.ieeecomputersociety.org/10.1109/VAST.2012.6400532
conf/ieeevast/JeongGRC09,Comparing two interface tools in performing visual analytics tasks.,Dong Hyun Jeong::Tera Marie Green::William Ribarsky::Remco Chang,2009,https://doi.org/10.1109/VAST.2009.5333469
conf/ieeevast/CabreraEHKMC19,FAIRVIS: Visual Analytics for Discovering Intersectional Bias in Machine Learning.,Ángel Alexander Cabrera::Will Epperson::Fred Hohman::Minsuk Kahng::Jamie Morgenstern::Duen Horng Chau,2019,https://doi.org/10.1109/VAST47406.2019.8986948
conf/ieeevast/KeimMSS06,Monitoring Network Traffic with Radial Traffic Analyzer.,Daniel A. Keim::Florian Mansmann::Jörn Schneidewind::Tobias Schreck,2006,https://doi.org/10.1109/VAST.2006.261438::https://doi.ieeecomputersociety.org/10.1109/VAST.2006.261438
conf/ieeevast/BenjaminMGS14,IPM - A framework for visual sense making VAST 2014 mini-challenge 1.,Perakath C. Benjamin::Karthic Madanagopal::Belita Gopal::Kannan Swaminathan,2014,https://doi.org/10.1109/VAST.2014.7042542::https://doi.ieeecomputersociety.org/10.1109/VAST.2014.7042542
conf/ieeevast/ChenCLYL017,E-Map: A Visual Analytics Approach for Exploring Significant Event Evolutions in Social Media.,Siming Chen 0001::Shuai Chen 0001::Lijing Lin::Xiaoru Yuan::Jie Liang 0004::Xiaolong Zhang 0001,2017,https://doi.org/10.1109/VAST.2017.8585638::https://doi.ieeecomputersociety.org/10.1109/VAST.2017.8585638
