year,isnumber,conference,json_filename
1990,3914,Vis-conf,articles-SI
1991,4467,Vis-conf,articles-SI
1992,6054,Vis-conf,articles-SI
1993,9012,Vis-conf,articles-SI
1994,8039,Vis-conf,articles-SI
1995,10213,Vis-conf,articles-SI
1995,11604,InfoVis-conf,articles-infovis
1996,12277,Vis-conf,articles-SI
1996,12180,InfoVis-conf,articles-infovis
1997,14360,Vis-conf,articles-SI
1997,13801,InfoVis-conf,articles-infovis
1998,16079,Vis-conf,articles-SI
1998,15744,InfoVis-conf,articles-infovis
1999,17553,Vis-conf,articles-SI
1999,17394,InfoVis-conf,articles-infovis
2000,19150,Vis-conf,articles-SI
2000,19138,InfoVis-conf,articles-infovis
2001,20824,Vis-conf,articles-SI
2001,20791,InfoVis-conf,articles-infovis
2002,26365,InfoVis-conf,articles-infovis
2002,26565,Vis-conf,articles-SI
2003,27965,InfoVis-conf,articles-infovis
2003,27978,Vis-conf,articles-SI
2004,30135,InfoVis-conf,articles-infovis
2004,29999,Vis-conf,articles-SI
2005,32681,InfoVis-conf,articles-infovis
2005,32702,Vis-conf,articles-SI
2006,4015412,TVCGSI,articles-SI
2006,4035730,VAST-conf,articles-vast
2007,4376125,TVCGSI,articles-SI
2007,4388977,VAST-conf,articles-vast
2008,4658121,TVCGSI,articles-SI
2008,4677336,VAST-conf,articles-vast
2009,5290686,TVCGSI,articles-SI
2009,5332407,VAST-conf,articles-vast
2010,5613414,TVCGSI,articles-SI
2010,5649053,VAST-conf,articles-vast
2011,6064926,TVCGSI,articles-SI
2011,6102423,VAST-conf,articles-vast
2012,6327196,TVCGSI,articles-SI
2012,6400483,VAST-conf,articles-vast
2013,6634084,TVCGSI,articles-SI
2014,6935054,TVCGSI,articles-SI
2014,7042473,VAST-conf,articles-vast
2015,7429473,SciVis-conf,articles-scivis
2015,7307919,TVCGSI,articles-SI
2015,7347613,VAST-conf,articles-vast
2016,7747554,TVCGSI,articles-SI
2016,7883493,VAST-conf,articles-vast
2017,8165924,TVCGSI,articles-SI
2017,8585424,VAST-conf,articles-vast
2018,8547224,TVCGSI,articles-SI
2018,8802370,VAST-conf,articles-vast
2019,8911289,TVCGSI,articles-SI
2019,8986897,VAST-conf,articles-vast
2020,9340023,TVCGSI,articles-SI
2020,9308614,VAST-conf,articles-vast
2021,9663056,TVCGSI,articles-SI
2022,9991003,TVCGSI,articles-SI
