Year,DOI,AuthorNames-Deduped,AuthorAffiliation,Country
2019,10.1109/TVCG.2019.2934208,Yating Wei,"The State Key Lab of CAD & CG, Zhejiang University, Hangzhou, Zhejiang, China",China
2019,10.1109/TVCG.2019.2934208,Honghui Mei,"The State Key Lab of CAD & CG, Zhejiang University, Hangzhou, Zhejiang, China",China
2019,10.1109/TVCG.2019.2934208,Ying Zhao 0001,"School of Computer Science and Engineering, Central South University, Changsha, Hunan, China",China
2019,10.1109/TVCG.2019.2934208,Shuyue Zhou,"The State Key Lab of CAD & CG, Zhejiang University, Hangzhou, Zhejiang, China",China
2019,10.1109/TVCG.2019.2934208,Bingru Lin,"The State Key Lab of CAD & CG, Zhejiang University, Hangzhou, Zhejiang, China",China
2019,10.1109/TVCG.2019.2934208,Haojing Jiang,"School of Computer Science and Engineering, Central South University, Changsha, Hunan, China",China
2019,10.1109/TVCG.2019.2934208,Wei Chen 0001,"The State Key Lab of CAD & CG, Zhejiang University, Hangzhou, Zhejiang, China",China
2019,10.1109/TVCG.2019.2934209,David Borland,"RENCI, University of North Carolina, Chapel Hill",USA
2019,10.1109/TVCG.2019.2934209,Wenyuan Wang,"School of Information and Library Science, University of North Carolina, Chapel Hill",USA
2019,10.1109/TVCG.2019.2934209,Jonathan Zhang,"Dept. of Biostatistics, University of North Carolina, Chapel Hill",USA
2019,10.1109/TVCG.2019.2934209,Joshua Shrestha,"Dept. of Computer Science, University of North Carolina, Chapel Hill",USA
2019,10.1109/TVCG.2019.2934209,David Gotz,"School of Information and Library Science, University of North Carolina, Chapel Hill",USA
2019,10.1109/TVCG.2019.2934242,Lin Yan,University of Utah,USA
2019,10.1109/TVCG.2019.2934242,Yusu Wang,Ohio State University,USA
2019,10.1109/TVCG.2019.2934242,Elizabeth Munch,Michigan State University,USA
2019,10.1109/TVCG.2019.2934242,Ellen Gasparovic,Union College,USA
2019,10.1109/TVCG.2019.2934242,Bei Wang,University of Utah,USA
2019,10.1109/TVCG.2019.2934243,Tom Polk,University of Konstanz,Germany
2019,10.1109/TVCG.2019.2934243,Dominik Jäckle,University of Konstanz,Germany
2019,10.1109/TVCG.2019.2934243,Johannes Häussler,University of Konstanz,Germany
2019,10.1109/TVCG.2019.2934243,Jing Yang,University of North Carolina,USA
2019,10.1109/TVCG.2019.2934251,Takanori Fujiwara,"University of California, Davis",USA
2019,10.1109/TVCG.2019.2934251,Oh-Hyun Kwon,"University of California, Davis",USA
2019,10.1109/TVCG.2019.2934251,Kwan-Liu Ma,"University of California, Davis",USA
2019,10.1109/TVCG.2019.2934255,Jun Han," and Engineering, University of Notre Dame, Notre Dame, IN",USA
2019,10.1109/TVCG.2019.2934255,Chaoli Wang 0001," and Engineering, University of Notre Dame, Notre Dame, IN",USA
2019,10.1109/TVCG.2019.2934256,Jules Vidal,Sorbonne UniversitéCNRS (LIP6),France
2019,10.1109/TVCG.2019.2934256,Joseph Budin,Sorbonne UniversitéCNRS (LIP6),France
2019,10.1109/TVCG.2019.2934256,Julien Tierny,Sorbonne UniversitéCNRS (LIP6),France
2019,10.1109/TVCG.2019.2934257,Pavol Klacansky,Scientific Computing and Imaging InstituteUniversity of Utah,USA
2019,10.1109/TVCG.2019.2934257,Attila Gyulassy,Scientific Computing and Imaging InstituteUniversity of Utah,USA
2019,10.1109/TVCG.2019.2934257,Peer-Timo Bremer,Lawrence Livermore National Laboratory,USA
2019,10.1109/TVCG.2019.2934257,Valerio Pascucci,Scientific Computing and Imaging InstituteUniversity of Utah,USA
2019,10.1109/TVCG.2019.2934258,Juraj Pálenik,University of Bergen,Norway
2019,10.1109/TVCG.2019.2934258,Jan Byska,University of Bergen,Norway
2019,10.1109/TVCG.2019.2934258,Stefan Bruckner,University of Bergen,Norway
2019,10.1109/TVCG.2019.2934258,Helwig Hauser,University of Bergen,Norway
2019,10.1109/TVCG.2019.2934259,Alexander Bock,Linköping UniversityUniversity of Utah,Sweden
2019,10.1109/TVCG.2019.2934259,Anders Ynnerman,Linköping University,Sweden
2019,10.1109/TVCG.2019.2934259,Emil Axelsson,New York University,USA
2019,10.1109/TVCG.2019.2934259,Jonathas Costa,University of Utah,USA
2019,10.1109/TVCG.2019.2934259,Gene Payne,American Museum of Natural History,USA
2019,10.1109/TVCG.2019.2934259,Micah Acinapura,American Museum of Natural History,USA
2019,10.1109/TVCG.2019.2934259,Vivian Trakinski,American Museum of Natural History,USA
2019,10.1109/TVCG.2019.2934259,Carter Emmart,New York University,USA
2019,10.1109/TVCG.2019.2934259,Cláudio T. Silva,University of Utah,USA
2019,10.1109/TVCG.2019.2934259,Charles D. Hansen,Linköping UniversityUniversity of Utah,Sweden
2019,10.1109/TVCG.2019.2934260,Seth Johnson,University of Minnesota,USA
2019,10.1109/TVCG.2019.2934260,Francesca Samsel,"University of Texas, Austin",USA
