Title	Reason
Understanding Hidden Memories of Recurrent Neural Networks	VAST conference paper
Warning, Bias May Occur: A Proposed Approach to Detecting Cognitive Bias in Interactive Visual Analytics	VAST conference paper
A Workflow for Visual Diagnostics of Binary Classifiers using Instance-Level Explanations	VAST conference paper
The Role of Explicit Knowledge: A Conceptual Model of Knowledge-Assisted Visual Analytics	VAST conference paper
E-Map: A Visual Analytics Approach for Exploring Significant Event Evolutions in Social Media	VAST conference paper
Visual Causality Analysis Made Practical	VAST conference paper
Pattern Trails: Visual Analysis of Pattern Transitions in Subspaces	VAST conference paper
A Visual Analytics System for Optimizing Communications in Massively Parallel Applications	VAST conference paper
The Anchoring Effect in Decision-Making with Visual Analytics	VAST conference paper
CrystalBall: A Visual Analytic System for Future Event Discovery and Analysis from Social Media Data	VAST conference paper
CRICTO: Supporting Sensemaking through Crowdsourced Information Schematization	VAST conference paper
Interactive Visual Alignment of Medieval Text Versions	VAST conference paper
Visualizing Real-Time Strategy Games: The Example of StarCraft II	VAST conference paper
QSAnglyzer: Visual Analytics for Prismatic Analysis of Question Answering System Evaluations	VAST conference paper
The "y" of it Matters, Even for Storyline Visualization	VAST conference paper
