Year,Conference,DOI,Award
2023,Vis,10.1109/TVCG.2023.3327385,BP
2023,Vis,10.1109/TVCG.2023.3326573,BP
2023,Vis,10.1109/TVCG.2023.3327356,BP
2023,Vis,10.1109/TVCG.2023.3326520,BP
2023,Vis,10.1109/TVCG.2023.3326519,BP
2023,Vis,10.1109/TVCG.2023.3326915,BP
2023,Vis,10.1109/TVCG.2023.3327198,HM
2023,Vis,10.1109/TVCG.2023.3327396,HM
2023,Vis,10.1109/TVCG.2023.3326589,HM
2023,Vis,10.1109/TVCG.2023.3327201,HM
2023,Vis,10.1109/TVCG.2023.3326585,HM
2023,Vis,10.1109/TVCG.2023.3327367,HM
2023,Vis,10.1109/TVCG.2023.3326595,HM
2023,Vis,10.1109/TVCG.2023.3326917,HM
2023,Vis,10.1109/TVCG.2023.3326603,HM
2023,Vis,10.1109/TVCG.2023.3327387,HM
2023,Vis,10.1109/TVCG.2023.3326582,HM
2023,Vis,10.1109/TVCG.2023.3326601,HM
2023,Vis,10.1109/TVCG.2023.3326514,HM
2022,Vis,10.1109/TVCG.2022.3209374,HM
2022,Vis,10.1109/TVCG.2022.3209373,HM
2022,Vis,10.1109/TVCG.2022.3209348,HM
2022,Vis,10.1109/TVCG.2022.3209353,HM
2022,Vis,10.1109/TVCG.2022.3209386,HM
2022,Vis,10.1109/TVCG.2022.3209409,HM
2022,Vis,10.1109/TVCG.2022.3209420,BP
2022,Vis,10.1109/TVCG.2022.3209413,HM
2022,Vis,10.1109/TVCG.2022.3209403,HM
2022,Vis,10.1109/TVCG.2022.3209418,HM
2022,Vis,10.1109/TVCG.2022.3209421,HM
2022,Vis,10.1109/TVCG.2022.3209448,HM
2022,Vis,10.1109/TVCG.2022.3209465,HM
2022,Vis,10.1109/TVCG.2022.3209498,HM
2022,Vis,10.1109/TVCG.2022.3209457,BP
2022,Vis,10.1109/TVCG.2022.3209469,HM
2022,Vis,10.1109/TVCG.2022.3209444,HM
2022,Vis,10.1109/TVCG.2022.3209486,HM
2022,Vis,10.1109/TVCG.2022.3209500,BP
2022,Vis,10.1109/TVCG.2022.3209435,HM
2021,Vis,10.1109/TVCG.2021.3114806,HM
2021,Vis,10.1109/TVCG.2021.3114846,HM
2021,Vis,10.1109/TVCG.2021.3114863,HM
2021,Vis,10.1109/TVCG.2021.3114797,BP
2021,Vis,10.1109/TVCG.2021.3114794,HM
2021,Vis,10.1109/TVCG.2021.3114814,HM
2021,Vis,10.1109/TVCG.2021.3114836,HM
2021,Vis,10.1109/TVCG.2021.3114684,HM
2021,Vis,10.1109/TVCG.2021.3114818,HM
2021,Vis,10.1109/TVCG.2021.3114773,BP
2021,Vis,10.1109/TVCG.2021.3114780,HM
2021,Vis,10.1109/TVCG.2021.3114801,HM
2021,Vis,10.1109/TVCG.2021.3114800,HM
2021,Vis,10.1109/TVCG.2021.3114844,BP
2021,Vis,10.1109/TVCG.2021.3114824,HM
2021,Vis,10.1109/TVCG.2021.3114766,HM
2021,Vis,10.1109/TVCG.2021.3115565,HM
2021,Vis,10.1109/TVCG.2021.3114808,BP
2021,Vis,10.1109/TVCG.2021.3114841,HM
2021,Vis,10.1109/TVCG.2021.3114834,HM
2020,InfoVis,10.1109/TVCG.2020.3030335,BP
2020,VAST,10.1109/TVCG.2020.3030428,HM
