Paper DOI,Author Names,PositionNumber,PositionCode,Affiliation
10.1109/tvcg.2013.254,Benjamin Bach,1,F,"INRIA, Saclay, France"
10.1109/tvcg.2013.254,Emmanuel Pietriga,2,M,"INRIA, Saclay, France and INRIA Chile-CIRIC, Santiago, Chile"
10.1109/tvcg.2013.254,Jean-Daniel Fekete,3,L,"INRIA, Saclay, France"
10.1109/tvcg.2010.227,Marcel Hlawatsch,1,F,"Visualisierungsinstitut der Universität Stuttgart, Stuttgart, Germany"
10.1109/tvcg.2010.227,Filip Sadlo,2,M,"Visualisierungsinstitut der Universität Stuttgart, Stuttgart, Germany"
10.1109/tvcg.2010.227,Daniel Weiskopf,3,L,"Visualisierungsinstitut der Universität Stuttgart, Stuttgart, Germany"
10.1109/mcg.2015.71,Jo Wood,1,F,"City University, London"
10.1109/tvcg.2010.93,Tino Weinkauf,1,F,"Learning and Graphics Group, Courant Institute of Mathematical Sciences, New York University, New York, NY, USA"
10.1109/tvcg.2010.93,Holger Theisel,2,M,"AG Visual Computing, Fakultät für Informatik, Otto-von-Guericke-Universität Magdeburg, Germany"
10.1109/tvcg.2010.93,Allen Van Gelder,3,M,"University of California Santa Cruz, Santa Cruz, CA, US"
10.1109/tvcg.2010.93,Alex T. Pang,4,L,"Baskin School of Engineering, Santa Cruz, CA, USA"
10.1109/tvcg.2013.92,Tobias Pfaffelmoser,1,F,"Computer Graphics and Visualization Group, Technische Universität München, Garching bei Munchen, Bavaria, Germany"
10.1109/tvcg.2013.92,Mihaela Mihai,2,M,"Computer Graphics and Visualization Group, Technische Universität München, Garching bei Munchen, Bavaria, Germany"
10.1109/tvcg.2013.92,Rüdiger Westermann,3,L,"Computer Graphics and Visualization Group, Technische Universität München, Garching bei Munchen, Bavaria, Germany"
10.1109/tvcg.2011.109,Tiago Etiene,1,F,"School of Computing and SCI Institute, University of Utah, Salt Lake City, UT, USA"
10.1109/tvcg.2011.109,Luis Gustavo Nonato,2,M,"Departamento de Matemática Aplicada e Estatística, Universidade de São Paulo, São Carlos, SP, Brazil"
10.1109/tvcg.2011.109,Carlos Eduardo Scheidegger,3,M,"AT&T Labs—Research, Madison, NJ, USA"
10.1109/tvcg.2011.109,Julien Tierny,4,M,"TELECOM ParisTech, Paris, ÃŽle-de-France, FR"
10.1109/tvcg.2011.109,Thomas J. Peters,5,M,"Department of Computer Science and Engineering, University of Connecticut, Fairfield, Way, Storrs, CT, USA"
10.1109/tvcg.2011.109,Valerio Pascucci,6,M,"School of Computing and SCI Institute, University of Utah, Salt Lake City, UT, USA"
10.1109/tvcg.2011.109,Robert M. Kirby,7,M,"School of Computing and SCI Institute, University of Utah, Salt Lake City, UT, USA"
10.1109/tvcg.2011.109,Cláudio T. Silva,8,L,"School of Computing and SCI Institute, University of Utah, Salt Lake City, UT, USA"
10.1109/tvcg.2010.94,Niklas Elmqvist,1,F,"School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA"
10.1109/tvcg.2010.94,Pierre Dragicevic,2,M,"INRIA Saclay Île de France INRIA LRI, Universite Paris Sud, Orsay, France"
10.1109/tvcg.2010.94,Jean-Daniel Fekete,3,L,"INRIA Saclay Île de France INRIA LRI, Universite Paris Sud, Orsay, France"
10.1109/tvcg.2012.118,Brian Duffy,1,F,"Post Doctoral Research Office, Mathematical Institute University of Oxford, United Kingdom"
10.1109/tvcg.2012.118,Hamish A. Carr,2,M,"Visualization & Virtual Reality Group, School of Computing University of Leeds, United Kingdom"
10.1109/tvcg.2012.118,Torsten Möller,3,L,"Simon Fraser University, Burnaby"
10.1109/mcg.2017.377152546,Lhaylla Crissaff,1,F,Universidade Federal Fluminense
10.1109/mcg.2017.377152546,Louisa Wood Ruby,2,M,The Frick Art Reference Library
10.1109/mcg.2017.377152546,Samantha Deutch,3,M,The Frick Art Reference Library
10.1109/mcg.2017.377152546,R. Luke DuBois,4,M,New York University
10.1109/mcg.2017.377152546,Jean-Daniel Fekete,5,M,INRIA
10.1109/mcg.2017.377152546,Juliana Freire,6,M,New York University
10.1109/mcg.2017.377152546,Cláudio T. Silva,7,L,New York University
10.1109/tvcg.2018.2843369,Fred Hohman,1,F,"College of Computing, Georgia Tech, Atlanta, Georgia, USA"
10.1109/tvcg.2018.2843369,Minsuk Kahng,2,M,"College of Computing, Georgia Tech, Atlanta, Georgia, USA"
10.1109/tvcg.2018.2843369,Robert S. Pienta,3,M,"College of Computing, Georgia Tech, Atlanta, Georgia, USA"
10.1109/tvcg.2018.2843369,Duen Horng Chau,4,L,"College of Computing, Georgia Tech, Atlanta, Georgia, USA"
10.1109/tvcg.2014.2359887,Dandan Huang,1,F,University of Victoria
10.1109/tvcg.2014.2359887,Melanie Tory,2,M,University of Victoria
10.1109/tvcg.2014.2359887,Bon Adriel Aseniero,3,M,University of Calgary
10.1109/tvcg.2014.2359887,Lyn Bartram,4,M,Simon Fraser University
10.1109/tvcg.2014.2359887,Scott Bateman,5,M,University of Prince Edward Island
10.1109/tvcg.2014.2359887,Sheelagh Carpendale,6,M,University of Calgary
10.1109/tvcg.2014.2359887,Anthony Tang 0001,7,M,University of Calgary
10.1109/tvcg.2014.2359887,Rob Woodbury,8,L,Simon Fraser University
10.1109/tvcg.2016.2520921,Oh-Hyun Kwon,1,F,"Department of Computer Science, University of California, Davis, Davis, CA"
10.1109/tvcg.2016.2520921,Chris Muelder,2,M,"Department of Computer Science, University of California, Davis, Davis, CA"
10.1109/tvcg.2016.2520921,Kyungwon Lee,3,M,"Department of Digital Media, Ajou University, Suwon, Korea"
10.1109/tvcg.2016.2520921,Kwan-Liu Ma,4,L,"Department of Computer Science, University of California, Davis, Davis, CA"
10.1109/tvcg.2016.2614803,Matthew Brehmer,1,F,"Microsoft Research, Redmond, WA"
10.1109/tvcg.2016.2614803,Bongshin Lee,2,M,"Microsoft Research, Redmond, WA"
