Paper DOI,Author Names,PositionNumber,PositionCode,Affiliation
10.1109/tvcg.2024.3456356,Rainer Splechtna,1,F,"VRVis Research Center in Vienna, Austria"
10.1109/tvcg.2024.3456356,Majid Behravan,2,M,"Virginia Tech, Blacksburg, VA, USA"
10.1109/tvcg.2024.3456356,Mario Jelovic,3,M,"AVL-AST doo, Zagreb, Croatia"
10.1109/tvcg.2024.3456356,Denis Gracanin,4,M,"Virginia Tech, Blacksburg, VA, USA"
10.1109/tvcg.2024.3456356,Helwig Hauser,5,M,"University of Bergen, Norway"
10.1109/tvcg.2024.3456356,Kresimir Matkovic,6,M,"VRVis Research Center in Vienna, Austria"
10.1109/tvcg.2024.3456356,,7,M,
10.1109/tvcg.2024.3456356,,8,M,
10.1109/tvcg.2024.3456356,,9,M,
10.1109/tvcg.2024.3456356,,10,M,
10.1109/tvcg.2024.3456356,,11,M,
10.1109/tvcg.2024.3456356,,12,M,
10.1109/tvcg.2024.3456356,,13,M,
10.1109/tvcg.2024.3456356,,14,M,
10.1109/tvcg.2024.3456356,,15,M,
10.1109/tvcg.2024.3456356,,16,M,
10.1109/tvcg.2024.3456356,,17,M,
10.1109/tvcg.2024.3456356,,18,M,
10.1109/tvcg.2024.3456356,,19,M,
10.1109/tvcg.2024.3456356,,20,M,
10.1109/tvcg.2024.3456356,,21,L,
10.1109/tvcg.2024.3456398,Sam Yu-Te Lee,1,F,"University of California, USA"
10.1109/tvcg.2024.3456398,Aryaman Bahukhandi,2,M,"University of California, USA"
10.1109/tvcg.2024.3456398,Dongyu Liu,3,M,"University of California, USA"
10.1109/tvcg.2024.3456398,Kwan-Liu Ma,4,M,"University of California, USA"
10.1109/tvcg.2024.3456398,,5,M,
10.1109/tvcg.2024.3456398,,6,M,
10.1109/tvcg.2024.3456398,,7,M,
10.1109/tvcg.2024.3456398,,8,M,
10.1109/tvcg.2024.3456398,,9,M,
10.1109/tvcg.2024.3456398,,10,M,
10.1109/tvcg.2024.3456398,,11,M,
10.1109/tvcg.2024.3456398,,12,M,
10.1109/tvcg.2024.3456398,,13,M,
10.1109/tvcg.2024.3456398,,14,M,
10.1109/tvcg.2024.3456398,,15,M,
10.1109/tvcg.2024.3456398,,16,M,
10.1109/tvcg.2024.3456398,,17,M,
10.1109/tvcg.2024.3456398,,18,M,
10.1109/tvcg.2024.3456398,,19,M,
10.1109/tvcg.2024.3456398,,20,M,
10.1109/tvcg.2024.3456398,,21,L,
10.1109/tvcg.2024.3456364,Youfu Yan,1,F,"Department of Computer Science and Engineering, University of Minnesota, Twin Cities, MN, USA"
10.1109/tvcg.2024.3456364,Yu Hou,2,M,"Medical School, University of Minnesota, Twin Cities, MN, USA"
10.1109/tvcg.2024.3456364,Yongkang Xiao,3,M,"Medical School, University of Minnesota, Twin Cities, MN, USA"
10.1109/tvcg.2024.3456364,Rui Zhang 0028,4,M,"Medical School, University of Minnesota, Twin Cities, MN, USA"
10.1109/tvcg.2024.3456364,Qianwen Wang 0001,5,M,"Department of Computer Science and Engineering, University of Minnesota, Twin Cities, MN, USA"
10.1109/tvcg.2024.3456364,,6,M,
10.1109/tvcg.2024.3456364,,7,M,
10.1109/tvcg.2024.3456364,,8,M,
10.1109/tvcg.2024.3456364,,9,M,
10.1109/tvcg.2024.3456364,,10,M,
10.1109/tvcg.2024.3456364,,11,M,
10.1109/tvcg.2024.3456364,,12,M,
10.1109/tvcg.2024.3456364,,13,M,
10.1109/tvcg.2024.3456364,,14,M,
10.1109/tvcg.2024.3456364,,15,M,
10.1109/tvcg.2024.3456364,,16,M,
10.1109/tvcg.2024.3456364,,17,M,
10.1109/tvcg.2024.3456364,,18,M,
10.1109/tvcg.2024.3456364,,19,M,
10.1109/tvcg.2024.3456364,,20,M,
10.1109/tvcg.2024.3456364,,21,L,
10.1109/tvcg.2024.3456320,Nan Chen,1,F,"Microsoft Research, USA"
10.1109/tvcg.2024.3456320,Yuge Zhang,2,M,"Microsoft Research, USA"
10.1109/tvcg.2024.3456320,Jiahang Xu,3,M,"Microsoft Research, USA"
10.1109/tvcg.2024.3456320,Kan Ren,4,M,"ShanghaiTech University and MoE Key Laboratory of Intelligent Perception and Human Machine Collaboration, China"
10.1109/tvcg.2024.3456320,Yuqing Yang 0001,5,M,"Microsoft Research, USA"
10.1109/tvcg.2024.3456320,,6,M,
10.1109/tvcg.2024.3456320,,7,M,
10.1109/tvcg.2024.3456320,,8,M,
10.1109/tvcg.2024.3456320,,9,M,
10.1109/tvcg.2024.3456320,,10,M,
10.1109/tvcg.2024.3456320,,11,M,
10.1109/tvcg.2024.3456320,,12,M,
10.1109/tvcg.2024.3456320,,13,M,
10.1109/tvcg.2024.3456320,,14,M,
10.1109/tvcg.2024.3456320,,15,M,
10.1109/tvcg.2024.3456320,,16,M,
10.1109/tvcg.2024.3456320,,17,M,
10.1109/tvcg.2024.3456320,,18,M,
10.1109/tvcg.2024.3456320,,19,M,
10.1109/tvcg.2024.3456320,,20,M,
10.1109/tvcg.2024.3456320,,21,L,
10.1109/tvcg.2024.3456199,Fabian Beck 0001,1,F,"University of Bamberg, Germany"
10.1109/tvcg.2024.3456199,,2,M,
10.1109/tvcg.2024.3456199,,3,M,
10.1109/tvcg.2024.3456199,,4,M,
10.1109/tvcg.2024.3456199,,5,M,
10.1109/tvcg.2024.3456199,,6,M,
10.1109/tvcg.2024.3456199,,7,M,
10.1109/tvcg.2024.3456199,,8,M,
10.1109/tvcg.2024.3456199,,9,M,
10.1109/tvcg.2024.3456199,,10,M,
10.1109/tvcg.2024.3456199,,11,M,
10.1109/tvcg.2024.3456199,,12,M,
10.1109/tvcg.2024.3456199,,13,M,
10.1109/tvcg.2024.3456199,,14,M,
10.1109/tvcg.2024.3456199,,15,M,
10.1109/tvcg.2024.3456199,,16,M,
10.1109/tvcg.2024.3456199,,17,M,
10.1109/tvcg.2024.3456199,,18,M,
10.1109/tvcg.2024.3456199,,19,M,
10.1109/tvcg.2024.3456199,,20,M,
10.1109/tvcg.2024.3456199,,21,L,
10.1109/tvcg.2024.3456160,Andrew Wentzel,1,F,"University of Illinois Chicago, USA"
10.1109/tvcg.2024.3456160,Serageldin Attia,2,M,"MD Anderson Cancer Center, USA"
10.1109/tvcg.2024.3456160,Xinhua Zhang,3,M,"University of Illinois Chicago, USA"
10.1109/tvcg.2024.3456160,Guadalupe Canahuate,4,M,"University of Iowa, USA"
10.1109/tvcg.2024.3456160,Clifton David Fuller,5,M,"MD Anderson Cancer Center, USA"
10.1109/tvcg.2024.3456160,G. Elisabeta Marai,6,M,"University of Illinois Chicago, USA"
10.1109/tvcg.2024.3456160,,7,M,
10.1109/tvcg.2024.3456160,,8,M,
10.1109/tvcg.2024.3456160,,9,M,
10.1109/tvcg.2024.3456160,,10,M,
10.1109/tvcg.2024.3456160,,11,M,
10.1109/tvcg.2024.3456160,,12,M,
10.1109/tvcg.2024.3456160,,13,M,
10.1109/tvcg.2024.3456160,,14,M,
10.1109/tvcg.2024.3456160,,15,M,
10.1109/tvcg.2024.3456160,,16,M,
10.1109/tvcg.2024.3456160,,17,M,
10.1109/tvcg.2024.3456160,,18,M,
10.1109/tvcg.2024.3456160,,19,M,
10.1109/tvcg.2024.3456160,,20,M,
10.1109/tvcg.2024.3456160,,21,L,
10.1109/tvcg.2024.3456601,Nicole Sultanum,1,F,"Tableau Research, US"
10.1109/tvcg.2024.3456601,Vidya Setlur,2,M,"Tableau Research, US"
10.1109/tvcg.2024.3456601,,3,M,
10.1109/tvcg.2024.3456601,,4,M,
10.1109/tvcg.2024.3456601,,5,M,
10.1109/tvcg.2024.3456601,,6,M,
10.1109/tvcg.2024.3456601,,7,M,
10.1109/tvcg.2024.3456601,,8,M,
10.1109/tvcg.2024.3456601,,9,M,
10.1109/tvcg.2024.3456601,,10,M,
10.1109/tvcg.2024.3456601,,11,M,
10.1109/tvcg.2024.3456601,,12,M,
10.1109/tvcg.2024.3456601,,13,M,
10.1109/tvcg.2024.3456601,,14,M,
10.1109/tvcg.2024.3456601,,15,M,
10.1109/tvcg.2024.3456601,,16,M,
10.1109/tvcg.2024.3456601,,17,M,
10.1109/tvcg.2024.3456601,,18,M,
10.1109/tvcg.2024.3456601,,19,M,
10.1109/tvcg.2024.3456601,,20,M,
10.1109/tvcg.2024.3456601,,21,L,
10.1109/tvcg.2024.3456598,Sehi L'Yi,1,F,"Harvard Medical School, USA"
10.1109/tvcg.2024.3456598,Astrid van den Brandt,2,M,"Eindhoven University of Technology and Harvard Medical School, Netherlands"
10.1109/tvcg.2024.3456598,Etowah Adams,3,M,"Harvard Medical School, USA"
10.1109/tvcg.2024.3456598,Huyen N. Nguyen,4,M,"Harvard Medical School, USA"
10.1109/tvcg.2024.3456598,Nils Gehlenborg,5,M,"Harvard Medical School, USA"
10.1109/tvcg.2024.3456598,,6,M,
10.1109/tvcg.2024.3456598,,7,M,
10.1109/tvcg.2024.3456598,,8,M,
10.1109/tvcg.2024.3456598,,9,M,
10.1109/tvcg.2024.3456598,,10,M,
10.1109/tvcg.2024.3456598,,11,M,
10.1109/tvcg.2024.3456598,,12,M,
10.1109/tvcg.2024.3456598,,13,M,
10.1109/tvcg.2024.3456598,,14,M,
10.1109/tvcg.2024.3456598,,15,M,
10.1109/tvcg.2024.3456598,,16,M,
10.1109/tvcg.2024.3456598,,17,M,
10.1109/tvcg.2024.3456598,,18,M,
10.1109/tvcg.2024.3456598,,19,M,
10.1109/tvcg.2024.3456598,,20,M,
10.1109/tvcg.2024.3456598,,21,L,
10.1109/tvcg.2024.3456510,Kazi Tasnim Zinat,1,F,"University of Maryland, USA"
10.1109/tvcg.2024.3456510,Saimadhav Naga Sakhamuri,2,M,"University of Maryland, USA"
10.1109/tvcg.2024.3456510,Aaron Sun Chen,3,M,"University of Maryland, USA"
10.1109/tvcg.2024.3456510,Zhicheng Liu 0001,4,M,"University of Maryland, USA"
10.1109/tvcg.2024.3456510,,5,M,
10.1109/tvcg.2024.3456510,,6,M,
10.1109/tvcg.2024.3456510,,7,M,
10.1109/tvcg.2024.3456510,,8,M,
10.1109/tvcg.2024.3456510,,9,M,
10.1109/tvcg.2024.3456510,,10,M,
10.1109/tvcg.2024.3456510,,11,M,
10.1109/tvcg.2024.3456510,,12,M,
10.1109/tvcg.2024.3456510,,13,M,
10.1109/tvcg.2024.3456510,,14,M,
10.1109/tvcg.2024.3456510,,15,M,
10.1109/tvcg.2024.3456510,,16,M,
10.1109/tvcg.2024.3456510,,17,M,
10.1109/tvcg.2024.3456510,,18,M,
10.1109/tvcg.2024.3456510,,19,M,
10.1109/tvcg.2024.3456510,,20,M,
10.1109/tvcg.2024.3456510,,21,L,
10.1109/tvcg.2024.3456407,Hannah K. Bako,1,F,"University of Maryland, USA"
10.1109/tvcg.2024.3456407,Xinyi Liu 0001,2,M,"University of Texas, USA"
10.1109/tvcg.2024.3456407,Grace Ko,3,M,"University of Maryland, USA"
10.1109/tvcg.2024.3456407,Hyemi Song,4,M,"University of Maryland, USA"
10.1109/tvcg.2024.3456407,Leilani Battle,5,M,"University of Washington, USA"
10.1109/tvcg.2024.3456407,Zhicheng Liu 0001,6,M,"University of Maryland, USA"
10.1109/tvcg.2024.3456407,,7,M,
10.1109/tvcg.2024.3456407,,8,M,
10.1109/tvcg.2024.3456407,,9,M,
10.1109/tvcg.2024.3456407,,10,M,
10.1109/tvcg.2024.3456407,,11,M,
10.1109/tvcg.2024.3456407,,12,M,
10.1109/tvcg.2024.3456407,,13,M,
10.1109/tvcg.2024.3456407,,14,M,
10.1109/tvcg.2024.3456407,,15,M,
10.1109/tvcg.2024.3456407,,16,M,
10.1109/tvcg.2024.3456407,,17,M,
10.1109/tvcg.2024.3456407,,18,M,
10.1109/tvcg.2024.3456407,,19,M,
