Paper DOI,Author Names
10.1109/tvcg.2013.254,Benjamin Bach
10.1109/tvcg.2013.254,Emmanuel Pietriga
10.1109/tvcg.2013.254,Jean-Daniel Fekete
10.1109/tvcg.2010.227,Marcel Hlawatsch
10.1109/tvcg.2010.227,Filip Sadlo
10.1109/tvcg.2010.227,Daniel Weiskopf
10.1109/mcg.2015.71,Jo Wood
10.1109/tvcg.2010.93,Tino Weinkauf
10.1109/tvcg.2010.93,Holger Theisel
10.1109/tvcg.2010.93,Allen Van Gelder
10.1109/tvcg.2010.93,Alex T. Pang
10.1109/tvcg.2013.92,Tobias Pfaffelmoser
10.1109/tvcg.2013.92,Mihaela Mihai
10.1109/tvcg.2013.92,Rüdiger Westermann
10.1109/tvcg.2011.109,Tiago Etiene
10.1109/tvcg.2011.109,Luis Gustavo Nonato
10.1109/tvcg.2011.109,Carlos Eduardo Scheidegger
10.1109/tvcg.2011.109,Julien Tierny
10.1109/tvcg.2011.109,Thomas J. Peters
10.1109/tvcg.2011.109,Valerio Pascucci
10.1109/tvcg.2011.109,Robert M. Kirby
10.1109/tvcg.2011.109,Cláudio T. Silva
10.1109/tvcg.2010.94,Niklas Elmqvist
10.1109/tvcg.2010.94,Pierre Dragicevic
10.1109/tvcg.2010.94,Jean-Daniel Fekete
10.1109/tvcg.2012.118,Brian Duffy
10.1109/tvcg.2012.118,Hamish A. Carr
10.1109/tvcg.2012.118,Torsten Möller
10.1109/mcg.2017.377152546,Lhaylla Crissaff
10.1109/mcg.2017.377152546,Louisa Wood Ruby
10.1109/mcg.2017.377152546,Samantha Deutch
10.1109/mcg.2017.377152546,R. Luke DuBois
10.1109/mcg.2017.377152546,Jean-Daniel Fekete
10.1109/mcg.2017.377152546,Juliana Freire
10.1109/mcg.2017.377152546,Cláudio T. Silva
10.1109/tvcg.2018.2843369,Fred Hohman
10.1109/tvcg.2018.2843369,Minsuk Kahng
10.1109/tvcg.2018.2843369,Robert S. Pienta
10.1109/tvcg.2018.2843369,Duen Horng Chau
10.1109/tvcg.2014.2359887,Dandan Huang
10.1109/tvcg.2014.2359887,Melanie Tory
10.1109/tvcg.2014.2359887,Bon Adriel Aseniero
10.1109/tvcg.2014.2359887,Lyn Bartram
10.1109/tvcg.2014.2359887,Scott Bateman
10.1109/tvcg.2014.2359887,Sheelagh Carpendale
10.1109/tvcg.2014.2359887,Anthony Tang 0001
10.1109/tvcg.2014.2359887,Rob Woodbury
10.1109/tvcg.2016.2520921,Oh-Hyun Kwon
10.1109/tvcg.2016.2520921,Chris Muelder
10.1109/tvcg.2016.2520921,Kyungwon Lee
10.1109/tvcg.2016.2520921,Kwan-Liu Ma
10.1109/tvcg.2016.2614803,Matthew Brehmer
10.1109/tvcg.2016.2614803,Bongshin Lee
10.1109/tvcg.2016.2614803,Benjamin Bach
10.1109/tvcg.2016.2614803,Nathalie Henry Riche
10.1109/tvcg.2016.2614803,Tamara Munzner
10.1109/tvcg.2016.2615308,Petra Isenberg
10.1109/tvcg.2016.2615308,Florian Heimerl
