Journal,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp
TVCG,2014,GraphDiaries: Animated Transitions andTemporal Navigation for Dynamic Networks,10.1109/tvcg.2013.254,http://dx.doi.org/10.1109/TVCG.2013.254,740,754,J,"Identifying, tracking and understanding changes in dynamic networks are complex and cognitively demanding tasks. We present GraphDiaries, a visual interface designed to improve support for these tasks in any node-link based graph visualization system. GraphDiaries relies on animated transitions that highlight changes in the network between time steps, thus helping users identify and understand those changes. To better understand the tasks related to the exploration of dynamic networks, we first introduce a task taxonomy, that informs the design of GraphDiaries, presented afterwards. We then report on a user study, based on representative tasks identified through the taxonomy, and that compares GraphDiaries to existing techniques for temporal navigation in dynamic networks, showing that it outperforms them in terms of both task time and errors for several of these tasks.",Benjamin Bach;Emmanuel Pietriga;Jean-Daniel Fekete,Benjamin Bach;Emmanuel Pietriga;Jean-Daniel Fekete,"INRIA, Saclay, France;INRIA, Saclay, France and INRIA Chile-CIRIC, Santiago, Chile;INRIA, Saclay, France",0.1109/infvis.1999.801854;10.1109/tvcg.2007.70539;10.1109/vast.2006.261450;10.1109/tvcg.2008.153;10.1109/tvcg.2008.125,"Dynamic networks,graph visualization,,,,,,,,,,,temporal navigation,,,,,,,,,,,user experiment",,132,48,1647,,
TVCG,2011,Hierarchical Line Integration,10.1109/tvcg.2010.227,http://dx.doi.org/10.1109/TVCG.2010.227,1148,1163,J,"This paper presents an acceleration scheme for the numerical computation of sets of trajectories in vector fields or iterated solutions in maps, possibly with simultaneous evaluation of quantities along the curves such as integrals or extrema. It addresses cases with a dense evaluation on the domain, where straightforward approaches are subject to redundant calculations. These are avoided by first calculating short solutions for the whole domain. From these, longer solutions are then constructed in a hierarchical manner until the designated length is achieved. While the computational complexity of the straightforward approach depends linearly on the length of the solutions, the computational cost with the proposed scheme grows only logarithmically with increasing length. Due to independence of subtasks and memory locality, our algorithm is suitable for parallel execution on many-core architectures like GPUs. The trade-offs of the method—lower accuracy and increased memory consumption—are analyzed, including error order as well as numerical error for discrete computation grids. The usefulness and flexibility of the scheme are demonstrated with two example applications: line integral convolution and the computation of the finite-time Lyapunov exponent. Finally, results and performance measurements of our GPU implementation are presented for both synthetic and simulated vector fields from computational fluid dynamics.",Marcel Hlawatsch;Filip Sadlo;Daniel Weiskopf,Marcel Hlawatsch;Filip Sadlo;Daniel Weiskopf,"Visualisierungsinstitut der Universität Stuttgart, Stuttgart, Germany;Visualisierungsinstitut der Universität Stuttgart, Stuttgart, Germany;Visualisierungsinstitut der Universität Stuttgart, Stuttgart, Germany",0.1109/visual.1993.398875;10.1109/visual.2003.1250361;10.1109/visual.2000.885688;10.1109/visual.2000.885689;10.1109/tvcg.2007.70551;10.1109/tvcg.2007.70554,"Flow visualization,integral curves,,,,,,,,,,,hierarchical computation,,,,,,,,,,,FTLE,,,,LIC,GPU.",,48,37,614,,
CG&A,2015,Visualizing Personal Progress in Participatory Sports Cycling Events,10.1109/mcg.2015.71,http://dx.doi.org/10.1109/MCG.2015.71,73,81,MAG,"This article explores the potential for creating personal visualization of participation in sports cycling as a design study. Examples show riders' personal narratives and performances relative to other participants in long-distance cycling events. Minimalist cartographic design is applied during the automatic generation of profile maps, which allows personal textual narratives to be attached to visualizations of 3D variations in terrain. Changes in relative position and time-in-hand data during mass participation events are shown as position charts, and animations of rider density over time are used to visualize the progress of larger groups of riders in an event. The designs focus on representing the aspects of participation that evoke an emotional response in an effort to engage users.",Jo Wood,Jo Wood,"City University, London",0.1109/tvcg.2014.2329308,"computer graphics,personal visualization,,,,,,,,,,,affective computing,,,,,,,,,,,sports data,,,,graphics design study",,13,5,1134,,
TVCG,2011,Stable Feature Flow Fields,10.1109/tvcg.2010.93,http://dx.doi.org/10.1109/TVCG.2010.93,770,780,J,"Feature Flow Fields are a well-accepted approach for extracting and tracking features. In particular, they are often used to track critical points in time-dependent vector fields and to extract and track vortex core lines. The general idea is to extract the feature or its temporal evolution using a stream line integration in a derived vector field—the so-called Feature Flow Field (FFF). Hence, the desired feature line is a stream line of the FFF. As we will carefully analyze in this paper, the stream lines around this feature line may diverge from it. This creates an unstable situation: if the integration moves slightly off the feature line due to numerical errors, then it will be captured by the diverging neighborhood and carried away from the real feature line. The goal of this paper is to define a new FFF with the guarantee that the neighborhood of a feature line has always converging behavior. This way, we have an automatic correction of numerical errors: if the integration moves slightly off the feature line, it automatically moves back to it during the ongoing integration. This yields results which are an order of magnitude more accurate than the results from previous schemes. We present new stable FFF formulations for the main applications of tracking critical points and solving the Parallel Vectors operator. We apply our method to a number of data sets.",Tino Weinkauf;Holger Theisel;Allen Van Gelder;Alex T. Pang,Tino Weinkauf;Holger Theisel;Allen Van Gelder;Alex Pang,"Learning and Graphics Group, Courant Institute of Mathematical Sciences, New York University, New York, NY, USA;AG Visual Computing, Fakultät für Informatik, Otto-von-Guericke-Universität Magdeburg, Germany;University of California Santa Cruz, Santa Cruz, CA, US;Baskin School of Engineering, Santa Cruz, CA, USA",0.1109/visual.2004.107;10.1109/visual.1991.175773;10.1109/visual.1999.809896;10.1109/tvcg.2008.148;10.1109/tvcg.2007.70545;10.1109/tvcg.2010.93;10.1109/visual.2001.964507,"Flow visualization,feature extraction.",,49,34,775,,
TVCG,2013,Visualizing the Variability of Gradients in Uncertain 2D Scalar Fields,10.1109/tvcg.2013.92,http://dx.doi.org/10.1109/TVCG.2013.92,1948,1961,J,"In uncertain scalar fields where data values vary with a certain probability, the strength of this variability indicates the confidence in the data. It does not, however, allow inferring on the effect of uncertainty on differential quantities such as the gradient, which depend on the variability of the rate of change of the data. Analyzing the variability of gradients is nonetheless more complicated, since, unlike scalars, gradients vary in both strength and direction. This requires initially the mathematical derivation of their respective value ranges, and then the development of effective analysis techniques for these ranges. This paper takes a first step into this direction: Based on the stochastic modeling of uncertainty via multivariate random variables, we start by deriving uncertainty parameters, such as the mean and the covariance matrix, for gradients in uncertain discrete scalar fields. We do not make any assumption about the distribution of the random variables. Then, for the first time to our best knowledge, we develop a mathematical framework for computing confidence intervals for both the gradient orientation and the strength of the derivative in any prescribed direction, for instance, the mean gradient direction. While this framework generalizes to 3D uncertain scalar fields, we concentrate on the visualization of the resulting intervals in 2D fields. We propose a novel color diffusion scheme to visualize both the absolute variability of the derivative strength and its magnitude relative to the mean values. A special family of circular glyphs is introduced to convey the uncertainty in gradient orientation. For a number of synthetic and real-world data sets, we demonstrate the use of our approach for analyzing the stability of certain features in uncertain 2D scalar fields, with respect to both local derivatives and feature orientation.",Tobias Pfaffelmoser;Mihaela Mihai;Rüdiger Westermann,Tobias Pfaffelmoser;Mihaela Mihai;Rüdiger Westermann,"Computer Graphics and Visualization Group, Technische Universität München, Garching bei Munchen, Bavaria, Germany;Computer Graphics and Visualization Group, Technische Universität München, Garching bei Munchen, Bavaria, Germany;Computer Graphics and Visualization Group, Technische Universität München, Garching bei Munchen, Bavaria, Germany",0.1109/tvcg.2010.131;10.1109/visual.2004.25;10.1109/tvcg.2007.70530;10.1109/visual.2005.1532807;10.1109/tvcg.2010.150;10.1109/visual.2003.1250414;10.1109/tvcg.2007.70518;10.1109/tvcg.2010.181,"Uncertainty visualization,gradient variability,,,,,,,,,,,structural uncertainty,,,,,,,,,,,glyphs",,28,42,581,,
TVCG,2012,Topology Verification for Isosurface Extraction,10.1109/tvcg.2011.109,http://dx.doi.org/10.1109/TVCG.2011.109,952,965,J,"The broad goals of verifiable visualization rely on correct algorithmic implementations. We extend a framework for verification of isosurfacing implementations to check topological properties. Specifically, we use stratified Morse theory and digital topology to design algorithms which verify topological invariants. Our extended framework reveals unexpected behavior and coding mistakes in popular publicly available isosurface codes.",Tiago Etiene;Luis Gustavo Nonato;Carlos Eduardo Scheidegger;Julien Tierny;Thomas J. Peters;Valerio Pascucci;Robert M. Kirby;Cláudio T. Silva,Tiago Etiene;Luis Gustavo Nonato;Carlos Scheidegger;Julien Tienry;Thomas J. Peters;Valerio Pascucci;Robert M. Kirby;Claudio T. Silva,"School of Computing and SCI Institute, University of Utah, Salt Lake City, UT, USA;Departamento de Matemática Aplicada e Estatística, Universidade de São Paulo, São Carlos, SP, Brazil;AT&T Labs—Research, Madison, NJ, USA;TELECOM ParisTech, Paris, ÃŽle-de-France, FR;Department of Computer Science and Engineering, University of Connecticut, Fairfield, Way, Storrs, CT, USA;School of Computing and SCI Institute, University of Utah, Salt Lake City, UT, USA;School of Computing and SCI Institute, University of Utah, Salt Lake City, UT, USA;School of Computing and SCI Institute, University of Utah, Salt Lake City, UT, USA",0.1109/visual.2002.1183772;10.1109/tvcg.2009.194;10.1109/visual.1991.175782;10.1109/tvcg.2006.149,"Verifiable visualization,isosurface,,,,,,,,,,,topology.",,28,43,629,,
TVCG,2011,Color Lens: Adaptive Color Scale Optimization for Visual Exploration,10.1109/tvcg.2010.94,http://dx.doi.org/10.1109/TVCG.2010.94,795,807,J,"Visualization applications routinely map quantitative attributes to color using color scales. Although color is an effective visualization channel, it is limited by both display hardware and the human visual system. We propose a new interaction technique that overcomes these limitations by dynamically optimizing color scales based on a set of sampling lenses. The technique inspects the lens contents in data space, optimizes the initial color scale, and then renders the contents of the lens to the screen using the modified color scale. We present two prototype implementations of this pipeline and describe several case studies involving both information visualization and image inspection applications. We validate our approach with two mutually linked and complementary user studies comparing the Color Lens with explicit contrast control for visual search.",Niklas Elmqvist;Pierre Dragicevic;Jean-Daniel Fekete,Niklas Elmqvist;Pierre Dragicevic;Jean-Daniel Fekete,"School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA;INRIA Saclay Île de France INRIA LRI, Universite Paris Sud, Orsay, France;INRIA Saclay Île de France INRIA LRI, Universite Paris Sud, Orsay, France",0.1109/infvis.2004.64;10.1109/tvcg.2009.191;10.1109/infvis.2005.1532136,"Color scales,visualization,,,,,,,,,,,interaction technique,,,,,,,,,,,Magic Lens.",,22,40,998,,
TVCG,2013,Integrating Isosurface Statistics and Histograms,10.1109/tvcg.2012.118,http://dx.doi.org/10.1109/TVCG.2012.118,263,277,J,"Many data sets are sampled on regular lattices in two, three or more dimensions, and recent work has shown that statistical properties of these data sets must take into account the continuity of the underlying physical phenomena. However, the effects of quantization on the statistics have not yet been accounted for. This paper therefore reconciles the previous papers to the underlying mathematical theory, develops a mathematical model of quantized statistics of continuous functions, and proves convergence of geometric approximations to continuous statistics for regular sampling lattices. In addition, the computational cost of various approaches is considered, and recommendations made about when to use each type of statistic.",Brian Duffy;Hamish A. Carr;Torsten Möller,Brian Duffy;Hamish Carr;Torsten Möller,"Post Doctoral Research Office, Mathematical Institute University of Oxford, United Kingdom;Visualization & Virtual Reality Group, School of Computing University of Leeds, United Kingdom;Simon Fraser University, Burnaby",0.1109/visual.1997.663875;10.1109/visual.1996.568121;10.1109/visual.2003.1250414;10.1109/visual.2001.964519;10.1109/tvcg.2006.168;10.1109/tvcg.2008.160;10.1109/tvcg.2008.119;10.1109/visual.2001.964516;10.1109/tvcg.2010.182;10.1109/visual.1994.346334;10.1109/visual.1995.480807;10.1109/visual.1994.346331,"Histograms,frequency distribution,,,,,,,,,,,integration,,,,,,,,,,,geometric statistics",,20,27,811,,
CG&A,2018,ARIES: Enabling Visual Exploration and Organization of Art Image Collections,10.1109/mcg.2017.377152546,http://dx.doi.org/10.1109/MCG.2017.377152546,91,108,MAG,"Art historians have traditionally used physical light boxes to prepare exhibits or curate collections. On a light box, they can place slides or printed images, move the images around at will, group them as desired, and visual-ly compare them. The transition to digital images has rendered this workflow obsolete. Now, art historians lack well-designed, unified interactive software tools that effectively support the operations they perform with physi-cal light boxes. To address this problem, we designed ARIES (ARt Image Exploration Space), an interactive image manipulation system that enables the exploration and organization of fine digital art. The system allows images to be compared in multiple ways, offering dynamic overlays analogous to a physical light box, and sup-porting advanced image comparisons and feature-matching functions, available through computational image processing. We demonstrate the effectiveness of our system to support art historians tasks through real use cases.",Lhaylla Crissaff;Louisa Wood Ruby;Samantha Deutch;R. Luke DuBois;Jean-Daniel Fekete;Juliana Freire;Cláudio T. Silva,Lhaylla Crissaff;Louisa Wood Ruby;Samantha Deutch;R. Luke DuBois;Jean-Daniel Fekete;Juliana Freire;Claudio Silva,Universidade Federal Fluminense;The Frick Art Reference Library;The Frick Art Reference Library;New York University;INRIA;New York University;New York University,0.1109/tvcg.2008.127,"ARIES,museum,,,,,,,,,,,light box,,,,,,,,,,,art history,,,,computer graphics,applications",,13,18,706,,
TVCG,2019,Visual Analytics in Deep Learning: An Interrogative Survey for the Next Frontiers,10.1109/tvcg.2018.2843369,http://dx.doi.org/10.1109/TVCG.2018.2843369,2674,2693,J,"Deep learning has recently seen rapid development and received significant attention due to its state-of-the-art performance on previously-thought hard problems. However, because of the internal complexity and nonlinear structure of deep neural networks, the underlying decision making processes for why these models are achieving such performance are challenging and sometimes mystifying to interpret. As deep learning spreads across domains, it is of paramount importance that we equip users of deep learning with tools for understanding when a model works correctly, when it fails, and ultimately how to improve its performance. Standardized toolkits for building neural networks have helped democratize deep learning; visual analytics systems have now been developed to support model explanation, interpretation, debugging, and improvement. We present a survey of the role of visual analytics in deep learning research, which highlights its short yet impactful history and thoroughly summarizes the state-of-the-art using a human-centered interrogative framework, focusing on the Five W's and How (Why, Who, What, How, When, and Where). We conclude by highlighting research directions and open research problems. This survey helps researchers and practitioners in both visual analytics and deep learning to quickly learn key aspects of this young and rapidly growing body of research, whose impact spans a diverse range of domains.",Fred Hohman;Minsuk Kahng;Robert S. Pienta;Duen Horng Chau,Fred Hohman;Minsuk Kahng;Robert Pienta;Duen Horng Chau,"College of Computing, Georgia Tech, Atlanta, Georgia, USA;College of Computing, Georgia Tech, Atlanta, Georgia, USA;College of Computing, Georgia Tech, Atlanta, Georgia, USA;College of Computing, Georgia Tech, Atlanta, Georgia, USA",0.1109/tvcg.2017.2744718;10.1109/tvcg.2017.2744683;10.1109/tvcg.2017.2744158;10.1109/tvcg.2016.2598838;10.1109/tvcg.2017.2744358;10.1109/tvcg.2017.2744938;10.1109/vast.2017.8585721;10.1109/tvcg.2015.2467618;10.1109/tvcg.2016.2598831;10.1109/tvcg.2017.2744878;10.1109/tvcg.2017.2745141;10.1109/tvcg.2016.2598828;10.1109/tvcg.2016.2598829;10.1109/vast.2017.8585669;10.1109/tvcg.2017.2744478,"Deep learning,visual analytics,,,,,,,,,,,information visualization,,,,,,,,,,,neural networks",,291,128,6494,,
