,DOI,AuthorName-Deduped,PositionNumber,PositionCode,OriginalAffiliation,CleanedAffiliation,Country
0,10.0000/00000001,Randy L. Ribler,1,F,,,
1,10.0000/00000001,Marc Abrams,2,L,,,
2,10.1109/INFVIS.1995.528680,Robert Spence,1,F,"Department of Electrical Engineering Imperial College of Science, Technology and Medicine, London, UK","Imperial College London, UK",UK
3,10.1109/INFVIS.1995.528680,Lisa Tweedie,2,M,"Department of Electrical Engineering Imperial College of Science, Technology and Medicine, London, UK","Imperial College London, UK",UK
4,10.1109/INFVIS.1995.528680,Huw Dawkes,3,M,"Department of Electrical Engineering Imperial College of Science, Technology and Medicine, London, UK","Imperial College London, UK",UK
5,10.1109/INFVIS.1995.528680,Hua Su,4,L,"Department of Electrical Engineering Imperial College of Science, Technology and Medicine, London, UK","Imperial College London, UK",UK
6,10.1109/INFVIS.1995.528681,Klaus Reichenberger,1,F,"Information Systems, GMD-Institute for Integrated Publication, Darmstadt, Germany","Technical University of Darmstadt, Germany",Germany
7,10.1109/INFVIS.1995.528681,Thomas Kamps,2,M,"Information Systems, GMD-Institute for Integrated Publication, Darmstadt, Germany","Technical University of Darmstadt, Germany",Germany
8,10.1109/INFVIS.1995.528681,Gene Golovchinsky,3,L,"Department of Industrial Engiheering, University of Toronto, Toronto, ONT, Canada","Technical University of Darmstadt, Germany",Germany
9,10.1109/INFVIS.1995.528682,W. Wright,1,F,"Visible Decisions, Inc., Toronto, Canada","Visible Decision Inc., Toronto, Ont., Canada",Canada
10,10.1109/INFVIS.1995.528683,Peter Lüders,1,F,"Technische Universitäat Braunschweig, Germany","Technical University of Braunschweig, Germany",Germany
11,10.1109/INFVIS.1995.528683,Rolf Ernst,2,L,"Technische Universitäat Braunschweig, Germany","Technical University of Braunschweig, Germany",Germany
12,10.1109/INFVIS.1995.528684,Mei C. Chuah,1,F,"School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA","Carnegie Mellon University, USA",USA
13,10.1109/INFVIS.1995.528684,Steven F. Roth,2,M,"School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA","Carnegie Mellon University, USA",USA
14,10.1109/INFVIS.1995.528684,Joe Mattis,3,M,"School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA","Carnegie Mellon University, USA",USA
15,10.1109/INFVIS.1995.528684,John Kolojejchick,4,L,"School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA","Carnegie Mellon University, USA",USA
16,10.1109/INFVIS.1995.528685,Dean F. Jerding,1,F,"Usability Center, College of Computing, Georgia Institute of Technology, Atlanta, GA, USA","Georgia Institute of Technology, USA",USA
17,10.1109/INFVIS.1995.528685,John T. Stasko,2,L,"Usability Center, College of Computing, Georgia Institute of Technology, Atlanta, GA, USA","Georgia Institute of Technology, USA",USA
18,10.1109/INFVIS.1995.528686,James A. Wise,1,F,"Pacific Northwest National Laboratory, Richland, WA, USA","Pacific Northwest National Laboratory, USA",USA
19,10.1109/INFVIS.1995.528686,James J. Thomas,2,M,"Pacific Northwest National Laboratory, Richland, WA, USA","Pacific Northwest National Laboratory, USA",USA
20,10.1109/INFVIS.1995.528686,Kelly Pennock,3,M,"Pacific Northwest National Laboratory, Richland, WA, USA","Pacific Northwest National Laboratory, USA",USA
21,10.1109/INFVIS.1995.528686,David Lantrip,4,M,"Pacific Northwest National Laboratory, Richland, WA, USA",,
22,10.1109/INFVIS.1995.528686,Marc Pottier,5,M,"Pacific Northwest National Laboratory, Richland, WA, USA",,
23,10.1109/INFVIS.1995.528686,Anne Schur,6,M,"Pacific Northwest National Laboratory, Richland, WA, USA","Pacific Northwest National Laboratory, USA",USA
24,10.1109/INFVIS.1995.528686,Vern Crow,7,L,"Pacific Northwest National Laboratory, Richland, WA, USA",,
25,10.1109/INFVIS.1995.528687,Ian G. Angus,1,F,"Boeing Information and Support Services, Seattle, WA, USA","Inf. & Support Services, Boeing Co., Seattle, WA, USA",USA
26,10.1109/INFVIS.1995.528687,Henry Sowizral,2,L,"Boeing Information and Support Services, Seattle, WA, USA","Inf. & Support Services, Boeing Co., Seattle, WA, USA",USA
27,10.1109/INFVIS.1995.528688,Christopher Ahlberg,1,F,"Department of Computer Science and SSKKII, Chalmers University of Technology, Gothenburg, Sweden","Chalmers University of Technology, Sweden",Sweden
28,10.1109/INFVIS.1995.528688,Erik Wistrand,2,L,"Department of Computer Science and SSKKII, Chalmers University of Technology, Gothenburg, Sweden","Chalmers University of Technology, Sweden",Sweden
29,10.1109/INFVIS.1995.528689,S. Jeromy Carrière,1,F,"Computer Graphics Laboraotory, Department of Computer Science, University of Waterloo, Waterloo, ON, Canada","Waterloo University, Canada",Canada
30,10.1109/INFVIS.1995.528689,Rick Kazman,2,L,"Computer Graphics Laboraotory, Department of Computer Science, University of Waterloo, Waterloo, ON, Canada","Waterloo University, Canada",Canada
31,10.1109/INFVIS.1995.528690,Vinod Anupam,1,F,"AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA","AT&T Labs, USA",USA
32,10.1109/INFVIS.1995.528690,Shaul Dar,2,M,"AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA","AT&T Labs, USA",USA
33,10.1109/INFVIS.1995.528690,Ted Leibfried,3,M,"University of Houston, Clear Lake, TX, USA","AT&T Labs, USA",USA
34,10.1109/INFVIS.1995.528690,Eric Petajan,4,L,"AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA","AT&T Labs, USA",USA
35,10.1109/INFVIS.1995.528691,Robert J. Hendley,1,F,"School of Computer Science, University of Binningham, Birmingham, UK","Birmingham University, UK",UK
36,10.1109/INFVIS.1995.528691,Nick S. Drew,2,M,"School of Computer Science, University of Binningham, Birmingham, UK","Birmingham University, UK",UK
37,10.1109/INFVIS.1995.528691,Andrew Wood,3,M,"School of Computer Science, University of Binningham, Birmingham, UK","Birmingham University, UK",UK
38,10.1109/INFVIS.1995.528691,Russell Beale,4,L,"School of Computer Science, University of Binningham, Birmingham, UK","Birmingham University, UK",UK
39,10.1109/INFVIS.1995.528692,K. Andrews,1,F,"Institute for Information Processing and Computer Supported New Media, Graz University of Technology, Graz, Austria","Graz University of Technology, Austria",Austria
40,10.1109/INFVIS.1995.528693,R. Mitchell,1,F,"MITRE Corporation, Bedford, MA, USA","Mitre Corporation, USA",USA
41,10.1109/INFVIS.1995.528693,David S. Day,2,M,"MITRE Corporation, Bedford, MA, USA","Mitre Corporation, USA",USA
42,10.1109/INFVIS.1995.528693,Lynette Hirschman,3,L,"MITRE Corporation, Bedford, MA, USA","Mitre Corporation, USA",USA
43,10.1109/INFVIS.1995.528694,Theresa-Marie Rhyne,1,F,"U.S. EPA Scientific Visualization Center, Lockheed Martin, USA","Lockheed Martin, Research Triangle Park, NC, USA",USA
44,10.1109/INFVIS.1995.528695,C. A. Burton,1,F,"University of Melbourne, Parkville, VIC, Australia","Melbourne University, Parkville, Vic., Australia",Australia
45,10.1109/INFVIS.1995.528695,L. J. Johnston,2,M,"University of Melbourne, Parkville, VIC, Australia","Melbourne University, Parkville, Vic., Australia",Australia
46,10.1109/INFVIS.1995.528695,Liz Sonenberg,3,L,"University of Melbourne, Parkville, VIC, Australia",,
47,10.1109/INFVIS.1995.528696,Nahum D. Gershon,1,F,"MITRE Corporation, McLean, VA, USA","Mitre Corporation, USA",USA
48,10.1109/INFVIS.1995.528696,Joshua LeVasseur,2,M,"MITRE Corporation, McLean, VA, USA","Mitre Corporation, USA",USA
49,10.1109/INFVIS.1995.528696,Joel Winstead,3,M,"MITRE Corporation, McLean, VA, USA","Mitre Corporation, USA",USA
50,10.1109/INFVIS.1995.528696,J. Croall,4,M,"MITRE Corporation, McLean, VA, USA","Mitre Corporation, USA",USA
51,10.1109/INFVIS.1995.528696,A. Pernicks,5,M,"MITRE Corporation, McLean, VA, USA","Mitre Corporation, USA",USA
52,10.1109/INFVIS.1995.528696,William Ruh,6,L,"MITRE Corporation, McLean, VA, USA","Mitre Corporation, USA",USA
53,10.1109/INFVIS.1995.528697,Kenneth C. Cox,1,F,"AT and T Bell Laboratories, USA","AT&T Labs, USA",USA
54,10.1109/INFVIS.1995.528697,Stephen G. Eick,2,L,"AT and T Bell Laboratories, Naperville, IL, USA","AT&T Labs, USA",USA
55,10.1109/INFVIS.1996.559210,Steven F. Roth,1,F,"School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA and Aberdeen Proving Ground, Army Research Laboratory, MD, USA","Carnegie Mellon University, USA",USA
56,10.1109/INFVIS.1996.559210,Peter Lucas 0002,2,M,"School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA and Aberdeen Proving Ground, Army Research Laboratory, MD, USA",,
57,10.1109/INFVIS.1996.559210,Jeffrey Senn,3,M,"School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA and Aberdeen Proving Ground, Army Research Laboratory, MD, USA",,
58,10.1109/INFVIS.1996.559210,Cristina C. Gomberg,4,M,"School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA and Aberdeen Proving Ground, Army Research Laboratory, MD, USA",,
59,10.1109/INFVIS.1996.559210,Michael B. Burks,5,M,"School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA and Aberdeen Proving Ground, Army Research Laboratory, MD, USA",,
60,10.1109/INFVIS.1996.559210,Philip J. Stroffolino,6,M,"School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA and Aberdeen Proving Ground, Army Research Laboratory, MD, USA",,
61,10.1109/INFVIS.1996.559210,John A. Kolojechick,7,M,,,
62,10.1109/INFVIS.1996.559210,Carolyn Dunmire,8,L,"School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA and Aberdeen Proving Ground, Army Research Laboratory, MD, USA",,
63,10.1109/INFVIS.1996.559211,Michelle X. Zhou,1,F,"Department of Computer Science, Columbia University, New York, NY, USA","Columbia University, New York, USA",USA
64,10.1109/INFVIS.1996.559211,Steven K. Feiner,2,L,"Department of Computer Science, Columbia University, New York, NY, USA",,
65,10.1109/INFVIS.1996.559212,Rick Kazman,1,F,"Department of Computer Science, University of Waterloo, Waterloo, ONT, Canada","Waterloo University, Canada",Canada
66,10.1109/INFVIS.1996.559212,S. Jeromy Carrière,2,L,"Nortel Limited, Ottawa, ONT, Canada",,
67,10.1109/INFVIS.1996.559213,Mei C. Chuah,1,F,"School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA","Carnegie Mellon University, USA",USA
68,10.1109/INFVIS.1996.559213,Steven F. Roth,2,L,"School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA",,
69,10.1109/INFVIS.1996.559214,Alan Keahey,1,F,"Department of Computer Science, Indiana University, Bloomington, IN, USA","University of Indiana, Bloomington, USA",USA
70,10.1109/INFVIS.1996.559214,Edward L. Robertson,2,L,"Department of Computer Science, Indiana University, Bloomington, IN, USA",,
71,10.1109/INFVIS.1996.559215,Sheelagh Carpendale,1,F,"Simon Fraser University, Burnaby, BC, CA","Simon Fraser University, Canada",Canada
72,10.1109/INFVIS.1996.559215,David J. Cowperthwaite,2,M,"Simon Fraser University, Burnaby, BC, CA",,
73,10.1109/INFVIS.1996.559215,F. David Fracchia,3,L,"Simon Fraser University, Burnaby, BC, CA",,
74,10.1109/INFVIS.1996.559216,Graham J. Wills,1,F,"Lucent Technologies, Bell Laboratories, Naperville, IL, USA","AT&T Labs, USA",USA
75,10.1109/INFVIS.1996.559218,Keith Andrews,1,F,"Institute for Information Processing and Computer Supported New Media, Graz University of Technology, Graz, Austria","Graz University of Technology, Austria",Austria
76,10.1109/INFVIS.1996.559218,Michael Pichler,2,M,"Institute for Information Processing and Computer Supported New Media, Graz University of Technology, Graz, Austria",,
